question,answer
"I am working in a real estate company as a graphic designer and I have been working there for 1 year.
 My salary is Rs. 12,000.  I asked them to increase their salary because they are taking digital marketing and sales work from me besides graphic.  Now they have sent me an increment letter in which they have increased the salary to Rs. 15000 but have also given me the sales target.  Please help me. I can reply to them.  And my salary doesn't come on time and apart from that they bother me.( Chandigarh, Chandigarh )",What exactly you want? In case you are not happy with the increment then speak to your manger/employer and tell him that you are not satisfied with the increment and for additional work they can give you more incentive. Hopefully they should look in to that.
"Please note that I have recently joined one of organizations in Hyderabad and I'm serving a probation period of 6 months, as per the Employment agreement one month notice period during the probation. 
it has been two months now I got a better opportunity in all aspects and I have put a notice period of one month, now company asking me to serve one month notice and pay over and above of 3 month gross salary.

Since they have mentioned that in an employment agreement that u have to serve a minimum of one in the company else u have to serve notice and over and above of 3-month gross salary 

Further to above, it was an understanding that during the signing white paper that this clause is applicable only after the probation period and if any special training is provided by the company for the betterment of my personal skils.

In My Case there is no Special training was given by the company neither my probation period is completed.
Still my Company asking me to pay the money of over and above of 3 months gross salary which is way high 
Please help me in a legal way to tackle this as they were not ready to pay my notice period salary saying that we will deduct in over and above of 3 months( Hyderabad, Telangana )","Dear Sir,Resignation/ notice period depends from company to company. As per standing order/ service rule it is generally between 30-90 days and it has to be from both sides. There is no hard a fast rule under any law.A 30 to 90-day notice period applies in order to terminate 'workmen' (as defined in the Industrial Disputes Act, 1947)There are two types of notice period: statutory and contractual. Statutory notice is the minimum legal notice that can be given. Employers should give the employee:Is notice period (3 months) legal in India?It can be easily understood that the ambit and scope of section 23 of the Indian contract act 1872, is vast and therefore the applicability of its provisions is subject to scrutiny by the court of the consideration and object of an agreement and the agreement itself.Therefore, in order to bring a case within the purview of section 23, it is necessary to show that the object of the agreement or consideration of the agreement or the agreement itself is unlawful.I'll keep it short and simple:Either party - employer or employee can terminate the contract by giving sufficient notice or compensating accordingly. In such a case, employer is bound to release the employee without any fuss, assuming that either of the above two conditions are met.So, if your organization doesn't allow you to buyout the notice period, please feel free to knock on the doors of the Indian judiciary.The following key issues should be highlighted:â¢	A 30 to 90-day notice period applies in order to terminate âworkmenâ (as defined in the Industrial Disputes Act, 1947) â that is, employees whose role is not primarily supervisory, administrative or managerial) for convenience, with 15 daysâ pay due for every year worked. In the case of manufacturing units, plantations and mines with 100 or more workmen, termination for convenience requires prior government approval; in other sectors, it requires only government notification.â¢	Termination for cause does not include non-performance â it includes only behaviour which qualifies as misconduct.â¢	The âlast in, first outâ principle requires that the employer first terminate for convenience the last people to join the organisation in the same role. However, this requirement can be contracted out of. When hiring for the same role, workmen who were terminated for convenience should be given the opportunity to re-join the company.â¢	State laws generally provide for about 15 days of earned/regular leave a year. Employees also benefit from up to 10 days of sick leave and a possible 10 additional days of âcasual leaveâ. This is generally more than what most organisations would ideally like to provide.â¢	Most state laws provide for âcasual leaveâ â the employee can opt not to come to work that day without applying for leave in advance. Many organisations find this disruptive.â¢	Most state laws restrict women from working at night; if women are to work at night, specific approval must be obtained. This exemption is granted only to limited business sectors (eg, IT sector). Further, the employer must offer door-to-door transport and meet some security-related requirements.â¢	Most state laws prescribe overtime for any hours worked beyond 48 hours in a week. However, this is seldom observed.â¢	Indian law regulates and in some cases prohibits the use of contract workers. To engage contract workers, the contractor must hold a licence and the employer must be registered as a âprincipal employerâ."
"How to remove or change this DOE of previous employers ?( Pune, Maharashtra )","Dear Client,A joint declaration form(JDF) is used to correct Provident Fund (PF) member details. It is a combined form that the employee and employer jointly sign and submit to the regional PF commissioner to update the wrong information entered in the employeesâ PF accounts by default. In the given situation, to resolve the issue of dual employment/overlapping in the P F records of both employers, you need to approach the office of the Regional P F Commissioner who is the competent authority to resolve any anomaly/discrepancy arising out of date of appointment and date of exit of an employee in EPF records. For lack of cooperation from the employers who are duty-bound to correct the records of member employees in EPF records, an individual can file a complaint using the EPF i-Grievance Management System (www. https://epfigms.gov.in/). or filing a complaint offline in the office of the Regional PF Commissioner concerned. If the complaint is not resolved even on receipt of JDF, you can approach the Employeesâ Provident Funds Appellate Tribunal (EPFAT) which was constituted under the provisions of the Section 7 D of the EPF and M P Act 1952, Now, as per the Finance Act 2017, the Employees' Provident Fund Appellate Tribunal has been merged with Central Government Industrial Tribunal w.e.f. 26.05.2017. So, if no relief yields from the office of the PF Commissioner, you may approach the Central Government Industrial Tribunal for appropriate relief."
"Can I get my salary because i didn't serve the notice period because of mental torture by employer?( Dehradun, Uttarakhand )","Dear Client,Yes, you may be entitled to receive your salary even if you did not serve the notice period due to mental torture by your employer. Under Indian labor laws, specifically the Industrial Disputes Act, 1947, and the Payment of Wages Act, 1936, employers are obligated to pay employees for the period worked, including any accrued salary, even if the notice period is not served. However, it's essential to gather evidence of the mental torture and harassment you endured, such as emails, messages, or witness testimonies, to support your claim. You can approach your employer or the labor authorities to request your salary, citing the reasons for not serving the notice period. If your employer refuses to comply, you may file a complaint with the labor department or approach the labor court for redressal. Seeking legal counsel from a labor law expert will help you navigate this process and ensure that your rights are protected."
"I have resigned on 13 jan 2024 & resignation was accepted by my reporting manager, my signed agreement / appoinment letter shows the notice pay is 30 days, then after employer had changed to 90 days. can i join new employer by service notice period of 25 days & ask employer to adjust remaining amount from my F & F( Bharuch, Gujarat )","Dear Client,When an employee resigns from a company, they are typically bound by the terms and conditions outlined in their appointment letter or employment contract. Failing to abide by these terms can have consequences, including potential disciplinary actions, termination, or other legal ramifications.It's important for employees to carefully review their employment agreement and follow the stipulated procedures for resignation. This may include providing the required notice period, adhering to any non-compete clauses, and ensuring a smooth transition from the current role.Engaging in dual employment or overlapping service without proper documentation or approval may lead to complications and legal issues. Employers may take disciplinary action if they find that an employee has breached the terms of their employment agreement.To avoid potential consequences, employees should communicate openly with their current employer about their intention to resign and follow the prescribed procedures. Seeking legal advice, if needed, can also provide clarity on the specific terms of the employment contract and the potential consequences of any actions taken during or after the resignation process."
"Is Gratuity Payable on completion of 4 years and 220 days of working with a Company working for less than six days in a week. 5 days working.( Mumbai suburban, Maharashtra )","Dear Client,In accordance with the Act, an employee is eligible for gratuity only if he/she has completed 5 years of service with an organization."
"I am working in 15 years old pvt ltd company in mumbai with more than 30 employees and approx 3 branches in Pan India. my company does not provide us PF, Bonus, incentives for working extra hours and Insurance or ESIC facility  and giving approx 5-8% hike every year and Basic salary is approx 26% of gross salary. our working hours is 8 hours every day with 20 paid leaves and 15 festival leaves and 1st and 3rd satyrday and all sunday holidays. is it justifiable for employees?( Mumbai, Maharashtra )","A.Dear SirPlease approach the following authority or similar authority in a stateThe Office Commissioner of LabourSection 12 in The Industrial Disputes Act, 194712. Duties of conciliation officers.- (relevant section 12(2) of ID Act)(1) Where any industrial dispute exists or is apprehended, the conciliation officer may, or where the dispute relates to a public utility service and a notice under section 22 has been given, shall hold conciliation proceedings in the prescribed manner.(2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and the right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute.(3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings the conciliationofficer shall send a report thereof to the appropriate Government 1 or an officer authorised in this behalf by the appropriate Government] together with a memorandum of the settlement signed by the parties to the dispute.(4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable after the close of the investigation, send to the appropriate Government a full report setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at.(5) If, on a consideration of the report referred to in sub- section (4), the appropriate Government is satisfied that there is a case for reference to a Board, 2 Labour Court, Tribunal or National Tribunal,] it may make such reference. Where the appropriate Government does not make such a reference it shall record and communicate to the parties concerned its reasons therefor.(6) A report under this section shall be submitted within fourteen days of the commencement of the conciliation proceedings or within such shorter period as may be fixed by the appropriate Government: 3 Provided that, 4 subject to the approval of the conciliation officer,] the time for the submission of the report may be extended by such period as may be agreed upon in writing by all the parties to the dispute.]"
"i joined a job in saudi through a consultancy firm in kerala but when i went there it was not the job that i was told until i left india.i have given around 80000 indian rupees to the consultancy firm as their charges and for interview from my hand but when i came to saudi and talked to the head departments of the company, what was said is that  the interview is free .the consultancy  firm mislead and took money and didnot give the said job. what are the applicable action can take againts the job consultancy firm( Thrissur, Kerala )","Dear Client,Send a formal complaint to the consultancy firm, demanding a refund of the money you paid and compensation for the inconvenience caused. The Ministry of External Affairs in India has a department called the Protector General of Emigrants, which handles grievances related to overseas employment. You can file a complaint with them against the consultancy firm. If the consultancy firm has violated consumer protection laws, you can file a complaint with the Consumer Disputes Redressal Commission in India.  You may contact the Indian Embassy in Saudi Arabia and inform them of the situation. They may be able to provide guidance or assistance in resolving the matter. If you believe the consultancy firm has violated Saudi labor laws, you can file a complaint with the Saudi Arabian Labor Office. We hope that our response is helpful to you."
"I want to resign before the committed period in the employment bond. What do I do?( Pune, Maharashtra )","Dear Sir,If the employer not spent any amount on your training then you can break the bond of employment and walk away. This can happen only when you are not in need of relieving letter and experience certificate."
"What legal action company could take if I leave the company in 20days after my resignation.( Gurgaon, Haryana )","Hello,The company may sue you for recovery of the amount due to it. However no criminal complaint is maintainable nor it will be entertained by police or court. Send a legal notice to these people and if they do not respond then file a criminal complaint against them."
