source,target,attributes
ART_14,CRPC_154,{'type': 'UPHOLDS'}
ART_14,CRPC_438,{'type': 'UPHOLDS'}
ART_14,CRPC_439,{'type': 'UPHOLDS'}
ART_14,SCST_3,{'type': 'UPHOLDS'}
ART_14,PCA_7,{'type': 'UPHOLDS'}
ART_20,CRPC_161,{'type': 'UPHOLDS'}
ART_20,CRPC_164,{'type': 'UPHOLDS'}
ART_20,IEA_27,{'type': 'UPHOLDS'}
ART_20,IPC_120A,{'type': 'UPHOLDS'}
ART_21,CRPC_41,{'type': 'UPHOLDS'}
ART_21,CRPC_167,{'type': 'UPHOLDS'}
ART_21,CRPC_438,{'type': 'UPHOLDS'}
ART_21,CRPC_482,{'type': 'UPHOLDS'}
ART_22,CRPC_41,{'type': 'UPHOLDS'}
ART_22,CRPC_73,{'type': 'UPHOLDS'}
ART_22,CRPC_167,{'type': 'UPHOLDS'}
ART_39A,CRPC_125,{'type': 'UPHOLDS'}
IPC_107,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_107,abetment,{'type': 'DEFINES'}
IPC_120A,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_120A,criminal_conspiracy,{'type': 'DEFINES'}
IPC_120B,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_120B,criminal_conspiracy,{'type': 'DEFINES'}
IPC_147,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_147,rioting,{'type': 'DEFINES'}
IPC_148,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_148,rioting,{'type': 'DEFINES'}
IPC_149,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_149,rioting,{'type': 'DEFINES'}
IPC_182,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_182,perjury,{'type': 'DEFINES'}
IPC_191,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_191,perjury,{'type': 'DEFINES'}
IPC_192,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_192,perjury,{'type': 'DEFINES'}
IPC_193,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_193,perjury,{'type': 'DEFINES'}
IPC_194,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_194,perjury,{'type': 'DEFINES'}
IPC_195,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_195,perjury,{'type': 'DEFINES'}
IPC_199,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_199,perjury,{'type': 'DEFINES'}
IPC_200,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_200,perjury,{'type': 'DEFINES'}
IPC_205,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_205,perjury,{'type': 'DEFINES'}
IPC_228,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_228,perjury,{'type': 'DEFINES'}
IPC_268,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_268,public_nuisance,{'type': 'DEFINES'}
IPC_279,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_279,rash_driving,{'type': 'DEFINES'}
IPC_290,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_290,public_nuisance,{'type': 'DEFINES'}
IPC_294,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_294,obscenity,{'type': 'DEFINES'}
IPC_302,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_302,murder,{'type': 'DEFINES'}
IPC_304B,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_304B,dowry_harassment,{'type': 'DEFINES'}
IPC_304B,PROC_DOWRY_HARASSMENT,{'type': 'LEADS_TO'}
IPC_307,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_307,murder,{'type': 'DEFINES'}
IPC_308,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_308,murder,{'type': 'DEFINES'}
IPC_309,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_309,murder,{'type': 'DEFINES'}
IPC_320,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_320,assault,{'type': 'DEFINES'}
IPC_323,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_323,assault,{'type': 'DEFINES'}
IPC_324,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_324,assault,{'type': 'DEFINES'}
IPC_325,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_325,assault,{'type': 'DEFINES'}
IPC_326,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_326,assault,{'type': 'DEFINES'}
IPC_337,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_337,assault,{'type': 'DEFINES'}
IPC_337,rash_driving,{'type': 'DEFINES'}
IPC_338,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_338,assault,{'type': 'DEFINES'}
IPC_338,rash_driving,{'type': 'DEFINES'}
IPC_341,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_341,wrongful_restraint,{'type': 'DEFINES'}
IPC_350,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_350,assault,{'type': 'DEFINES'}
IPC_354,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_354,sexual_harassment,{'type': 'DEFINES'}
IPC_354,PROC_SEXUAL_ASSAULT_COMPLAINT,{'type': 'LEADS_TO'}
IPC_354A,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_354A,sexual_harassment,{'type': 'DEFINES'}
IPC_354B,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_354B,sexual_harassment,{'type': 'DEFINES'}
IPC_354D,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_354D,stalking,{'type': 'DEFINES'}
IPC_363,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_363,kidnapping,{'type': 'DEFINES'}
IPC_363,PROC_KIDNAPPING,{'type': 'LEADS_TO'}
IPC_364,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_364,kidnapping,{'type': 'DEFINES'}
IPC_364,PROC_KIDNAPPING,{'type': 'LEADS_TO'}
IPC_375,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_375,rape,{'type': 'DEFINES'}
IPC_375,PROC_SEXUAL_ASSAULT_COMPLAINT,{'type': 'LEADS_TO'}
IPC_376,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_376,rape,{'type': 'DEFINES'}
IPC_376,PROC_SEXUAL_ASSAULT_COMPLAINT,{'type': 'LEADS_TO'}
IPC_378,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_378,theft,{'type': 'DEFINES'}
IPC_379,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_379,theft,{'type': 'DEFINES'}
IPC_383,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_383,extortion,{'type': 'DEFINES'}
IPC_384,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_384,extortion,{'type': 'DEFINES'}
IPC_406,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_406,criminal_breach_of_trust,{'type': 'DEFINES'}
IPC_406,PROC_CRIMINAL_BREACH_TRUST,{'type': 'LEADS_TO'}
IPC_409,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_409,criminal_breach_of_trust,{'type': 'DEFINES'}
IPC_409,corruption,{'type': 'DEFINES'}
IPC_409,PROC_CRIMINAL_BREACH_TRUST,{'type': 'LEADS_TO'}
IPC_411,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_411,theft,{'type': 'DEFINES'}
IPC_415,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_415,cheating,{'type': 'DEFINES'}
IPC_415,PROC_CHEATING_FRAUD,{'type': 'LEADS_TO'}
IPC_417,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_417,cheating,{'type': 'DEFINES'}
IPC_419,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_419,cheating,{'type': 'DEFINES'}
IPC_420,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_420,cheating,{'type': 'DEFINES'}
IPC_420,PROC_CHEATING_FRAUD,{'type': 'LEADS_TO'}
IPC_425,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_425,mischief,{'type': 'DEFINES'}
IPC_427,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_427,mischief,{'type': 'DEFINES'}
IPC_428,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_428,mischief,{'type': 'DEFINES'}
IPC_429,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_429,mischief,{'type': 'DEFINES'}
IPC_447,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_447,trespass,{'type': 'DEFINES'}
IPC_448,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_448,trespass,{'type': 'DEFINES'}
IPC_465,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_465,forgery,{'type': 'DEFINES'}
IPC_465,PROC_FORGERY,{'type': 'LEADS_TO'}
IPC_467,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_467,forgery,{'type': 'DEFINES'}
IPC_467,PROC_FORGERY,{'type': 'LEADS_TO'}
IPC_468,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_468,forgery,{'type': 'DEFINES'}
IPC_468,PROC_FORGERY,{'type': 'LEADS_TO'}
IPC_471,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_471,forgery,{'type': 'DEFINES'}
IPC_471,PROC_FORGERY,{'type': 'LEADS_TO'}
IPC_489B,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_489B,counterfeiting,{'type': 'DEFINES'}
IPC_494,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_494,bigamy,{'type': 'DEFINES'}
IPC_499,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
