sample_id,question,chain_q_orig,chain_q_extended,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu1,bleu2,bleu3,bleu4,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"Sir, I took my mother agricultural land after death in 1995, I have renovated with huge amount this land. Now, after 24 years my sister demanding share. Otherwise she wants to file suit for possession. She got rights to claim her share.( Bangalore, Karnataka )",CCS_54 -> PROC_INHERITANCE_SUCCESSION -> PROC_DIVORCE_CONTESTED -> DP_3,"CCS_54 -> PROC_INHERITANCE_SUCCESSION -> PROC_DIVORCE_CONTESTED -> DP_3 -> dowry_harassment -> PROC_DOWRY_HARASSMENT -> CCS (Pension) Rules, 1972 -> family_pension",Whatever may be did . But she's legal hair . She having such property right,Your sister may have a right to claim her share in the agricultural land as inheritance laws can allow for such claims. It would be advisable to review the specific inheritance laws applicable in Karnataka. Consider seeking legal advice to understand the implications and possible outcomes.,1.211,37.4355,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
2,"My grandfather died intestate. All his children have passed on too. The property still stands in my grandfather's name. How does it get divided between his grandchildren? Do we have to obtain any court order or document to transfer the property to transfer the property to the names of the grandchildren( Mumbai suburban, Maharashtra )",HSA_8 -> HSA_10 -> MWPSC_23 -> ISA_37,"HSA_8 -> HSA_10 -> MWPSC_23 -> ISA_37 -> PROC_INHERITANCE_SUCCESSION -> inheritance -> Indian Succession Act, 1925 -> Hindu Succession Act, 1956","DearTo facilitate the transfer of the property to the names of the grandchildren, it may be necessary to go through a legal process that involves obtaining a succession certificate or a letter of administration from the court. This process helps establish the rightful heirs and their respective shares in the property.","The property division will follow the Hindu Succession Act, 1956, as your grandfather died intestate. The grandchildren may need to obtain a legal document or court order to transfer the property to their names. It's advisable to consult with a legal professional for the specific process in Mumbai suburban, Maharashtra.",4.3987,66.9965,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
3,"What to do my wife has put all possible charges against me and my parents like dowry sexual abuse by me and my father , domestic violence, my father is 64 years please advice what to do( Kanpur, Uttar Pradesh )",DP_3 -> DVA_12 -> DVA_17 -> DVA_18,DP_3 -> DVA_12 -> DVA_17 -> DVA_18 -> PROC_DOMESTIC_VIOLENCE_COMPLAINT -> PROC_LEGAL_AID_ACCESS -> PROC_DOWRY_HARASSMENT -> domestic_violence,"Dear Sir,It is casual not to worry. You may go to High Court and get the charge is stayed then quashed by hiring a reputed advocate.",Consider seeking legal aid to understand your rights and options. You may need to respond to the domestic violence complaint and any dowry harassment allegations. It's important to address these charges through the proper legal channels.,4.4868,46.3154,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
4,"How to apply caste certificate( Srikakulam, Andhra Pradesh )",SMA_13 -> PROC_INHERITANCE_SUCCESSION -> PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE -> PROC_DIVORCE_CONTESTED,"SMA_13 -> PROC_INHERITANCE_SUCCESSION -> PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE -> PROC_DIVORCE_CONTESTED -> Special Marriage Act, 1954 -> PROC_DIVORCE_MUTUAL_CONSENT -> divorce -> Q_631",Dear ClientTo apply for the caste certificate you will have to submit an application to the panchayat or block depending on where you reside. You may also get the same from the local councilor if you live in a city.,"The fact-rule-chain provided does not directly address the process for applying for a caste certificate in Srikakulam, Andhra Pradesh. Generally, applying for a caste certificate involves submitting an application to the local revenue department or online through the state's official portal. It is advisable to check with local authorities for specific procedures and requirements.",6.1865,76.5448,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
5,"My Aunt (Father's Sister) was not available at the time of GIFT DEED written on my name by my GRAND PARENT'S and they have only two kids (DAD and AUNT) and my aunt has son and daughter and they live in Chennai and my AUNT is willing to give NO OBJECTION DOCUMENT. So can i take any NO OBJECTION Couriered to her and signed and returned back to me as a supporting document of GIFT DEED, So that i don't need her signature in future if i want to sell the property.( Hyderabad, Andhra Pradesh )",CCS_54 -> DP_3 -> INDRA_SARMA_2013 -> PROC_CHILD_CUSTODY,CCS_54 -> DP_3 -> INDRA_SARMA_2013 -> PROC_CHILD_CUSTODY -> PROC_DOWRY_HARASSMENT -> PROC_INHERITANCE_SUCCESSION -> dowry_harassment -> DVA_18,"Dear Sir,Now, it cannot happen.","You can have your aunt sign a No Objection Document and courier it back to you. This document can serve as support for the Gift Deed. However, it's advisable to consult a local legal expert to ensure it meets all requirements for future property transactions.",0.9799,18.4458,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
6,"Is there any legal way to ask financial support from my father bcos i turned 18 in jan 2022 and he left me and completely refused to give a single penney. Can I  get a legal help?( Surat, Gujarat )",HMA_24 -> HMA_25 -> CRPC_125 -> CRPC_128,"HMA_24 -> HMA_25 -> CRPC_125 -> CRPC_128 -> maintenance -> PROC_LEGAL_AID_ACCESS -> Hindu Marriage Act, 1955 -> Code of Criminal Procedure, 1973","Dear ClientAs per the Section 125 of Cr.P.C. only a minor child can ask for maintenance from the father or a major child who suffers from some disability.Even under the Hindu Adoption and Maintenance Act, 1956, Section 20 only a minor child can ask for maintenance.","You may seek financial support under the Code of Criminal Procedure, 1973, specifically CRPC_125, which allows for maintenance claims. Legal aid might be available to assist you in this process. Consider contacting local legal aid services for guidance.",2.3804,46.8329,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
7,"Mere father apne 3 sons m se kisi ek ko apni property ka extra part de to other son case kr ke us property ko distribute kara sakte ya nhi( Jhansi, Uttar Pradesh )",property_rights -> SRA_5 -> IPC_420 -> MWPSC_23,"property_rights -> SRA_5 -> IPC_420 -> MWPSC_23 -> PROC_INHERITANCE_SUCCESSION -> inheritance -> cheating -> Specific Relief Act, 1963",NO.,"If a father gives an extra part of his property to one son, the other sons may challenge this in court. The outcome depends on inheritance and succession laws. Legal advice may be needed to understand specific rights under these laws.",0.813,2.3558,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
8,"If run away couple are 20yrs old both..girl and boy(girl is above 18 but boy is not above21) with consent of girl and For girl run away from home is necessary as she has threat of life and liberty and if they run they as per law they can't do marriage as boy is not above 21..what The Boy can Do In Such Circumstances? As girl's parents often file complaints like rape, kidnapping, brain washing etc.( Vadodara, Gujarat )",ART_21 -> BNS_63 -> SENIOR_CITIZENS_MAINTENANCE_RULES_2009 -> PROC_MAINTENANCE_CLAIM,"ART_21 -> BNS_63 -> SENIOR_CITIZENS_MAINTENANCE_RULES_2009 -> PROC_MAINTENANCE_CLAIM -> HAMA_20 -> Hindu Adoption and Maintenance Act, 1956 -> Bharatiya Nyaya Sanhita -> DVA_18",Wait for the guy to be 21 and thereafter get married. Precautionary steps.1. Gain the trust of the female2. Charges of rape etc may take place3. Start living in together4. Keep proofs that she was living consent fully with you for eg. open a joint bank account or any other thing.,"The boy can focus on ensuring the girl's safety and well-being, as her life and liberty are at risk. Since they cannot legally marry due to his age, they should seek legal advice to address any complaints filed by the girl's parents. It's important to prioritize her protection and consider legal options available for their situation.",1.0294,51.2073,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
9,"I am a widow. I have 2 daughters from first marriage, the elder is 19 years and the younger is 13 years. I am planning for second marriage with a widower with 2 kids, how to protect my property. Will the second husband have the rights on my property after marriage. Please suggest.( Bangalore, Karnataka )",marriage -> PROC_BIGAMY_COMPLAINT -> property_rights -> PROC_DIVORCE_MUTUAL_CONSENT,"marriage -> PROC_BIGAMY_COMPLAINT -> property_rights -> PROC_DIVORCE_MUTUAL_CONSENT -> HMA_12 -> nullity_of_marriage -> Hindu Marriage Act, 1955 -> Q_670","Hi,While the wife is alive the husband has no right over her self acquired property or ancestral property. If wife dies without executing a will her husband and children will succeed to her share in the ancestral property. Therefore, if you wish to protect your property from him, make a will in the name of your children with first husband.If you like my answer, please give a good review.",Your property rights remain with you after remarriage. The second husband does not automatically have rights to your property. Consider legal advice for specific protection measures.,0.8161,56.6084,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
10,"My girlfriend is Indonesian and lives in Indonesia. She got married forcefully married in April this year. I am thinking to get her to India secretly and get her pregnant so that she easily gets divorced. Are there any legal issues in this step? Actually, no other way seems possible, I really want to live my whole life with her.( Ghaziabad, Uttar Pradesh )",HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362,"HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362 -> Code of Criminal Procedure, 1973 -> PROC_DIVORCE_MUTUAL_CONSENT -> divorce -> Hindu Marriage Act, 1955","Hi,she can file for divorce in Indonesia.she can send her spouse a legal notice and later claim that the marriage happened without her consent and was forcefully done.","Bringing someone to India secretly and getting them pregnant to facilitate a divorce could involve legal issues. The Hindu Marriage Act, 1955, and the Code of Criminal Procedure, 1973, govern divorce and related proceedings, which must be followed legally. It's important to consider legal advice to understand the implications and proper procedures.",1.047,56.443,16.1896,1.9188,14.3192,14.5734,23.6635,3.4284,0.8269,0.9963,0.481,15.7974,45.4629,47.0029,84.3666
