sample_id,question,chain_q_orig,chain_q_extended,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu1,bleu2,bleu3,bleu4,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )",MHA_114 -> RPSR_34 -> RPSR_8932 -> EPF_AT,MHA_114 -> RPSR_34 -> RPSR_8932 -> EPF_AT -> RPSR -> MHA -> MHA_85 -> RPSR_3213,Dear ClientI think you have a valid case to ask for regularization but then to be very specific you need to share the contract and service rule book with us so that I can then provide you the more specific or exact answer on that. But as said prima-facie you have a case.,"Based on the fact-rule-chain, your case for regularization may have some merit due to your long-term contract and benefits received. However, the outcome would depend on specific legal interpretations and court discretion. Consulting a legal expert for personalized advice would be beneficial.",2.5805,71.3618,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
2,"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )",IRC_72 -> FIN_A_8 -> PSI_9 -> RPSR_5923A,IRC_72 -> FIN_A_8 -> PSI_9 -> RPSR_5923A -> RPSR -> FIN_A -> IRC -> PSI,"A.Dear Sir,Yes, you can file but success rate is very low and remote.","The fact-rule-chain provided does not directly address filing a writ for fraudulent selection of an anganwadi worker. Generally, if there is evidence of fraud or political interference, legal action might be possible. Consulting a legal expert for specific guidance on this issue is advisable.",1.1133,28.7799,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
3,"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )",MBA_10 -> FA_79 -> SPE_4 -> MTW_24,MBA_10 -> FA_79 -> SPE_4 -> MTW_24 -> leave -> Factories Act 1948 -> SPE -> wages,"Dear Client,Your query requires a few more details like the date of joining, length of service rendered by you before delivery etc. However, it is to inform you that as per the provision of the Maternity Benefit Act, 1961, an employee is entitled for maternity leave with full pay on completion of at least 80 days of work in an establishment in the 12 months prior to her expected date of delivery. The duration of maternity leave for both first and second-time mothers is 6 months or 26 weeks. This leave can be availed either before or within 6 months from the date of delivery of the child. Once a woman employee applies for maternity leave, the Company is dutybound to approve her leave and disburse her all the monetary benefits available under the Act. So, when the delivery date is 18/04/2023 and you applied for maternity leave on 03/03/2023 and you did not render 80 days of work before applying for maternity leave, then as per the eligibility criteria prescribed under the Act, you are not eligible for the maternity leave.","Your situation may relate to the Factories Act 1948, which can involve leave and wages. If your leave was related to maternity, you might be entitled to certain benefits under this act. Consider checking if your leave qualifies under the act and discuss with your company or seek local legal advice for clarity.",0.2484,57.7723,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
4,"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )",ESI_2 -> ESI_2A -> ESI_10 -> ESI_20,ESI_2 -> ESI_2A -> ESI_10 -> ESI_20 -> Employees State Insurance Act 1948 -> esi -> ESI_39 -> Q_487,"Dear Client,Yes, you may. The eligible dependents benefit in favour of the injured/deceased in accordance with law within a period of four weeks. Kindly consult a lawyer. Check out the case Room No.9 vs Sub-Regional Office.Thank you!","If a laborer dies of a stroke while working, there may be a claim for compensation under the Employees State Insurance Act 1948. The eligibility for compensation depends on the circumstances and connection to employment. It is advisable to check specific provisions and consult ESIC for clarity.",2.2363,49.782,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
5,"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )",IDA_17B -> EPF_12 -> ESI_72 -> ISM_12,IDA_17B -> EPF_12 -> ESI_72 -> ISM_12 -> wages -> Industrial Disputes Act 1947 -> Employees State Insurance Act 1948 -> ISM,"Dear Client,If you have been terminated from your company without any reason and have received only 6 days' extra pay beyond the days you worked, you may have grounds for legal action under Indian labor laws. The Industrial Disputes Act, 1947, protects employees from unfair dismissal and ensures that employers provide a valid reason for termination. Additionally, under the Payment of Wages Act, 1936, employees are entitled to receive full and timely payment of their due wages. You should send a formal written complaint to your employer detailing your grievance and request the full payment you are owed. If the issue is not resolved, you can file a complaint with the labor commissioner or seek legal counsel to take the matter to the labor court to claim your rightful dues and any additional compensation for wrongful termination.","The situation may relate to the Industrial Disputes Act 1947, which deals with employment termination issues. You might want to check if your termination aligns with the provisions under this act. Consider seeking advice to understand your rights under the relevant laws.",0.7252,66.9389,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
6,"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )",relieving_letter -> GST_143 -> BTC_292 -> EC_RULES_68,relieving_letter -> GST_143 -> BTC_292 -> EC_RULES_68 -> wages -> EC_RULES -> GST -> BTC,"Dear Client,While you are pursuing a regular degree course, you cannot take up any full-time job even if it is merely for a one-month. It is also impermissible under a regular course nomenclature. In the present state of affairs, neither you could inform the matter to college authority that may affect your degree nor, suppress the fact in the SSC CGL application form because a Background verification(BGV) check is a process many organizations carry out to verify the information provided by the candidate during hiring. Verification of EPFO records through UAN is critical for conducting employee background checks because it allows employers to confirm that their employees are not using false or stolen identities to gain employment. In case of a negative background verification check an employer can even reject/terminate the employment of the candidate. So, in the given situation, considering your career prospects, you need to visit the office of the PSC who conducted the SSC exams to clarify the matter in detail to protect both of your academic and job career.","Based on the fact-rule-chain, you have a relieving letter, which suggests you completed your employment properly. It is generally advisable to disclose all employment in official forms to avoid issues with suppression of information. However, specific rules for the SSC CGL attestation form should be checked to ensure compliance.",0.5229,60.0546,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
7,"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",IDA_17B -> EPF_12 -> ESI_72 -> ISM_12,IDA_17B -> EPF_12 -> ESI_72 -> ISM_12 -> wages -> Industrial Disputes Act 1947 -> Employees State Insurance Act 1948 -> ISM,If not provided then make written application to them for it or take oc from them . After that approach to the court,"You may consider addressing your concerns under the Industrial Disputes Act 1947, which deals with employment termination issues. It might be helpful to seek clarification from your employer regarding the dues and documents. If unresolved, consulting a local labor authority or legal advisor could be beneficial.",1.1181,32.4693,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
8,"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",CCS_ME -> GST_69 -> GST_66 -> EC_RULES_66,CCS_ME -> GST_69 -> GST_66 -> EC_RULES_66 -> EC_RULES -> GST -> GST_122A -> GST_76,"A.Dear Sir,The fake job offer fraud.They promise a job - but first you must pay. Please do not send money via Western Union.This page: The fake job fraud,  see also Internet fraud update , The money laundering fraud, Fraudsters haunting dating/matchmaking websites , The fake loan offer fraud andthe bank accounts they use.A painful duty - Exposing the British (and Irish) connection.  What happened to my money? All 419 fraud victims should read this.NB: Many victims seem to have been contacted by the scammers as a result of them putting up a CV at sites like Monster.com, Totaljobs.com and Careerbuilder.com. BUT - Monster.com have pointed out that the scammers often use the Monster name to add credibility to their fraudulent offers. The use of a Monster address in a fraud mail may simply indicate an attempt at deception. The criminals often use the titles of genuine companies in their scam mailings. Some will appear below, but of course these companies have no relationship with the scammers, they are just another category of victim.The criminals will also place fake job advertisements in local newspapers. If you become aware of these, please complain to the newspapers. You can let them know that they will probably not get paid for the space.Online Fake JobsMany websites offer online jobs but most of them are fake. Then they issue legal notices through their fake advocates. The online employers threaten the young unemployed and extract money. The victims need not worry about it. They may either ignore such legal notices, WhatsApp messages or approach the nearest police station and lodge complaints. The unemployed youth must be very careful while accepting such online jobs. They cannot do anything but the unemployed youth pay the online employers small amounts as penalties, fines for violations or non complying the rules and regulations of such employers.",It seems like you might be dealing with a scam. Legitimate companies do not threaten to upload personal details or arrest family members. Consider contacting local authorities for assistance.,0.0001,37.2438,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
9,"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",ICA_73 -> ICA_74 -> SRA_14 -> SRA_16,ICA_73 -> ICA_74 -> SRA_14 -> SRA_16 -> Specific Relief Act 1963 -> employment_bond -> wages -> Indian Contract Act 1872,"Dear Sir,It all depends upon your willingness to deposit such amount otherwise there are chances of losing job.Please take PAID phone call with me through VIDHIKARYA and get more legal guidance.","The minimum wages criteria are determined by the Indian Contract Act 1872 and related laws, but specific amounts can vary by region and job role. Regarding the deposit and transfer request, it is unusual and could be risky; you should seek clarification from the company and consider consulting a legal expert. Employment bonds must comply with the Indian Contract Act and Specific Relief Act, but if they seem unfair, legal advice may be necessary.",0.7608,57.019,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
10,"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.",MBA_10 -> FA_79 -> SPE_4 -> MTW_24,MBA_10 -> FA_79 -> SPE_4 -> MTW_24 -> leave -> Factories Act 1948 -> SPE -> wages,"You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","It seems you are facing issues related to workplace treatment and changes in work conditions. The Factories Act 1948 may have provisions related to leave and wages, but specific details on bullying and discrimination might not be covered directly. It might be helpful to discuss these concerns with HR or seek advice on workplace rights.",0.8581,31.0906,17.7365,2.4449,15.5493,14.4945,30.177,4.8774,1.3136,0.5364,0.176,13.3953,47.5674,47.8752,84.4873
