sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )","Appointment on Contract Basis → Section 10(1) of the Contract Labour Regulation and Abolition Act, 1970","Appointment on Contract Basis → Section 10(1) of the Contract Labour Regulation and Abolition Act, 1970 → Catering Cleaners Seeking Regularization → Contract System for Cleaning Work → Nature of Employment Disputed → Section 2(1) of the Contract Labour Regulation and Abolition Act, 1970","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","How to get back my original certificate( Coimbatore, Tamil Nadu )","Not getting Full and Final settlement from the employer to whom I have to complaint and how?( Bangalore, Karnataka )",Dear ClientI think you have a valid case to ask for regularization but then to be very specific you need to share the contract and service rule book with us so that I can then provide you the more specific or exact answer on that. But as said prima-facie you have a case.,"Under Section 10(1) of the Contract Labour Regulation and Abolition Act, 1970, the regularization of contract employees is not automatic and typically requires a determination that the contract system is being used to circumvent regular employment. Given your long tenure and the benefits you receive, there may be grounds to argue that your employment is of a regular nature. However, the Supreme Court in cases like ""Secretary, State of Karnataka v. Umadevi"" (2006) has held that regularization is not a right unless specific statutory provisions provide for it.

You can file a writ petition in the High Court of Delhi seeking regularization, arguing that your employment has effectively become permanent due to the nature and duration of your service. Collect and present evidence of your employment conditions and benefits to support your claim. Consult with a lawyer who specializes in employment law to assess the specific merits of your case and to assist in filing the petition.",0.7499,52.3808,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
2,"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )",Interview Process for Patwaris Conducted → Candidates Selected Based on Merit,"Interview Process for Patwaris Conducted → Candidates Selected Based on Merit → Grievance Raised by Unsuccessful Candidates → Ashok Yadav v. State of Haryana, 1985 Supp. 1 SCR 657 → Committee for Selection Properly Constituted → Rule 2(a) of the Punjab Revenue Patwari Class II Service Rules","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","How to get back my original certificate( Coimbatore, Tamil Nadu )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","A.Dear Sir,Yes, you can file but success rate is very low and remote.","A writ petition can be filed in the High Court under Article 226 of the Constitution of India to challenge the selection process of an Anganwadi worker if there is evidence of fraudulent practices or political interference. The key legal issue here is whether the selection process violated principles of fairness and transparency, as established in cases like Ashok Yadav v. State of Haryana. However, mere allegations without evidence are insufficient; concrete proof of irregularities is necessary.

The user should gather all relevant documents and evidence supporting the claim of political interference or fraud. It is advisable to consult a lawyer to draft the writ petition, focusing on the violation of procedural fairness and any specific rules governing the selection process.",0.4592,24.7103,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
3,"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )",Employee Applied for Leave Preparatory to Retirement → Leave Revoked by Government,Employee Applied for Leave Preparatory to Retirement → Leave Revoked by Government → Article 310 of the Constitution of India → Allegations of Mala Fide Action by Chief Minister → Legitimate Expectation for Continuation of Tenure → Clause 2 of Article 310 of the Constitution of India,"How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","How to get back my original certificate( Coimbatore, Tamil Nadu )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","Dear Client,Your query requires a few more details like the date of joining, length of service rendered by you before delivery etc. However, it is to inform you that as per the provision of the Maternity Benefit Act, 1961, an employee is entitled for maternity leave with full pay on completion of at least 80 days of work in an establishment in the 12 months prior to her expected date of delivery. The duration of maternity leave for both first and second-time mothers is 6 months or 26 weeks. This leave can be availed either before or within 6 months from the date of delivery of the child. Once a woman employee applies for maternity leave, the Company is dutybound to approve her leave and disburse her all the monetary benefits available under the Act. So, when the delivery date is 18/04/2023 and you applied for maternity leave on 03/03/2023 and you did not render 80 days of work before applying for maternity leave, then as per the eligibility criteria prescribed under the Act, you are not eligible for the maternity leave.","The key legal issue is whether the company's refusal to pay due to immediate leave notice is justified. Under Indian labor laws, if the employment contract or company policy does not explicitly require a three-month notice for leave, the company's refusal to pay may be unjustified. The user should review their employment contract and company policy to confirm any notice requirements.

If the contract does not support the company's claim, the user can send a formal legal notice demanding payment of dues. If the issue remains unresolved, the user may file a complaint with the labor court or approach the labor commissioner in Noida, Uttar Pradesh, for redress.",1.1678,37.8184,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
4,"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )",Union Formed in Factory → Management Discharged Workmen,Union Formed in Factory → Management Discharged Workmen,"I absconded the company with out any notice period.and also I didn't give any resignation also . i recieved a Mail after 20 days  l left the company, regarding termination letter. After 2 months i got the due to shortfall of notice period ,I have to pay  1 month salary.I left the company because of I didn't like the work culture.I tried to tell them regarding resignation but they are not in a mood to listen .so I left the company with any intimation.soi will really get any penalty for not serving notice period?.please hel me in this.do I have to pay money or no need to pay ? Is there anything I can do other than paying money?.please help me in this .( Hyderabad, Telangana )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","I have worked 5.1 years  in an xxx organisation. They said, in the first year of my experience  I have probation period of six month. So, employer saying that am not eligible for gratuity you would be consider as 4.5 years experiences served in the organisation. So they saying you are not eligible for gratuity . Can you please confirm me whether am eligible for gratuity or not ? Is that training or probation period Iâll affect that gratuity?( Chennai, Tamil Nadu )","Dear Client,Yes, you may. The eligible dependents benefit in favour of the injured/deceased in accordance with law within a period of four weeks. Kindly consult a lawyer. Check out the case Room No.9 vs Sub-Regional Office.Thank you!","Under the Employees' State Insurance Act, 1948, if a laborer dies due to an employment injury or occupational disease, their dependents may be entitled to compensation. A stroke could be considered an employment injury if it can be linked to work-related stress or conditions. The dependents should file a claim with the Employees' State Insurance Corporation (ESIC) for benefits.

The user should gather medical evidence linking the stroke to the work environment and submit a claim to the ESIC. If the claim is denied, they can appeal the decision through the appropriate ESIC appellate authority.",1.1198,52.6777,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
5,"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )","Termination Based on Insufficient Days Worked → Section 25F of the Industrial Disputes Act, 1947","Termination Based on Insufficient Days Worked → Section 25F of the Industrial Disputes Act, 1947 → Labour Court Found Termination Invalid → Employee Entitled to Reinstatement with Back Wages → Employee Promoted After Reinstatement → High Court Found No Violation of Natural Justice","I have just quit my job on the very first day because the environment and work culture was horrible. I had filled 3 4 forms before joining.

Requisition for issue of photo identity card
Joining form
Salary account declaration
The Professional Confidentiality and Non Disclosure agreement.
And EPF form

There was no mention of notice period or any bond period in any of these forms.

Will there be any demand for money or compensation from the company ?( South Delhi, Delhi )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","Dear Client,If you have been terminated from your company without any reason and have received only 6 days' extra pay beyond the days you worked, you may have grounds for legal action under Indian labor laws. The Industrial Disputes Act, 1947, protects employees from unfair dismissal and ensures that employers provide a valid reason for termination. Additionally, under the Payment of Wages Act, 1936, employees are entitled to receive full and timely payment of their due wages. You should send a formal written complaint to your employer detailing your grievance and request the full payment you are owed. If the issue is not resolved, you can file a complaint with the labor commissioner or seek legal counsel to take the matter to the labor court to claim your rightful dues and any additional compensation for wrongful termination.","Under the Industrial Disputes Act, 1947, specifically Section 25F, an employer must provide notice and compensation before terminating an employee who has completed 240 days of continuous service. If you have not completed 240 days, the employer may not be required to follow this procedure. However, if the termination was without any valid reason, you may challenge it as wrongful termination.

You can file a complaint with the Labour Court in Patna, alleging unfair dismissal and seek reinstatement or compensation. Gather evidence of your employment duration and any communication regarding your termination to support your case.",11.1015,72.0598,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
6,"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )",Suppression of Information in Attestation Form → Character and Antecedents Considered for Employment,Suppression of Information in Attestation Form → Character and Antecedents Considered for Employment → Criminal Case Pending Against Respondent → High Court Set Aside Tribunal Order → Promotions Based on Unconstitutional Rules → Article 371-D of the Constitution of India,"How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","How to get back my original certificate( Coimbatore, Tamil Nadu )","Dear Client,While you are pursuing a regular degree course, you cannot take up any full-time job even if it is merely for a one-month. It is also impermissible under a regular course nomenclature. In the present state of affairs, neither you could inform the matter to college authority that may affect your degree nor, suppress the fact in the SSC CGL application form because a Background verification(BGV) check is a process many organizations carry out to verify the information provided by the candidate during hiring. Verification of EPFO records through UAN is critical for conducting employee background checks because it allows employers to confirm that their employees are not using false or stolen identities to gain employment. In case of a negative background verification check an employer can even reject/terminate the employment of the candidate. So, in the given situation, considering your career prospects, you need to visit the office of the PSC who conducted the SSC exams to clarify the matter in detail to protect both of your academic and job career.","Under Indian law, suppression of material information in government job applications can lead to termination or disqualification. Article 371-D of the Constitution of India, which pertains to public employment, underscores the importance of transparency and honesty in disclosures. Given that the employment was brief and during a regular degree course, it is advisable to disclose this employment in the SSC CGL attestation form to avoid any allegations of suppression.

Legally, omitting this information could be considered suppression, especially since the employment is linked to your UAN and Aadhaar, making it easily verifiable. The next steps are to accurately disclose the one-month employment in the attestation form and ensure all documents, such as the offer and relieving letters, are ready for verification if required.",5.0354,63.3235,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
7,"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",Appellant Worked for 12 Years → Request for Class IV Post Made,"Appellant Worked for 12 Years → Request for Class IV Post Made → Gujarat Non-Secretariat Clerks, Clerks-cum-Typist Direct Recruitment Procedure Rules, 1990","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I absconded the company with out any notice period.and also I didn't give any resignation also . i recieved a Mail after 20 days  l left the company, regarding termination letter. After 2 months i got the due to shortfall of notice period ,I have to pay  1 month salary.I left the company because of I didn't like the work culture.I tried to tell them regarding resignation but they are not in a mood to listen .so I left the company with any intimation.soi will really get any penalty for not serving notice period?.please hel me in this.do I have to pay money or no need to pay ? Is there anything I can do other than paying money?.please help me in this .( Hyderabad, Telangana )","I have just quit my job on the very first day because the environment and work culture was horrible. I had filled 3 4 forms before joining.

Requisition for issue of photo identity card
Joining form
Salary account declaration
The Professional Confidentiality and Non Disclosure agreement.
And EPF form

There was no mention of notice period or any bond period in any of these forms.

Will there be any demand for money or compensation from the company ?( South Delhi, Delhi )",If not provided then make written application to them for it or take oc from them . After that approach to the court,"The primary legal issue here is the employer's failure to provide a full and clear settlement of dues and necessary employment documentation, which may constitute a breach of contract. Under the Indian Contract Act, 1872, an employer is obligated to fulfill contractual obligations, including providing dues and necessary documentation upon termination. You can send a formal legal notice to your employer demanding the full settlement of dues and issuance of the necessary documents such as the no dues certificate. If the employer fails to comply, you may file a complaint with the labor court or approach the appropriate legal forum to seek redress for breach of contract.",0.5348,33.8323,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
8,"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",Dispute Over Will Validity → Property Owned by Deceased,Dispute Over Will Validity → Property Owned by Deceased,"How to get back my original certificate( Coimbatore, Tamil Nadu )","Principal is using abusing words and mental torches the faculty with her words( Nizamabad, Telangana )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","A.Dear Sir,The fake job offer fraud.They promise a job - but first you must pay. Please do not send money via Western Union.This page: The fake job fraud,  see also Internet fraud update , The money laundering fraud, Fraudsters haunting dating/matchmaking websites , The fake loan offer fraud andthe bank accounts they use.A painful duty - Exposing the British (and Irish) connection.  What happened to my money? All 419 fraud victims should read this.NB: Many victims seem to have been contacted by the scammers as a result of them putting up a CV at sites like Monster.com, Totaljobs.com and Careerbuilder.com. BUT - Monster.com have pointed out that the scammers often use the Monster name to add credibility to their fraudulent offers. The use of a Monster address in a fraud mail may simply indicate an attempt at deception. The criminals often use the titles of genuine companies in their scam mailings. Some will appear below, but of course these companies have no relationship with the scammers, they are just another category of victim.The criminals will also place fake job advertisements in local newspapers. If you become aware of these, please complain to the newspapers. You can let them know that they will probably not get paid for the space.Online Fake JobsMany websites offer online jobs but most of them are fake. Then they issue legal notices through their fake advocates. The online employers threaten the young unemployed and extract money. The victims need not worry about it. They may either ignore such legal notices, WhatsApp messages or approach the nearest police station and lodge complaints. The unemployed youth must be very careful while accepting such online jobs. They cannot do anything but the unemployed youth pay the online employers small amounts as penalties, fines for violations or non complying the rules and regulations of such employers.","This situation likely constitutes extortion under Section 383 of the Indian Penal Code, which involves obtaining property through coercion or threats. Legally, the user cannot be compelled to make further payments under duress, nor can their family be legally arrested without due cause. The user should immediately cease all communication with the perpetrators and collect any evidence of the threats, such as messages or call logs. The next step is to file a complaint with the local police station, detailing the extortion and threats, and provide any evidence collected. Additionally, consider reaching out to a cybercrime unit, as this may also involve online fraud.",0.2737,32.0136,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
9,"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",Section 5 of the Minimum Wages Act → Court Held Notification Applicable to Employer,Section 5 of the Minimum Wages Act → Court Held Notification Applicable to Employer → Section 14 of the Minimum Wages Act → Section 3 of the Minimum Wages Act → Section 27 of the Minimum Wages Act → State Government Empowered to Fix Minimum Wages for Scheduled Employment,"Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","I have worked 5.1 years  in an xxx organisation. They said, in the first year of my experience  I have probation period of six month. So, employer saying that am not eligible for gratuity you would be consider as 4.5 years experiences served in the organisation. So they saying you are not eligible for gratuity . Can you please confirm me whether am eligible for gratuity or not ? Is that training or probation period Iâll affect that gratuity?( Chennai, Tamil Nadu )","Dear Sir,It all depends upon your willingness to deposit such amount otherwise there are chances of losing job.Please take PAID phone call with me through VIDHIKARYA and get more legal guidance.","The company's request to transfer deposited funds back to another account could potentially violate tax laws and may be indicative of fraudulent activity. Under the Minimum Wages Act, the employer is required to pay at least the minimum wage set by the state government, which varies based on employment type and location. Employees cannot be compelled to engage in financial transactions that may be illegal or unethical.

Legally, you should not comply with any request that seems suspicious or could involve tax evasion. Report this activity to the relevant authorities, such as the Income Tax Department or the Ministry of Labour and Employment. Consider consulting with a legal professional to protect your rights and ensure compliance with all applicable laws.",0.5011,53.5564,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
10,"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.","Change in Work Hours Not Properly Notified → Section 61 of the Factories Act, 1948","Change in Work Hours Not Properly Notified → Section 61 of the Factories Act, 1948","How to get back my original certificate( Coimbatore, Tamil Nadu )","Principal is using abusing words and mental torches the faculty with her words( Nizamabad, Telangana )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","The primary legal issue involves potential workplace discrimination and violation of employment terms. Under the Equal Remuneration Act, 1976, discrimination in pay and work conditions based on gender or other prohibited grounds is illegal. Additionally, any changes in work hours or conditions without proper notification may violate employment contract terms and could be addressed under labor laws such as the Industrial Employment (Standing Orders) Act, 1946.

You can file a formal complaint with your company's HR department detailing instances of discrimination and changes in work conditions. If internal resolution fails, consider approaching the labor commissioner or filing a complaint with the appropriate labor court. Document all instances of discrimination and changes in work conditions to support your case.",0.9944,32.0864,19.6068,3.7252,17.3796,20.1218,2.8962,24.0777,5.0865,1.4753,0.9046,22.6148,50.1359,52.0375,84.0049
