sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,rouge1,rouge2,rougel,meteor,bertscore
1,"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )",IPC_465 → IPC_467 → IPC_468 → IPC_471,IPC_465 → IPC_467 → IPC_468 → IPC_471 → Indian Penal Code 1860 → PROC_FORGERY → forgery → IPC_191,"A contract company has two partners.  One is authorized to sign in contract agreement. He wants to give corruption complaint in an officer  in VAC.  Should the company pass resolution and give him permission?( Chennai, Tamil Nadu )","If ""X"" state's police take custody of accused on Production Warrent who was on MCR in ""Y"" state....so does it mean that accused has been released on bail by the Y state court ?( Hyderabad, Telangana )","Unfer what section can we protect men from being blamed for false accusation( Kangra, Himachal Pradesh )","Dear Client,Section 67B of the Information Technology Act, 2000, which, after amendment in 2008, criminalizes the publishing, transmitting, or causing the transmission of sexually explicit content. Once a violation of Sec.67B of I T Act, is reported to the Cyber Crime Cell, the matter is suo motto investigated by the authorities and the person may be called on for interrogation to access the source of such offensive posts on social networks and to find out the veracity of the facts from the related intermediaries or service providers. On investigation, if they find the person is in any way violating the provisions of the Act, they can be booked for committing the crime. Further, Section 66E of the Information Technology Act, 2000 deals with the transmission of photos of any personâs private area without his or her consent on social media, which is a criminal offence and the penalty is either three years in prison or a fine of not more than two lakh rupees, or both. On investigation, if the police find that the person is in any way violating the provisions of the Act, he can be booked for committing the crime under Section 66E of the Information Technology Act, 2000. Any person who feels their reputation has been damaged by defamatory statements or acts can sue for defamation under Section 356 of BNS, which replaced Section 499 of IPC. If a person is found guilty of criminal defamation, they can be sentenced to imprisonment for up to two years, a fine, or both under Section 500 of the IPC, replaced by Section 356(2) of the BNS. If required, consult with an Advocate to navigate the issues in the right way.","The act of circulating fake pornographic material to defame an individual can be prosecuted under Section 67A of the Information Technology Act, 2000, which deals with publishing or transmitting obscene material in electronic form. The punishment for a first conviction under this section can be imprisonment for up to five years and a fine of up to ten lakh rupees. Additionally, this act may also constitute defamation under Section 499 of the Indian Penal Code, which can lead to imprisonment for up to two years, or a fine, or both.

The victim should file a complaint with the local police or cybercrime cell, providing all available evidence of the material and its circulation. It is also advisable to seek a restraining order from a court to prevent further distribution of the material.",20.714,4.4815,18.2267,21.2709,84.0604
2,"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )",CRPC_210 → ART_20 → CRPC_317 → NI_ACT_AMENDMENT_2018,CRPC_210 → ART_20 → CRPC_317 → NI_ACT_AMENDMENT_2018 → NIA_138 → cheque_bounce → IPC_120A → Indian Penal Code 1860,"My Great grandfather's property has big house in valaynadhapuram Andra pradesh .but his sons and daughters couldn't be shared, one of the younger son should be occupied My grandfather had an attack hewill be so far before 8 years. So grandma is so poor she will be helpless. That property details couldn't be given by grandpa's brother and his family. So please we want me to get idea to got my property.","We have small piece of land in our native which is in tamilnadu. My dad and his brother are the true heirs. Govt has allotted and provided all the original documents. We have the patta also. Even the land was surveyed and thasildhar has approved the survey. Now in that small piece of land my uncle who is close relation had put up a shed in one corner from past 7 years which we did not care since they are our close relatives, and thought they will vacate when we request. But they turned against us and this went into physical fight where dad and opposite person was hurt by pushing each other. Opposite person got injured in head and later dad went to police station and gave complaint( Tiruvannamalai, Tamil Nadu )","Boy and girl were engaged in sexual activities for 2-3 days . At 4th day boy asks girl again for oral sex she denied. Boy requests her , thereafter she agrees and did it but uniwillingly. Is it offence under section 375?( East Delhi, Delhi )","Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.","The primary legal issue here is unlawful confinement and violation of personal liberty, potentially constituting offenses under the Indian Penal Code (IPC), such as wrongful confinement (Section 340) and assault (Section 351). Additionally, the forced thumb impression may constitute forgery under Section 463 IPC. 

Legally, one cannot be confined to a rehabilitation center against their will without a court order or legal guardianship arrangement. You can file a complaint with the local police station regarding these offenses and consider filing a writ petition for habeas corpus in the Calcutta High Court to challenge the legality of your detention. Collect any evidence of the confinement and treatment at the rehab center to support your case.",20.714,4.4815,18.2267,21.2709,84.0604
3,"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )",IPC_309 → PROC_CRIMINAL_BREACH_TRUST → IPC_120B → CRPC_210,IPC_309 → PROC_CRIMINAL_BREACH_TRUST → IPC_120B → CRPC_210 → charge_sheet → Indian Penal Code 1860 → murder → Code of Criminal Procedure 1973,"My Great grandfather's property has big house in valaynadhapuram Andra pradesh .but his sons and daughters couldn't be shared, one of the younger son should be occupied My grandfather had an attack hewill be so far before 8 years. So grandma is so poor she will be helpless. That property details couldn't be given by grandpa's brother and his family. So please we want me to get idea to got my property.","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Hello,

Iâm 35 yrs women unmarried working for private company. In dec 2017 i met one guy in Tinder he is a divorced 40 yrs working in same city. We exchanged contacts started conversations in April 2018 then met became friends and continued. One fine day after 5 months July 2018 he planned a trip and made me book hotel and we went in his car that night he forced me sexually molested mentally physically emotionally forced me to have Sex and morning when I started crying he convinced me to get married and try and continue relationship for sometime as he is recently divorced and needs sometime. We continued our relationship with few good and bad situations he always used to make me take pills to avoid pregnancy and again he planned another trip in dec and forced me to join and again forced and used me for sexual contact for 4 days. After we were back to city and I was diagnosed with some skin reaction that turned my face black he started ignoring me but relationship continued till April 2019 but I was sensing his ignorance and distancing from me I had to ask him about Marriage he as usual threatening and said will sucide if I go to his parents or tell anyone about our relationship. I couldnât control my emotions I had to tell my family about he cheating on me my uncle called him to meet and discuss he then confessed on May 31st 2019 that he is engaged in April and doesnât have any relationship with me Iâm just his friend and nothing to do with me. I went to seek help from his family his parents abused insulted me and my family and said will pay compensation but will not get his son married to me. As Iâm brutally cheated in the name of marriage and commitment and physically used emotionally and mentally threatened Iâm seeking justice. We have filed FIR against him on sec 376 and 420 he was sent to jail for 10 days and he is now out on bail as his lawyer brought in the act that guy and girl are matured and itâs mutual live in on going relationship so this shouldnât be considered as rape or cheating. He was granted bail and he is out.

In my case me and the guy were best friends and all our whatsapp chat,text were only friendly text and everything changed with the first trip we have been to on July 28th/2018 when he forced me and had physical contact without my interest and promised me to marry and made me continue the relationship till he found another women and got engaged in April/2019 and yet continued with me and has informed me in May 31st/2019 when i was asking him on our marriage.
Initial days he said he was cheated by his wife hence he got divorced as she had extra marital affair with her boss. Later while we were continuing the relationship he confessed in whatsapp text on oct 12th/2018 that he cheated his wife and he said that can be the reason for her to cheat on him and he has been cheating women since age of 21 and he cannot be committed to anyone and this is the reason he is not ready for marriage as he said he cannot trust me either but he again convinced me to continue the relationship with him also planned 2nd trip and forced me to join the trip in dec 30th 2018 to 2nd jan 2019.
In police station and 2 call recordings with my friend he confessed im just his friend no physical contact. His lawyer in court confessed its live in relationship it was consensual sex with no promise of marriage will not amount to rape or cheating this is clear enough the guy is lying from start as he said no relationship and lawyer confess mutual relationship.
I do have few exchanged text where later guy has agreed on 10th sep/2018 saying it was my mistake i shouldn't have planned the first trip especially.
Also few threatening messages from May 2nd/2019 that he has no desire to live will leave job house as i told him will go to his family. also orally he said to write an agreement that i will not come to his family property or file dowry harassment case then he will do register marriage.

His marriage date was 27th June/2019 with the engaged girl and his bail was confirmed on Jun 26th hence he is out and i'm not knowing if he is now already married or his marriage is postponed.

My only evidences are our trip bookings and our few text he agreed on saying trying the relationship, he had to walkout as relationship didn't work but he was texting calling meeting till May 31st/2019 when he was already engaged to another women in April 2019 which he had deliberately hided from me and then in frustration he texted threatening messages where he also confessed i am all yours you can do anything with me but shouldn't go to family and orally said to write some agreement on not entering his family or property or dowry case then he will do register marriage. when i said will have to speak to his family.

He now totally denies that he ever promised or committed on marriage and its mutual relationship on NO commitments which is false but i cannot prove as he always promised orally.

I need strong advice on how to fight against my case as his lawyer is senior and defending him on mutual consensual on going relationship for 1.5 years and he never promised or committed it was with no commitments and both are matured so shouldn't be 

He confessed in whatsapp text about cheating his ex wife and many girls before and cannot be committed to anyone in the name of marriage.

Now his financee and his parents are supporting him saying its mutual relationship now the guy is already engaged to another girl so they will not allow him to marry me.

His lawyer is strongly saying girl only booked the first trip booking and both are matured and will not amount to rape or cheating on the basis of mutual relationship.

He has brutally cheated me now wants to marry an young girl who is supporting him and doesn't want to marry me or accept that we had any relationship on the promise of marriage. Kindly help me to fight this case.

Iâm done with my 164 Statement recording in court on July 1st in presence of judge.

Please advice me on my case and how strongly i can fight and get justice.( Hyderabad, Telangana )","Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","Under Indian law, sharing or threatening to share private photos without consent can constitute a criminal offense under Section 354C of the Indian Penal Code (voyeurism) and Section 67 of the Information Technology Act, 2000 (publishing or transmitting obscene material). It is illegal to use such photos as leverage or evidence in a legal proceeding without the subject's consent. Instead, focus on legally permissible evidence such as call recordings, provided they were obtained lawfully.

To address the false case claim, file a counter-complaint under Section 211 of the IPC for false charges with intent to injure. Consider consulting a mental health professional if experiencing suicidal thoughts, and contact a lawyer to guide you through the legal process and ensure your rights are protected.",20.714,4.4815,18.2267,21.2709,84.0604
4,"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )",IPC_268 → public_nuisance → ICA_73 → PROC_SCST_COMPLAINT,IPC_268 → public_nuisance → ICA_73 → PROC_SCST_COMPLAINT → criminal_breach_of_trust → Indian Penal Code 1860 → Indian Contract Act 1872 → cheating,"How many days zero fir take to shift to another state in 376 ipc( South Delhi, Delhi )","A contract company has two partners.  One is authorized to sign in contract agreement. He wants to give corruption complaint in an officer  in VAC.  Should the company pass resolution and give him permission?( Chennai, Tamil Nadu )","If ""X"" state's police take custody of accused on Production Warrent who was on MCR in ""Y"" state....so does it mean that accused has been released on bail by the Y state court ?( Hyderabad, Telangana )","Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.","The issue of loudspeaker nuisance by vegetable vendors falls under ""public nuisance"" as defined in Section 268 of the Indian Penal Code (IPC). Under this provision, a public nuisance is an act affecting the public at large or the rights of the community. You can file a complaint with the local police station or approach the municipal authorities in Jhajjar, Haryana, who are responsible for maintaining public order and can take action against such disturbances. Additionally, you may consider filing a petition in the local court seeking an injunction to restrain the vendors from using loudspeakers.",20.714,4.4815,18.2267,21.2709,84.0604
5,"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )",CRPC_154 → CRPC_156 → CRPC_200 → CRPC_210,CRPC_154 → CRPC_156 → CRPC_200 → CRPC_210 → Code of Criminal Procedure 1973 → PROC_KIDNAPPING → PROC_SCST_COMPLAINT → PROC_FIR_FILING,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Arnab goswami was arrested and got bail from supreme court because his name was in suicide note.name in suicide note is very serious and case will easily run for many years although we believe your words and you can be saved.Hope this clarifies,Advocate Ankur Goel","Section 306 of the Indian Penal Code pertains to abetment of suicide, which requires proof of intentional aid or instigation. In your situation, the mere mention of your name in a suicide note does not automatically establish guilt. You can challenge the allegations by filing a petition for anticipatory bail under Section 438 of the Code of Criminal Procedure, 1973, to avoid arrest. Additionally, gather evidence and witness statements that corroborate your limited interaction with the deceased to strengthen your defense. Consult with a lawyer to prepare for any police inquiries or court proceedings.",20.714,4.4815,18.2267,21.2709,84.0604
6,"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",IPC_494 → IPC_200 → DP_3 → IPC_467,IPC_494 → IPC_200 → DP_3 → IPC_467 → PROC_FORGERY → dowry_harassment → Indian Penal Code 1860 → Dowry Prohibition Act 1961,"Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","My Great grandfather's property has big house in valaynadhapuram Andra pradesh .but his sons and daughters couldn't be shared, one of the younger son should be occupied My grandfather had an attack hewill be so far before 8 years. So grandma is so poor she will be helpless. That property details couldn't be given by grandpa's brother and his family. So please we want me to get idea to got my property.","Boy and girl were engaged in sexual activities for 2-3 days . At 4th day boy asks girl again for oral sex she denied. Boy requests her , thereafter she agrees and did it but uniwillingly. Is it offence under section 375?( East Delhi, Delhi )",There is no mense rea that is guilt mind...it is no criminal act.,"Forwarding a fake message on WhatsApp, even if deleted shortly after, could potentially fall under the purview of Section 66D of the Information Technology Act, 2000, which deals with cheating by personation using a computer resource. However, since the message was deleted quickly and there was no intent to deceive or cause harm, it is unlikely to result in a criminal case. Ensure not to repeat such actions to avoid legal complications.

To mitigate any potential issues, consider informing the group about the mistake and clarifying the correct information. If concerned about legal repercussions, monitor any developments in the group and be prepared to explain the situation if questioned by authorities.",20.714,4.4815,18.2267,21.2709,84.0604
7,"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )",IPC_120B → DP_3 → PROC_CRIMINAL_BREACH_TRUST → IPC_149,IPC_120B → DP_3 → PROC_CRIMINAL_BREACH_TRUST → IPC_149 → Indian Penal Code 1860 → Dowry Prohibition Act 1961 → dowry_harassment → rioting,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Dear Sir,Such and criminal case can be quashed by HC.","The key legal issue here is whether the criminal case against the new chairman and secretary is justified. Under Indian law, criminal liability typically requires intent or knowledge of wrongdoing. Since the new chairman and secretary were unaware of the property transfer and sale, they likely lack the requisite mens rea (guilty mind) for criminal liability under the Indian Penal Code.

The third brother can pursue civil remedies against his siblings and the buyer for any wrongful transfer of property, but a criminal case against individuals without knowledge or involvement in the alleged offense may not be sustainable. It is advisable to focus on the civil suit for property recovery and consider withdrawing the criminal complaint against the chairman and secretary if no evidence of their involvement exists. Consulting with a legal expert to review the specifics of the case and the evidence is a prudent next step.",20.714,4.4815,18.2267,21.2709,84.0604
8,"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",DP_3 → public_nuisance → IPC_268 → PROC_CHEQUE_BOUNCE,DP_3 → public_nuisance → IPC_268 → PROC_CHEQUE_BOUNCE → Indian Penal Code 1860 → Dowry Prohibition Act 1961 → dowry_harassment → PROC_DOWRY_HARASSMENT,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Dear Sir,You may lodge complaint with higher police officers or directly approach Magistrate I filing private complaint under Section 200 Cr.P.C. On registration of private complaint you are sworn statement will be recorded and documents produced by you will be taken on record and then summons will be issued to Accused persons.Rate me Five Star*","The primary legal issue appears to be whether the actions attributed to you, such as ""poisoning shopping complexes,"" could constitute a public nuisance under Section 268 of the Indian Penal Code (IPC). Public nuisance involves any act that causes common injury, danger, or annoyance to the public or people in general. If facing false accusations or harassment, you can file a complaint with the police or seek legal protection through a restraining order under relevant sections of the IPC.

Legally, you cannot engage in any activity that endangers public safety or causes harm, as this could lead to criminal charges. You should gather evidence of any harassment or false accusations against you, such as witness statements or video recordings, and consult with a lawyer to explore filing a defamation suit or seeking police protection.",20.714,4.4815,18.2267,21.2709,84.0604
9,"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )",CRPC_210 → DP_3 → PROC_CHEQUE_BOUNCE → PROC_SCST_COMPLAINT,CRPC_210 → DP_3 → PROC_CHEQUE_BOUNCE → PROC_SCST_COMPLAINT → dowry_harassment → charge_sheet → Dowry Prohibition Act 1961 → Code of Criminal Procedure 1973,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Hello,

Iâm 35 yrs women unmarried working for private company. In dec 2017 i met one guy in Tinder he is a divorced 40 yrs working in same city. We exchanged contacts started conversations in April 2018 then met became friends and continued. One fine day after 5 months July 2018 he planned a trip and made me book hotel and we went in his car that night he forced me sexually molested mentally physically emotionally forced me to have Sex and morning when I started crying he convinced me to get married and try and continue relationship for sometime as he is recently divorced and needs sometime. We continued our relationship with few good and bad situations he always used to make me take pills to avoid pregnancy and again he planned another trip in dec and forced me to join and again forced and used me for sexual contact for 4 days. After we were back to city and I was diagnosed with some skin reaction that turned my face black he started ignoring me but relationship continued till April 2019 but I was sensing his ignorance and distancing from me I had to ask him about Marriage he as usual threatening and said will sucide if I go to his parents or tell anyone about our relationship. I couldnât control my emotions I had to tell my family about he cheating on me my uncle called him to meet and discuss he then confessed on May 31st 2019 that he is engaged in April and doesnât have any relationship with me Iâm just his friend and nothing to do with me. I went to seek help from his family his parents abused insulted me and my family and said will pay compensation but will not get his son married to me. As Iâm brutally cheated in the name of marriage and commitment and physically used emotionally and mentally threatened Iâm seeking justice. We have filed FIR against him on sec 376 and 420 he was sent to jail for 10 days and he is now out on bail as his lawyer brought in the act that guy and girl are matured and itâs mutual live in on going relationship so this shouldnât be considered as rape or cheating. He was granted bail and he is out.

In my case me and the guy were best friends and all our whatsapp chat,text were only friendly text and everything changed with the first trip we have been to on July 28th/2018 when he forced me and had physical contact without my interest and promised me to marry and made me continue the relationship till he found another women and got engaged in April/2019 and yet continued with me and has informed me in May 31st/2019 when i was asking him on our marriage.
Initial days he said he was cheated by his wife hence he got divorced as she had extra marital affair with her boss. Later while we were continuing the relationship he confessed in whatsapp text on oct 12th/2018 that he cheated his wife and he said that can be the reason for her to cheat on him and he has been cheating women since age of 21 and he cannot be committed to anyone and this is the reason he is not ready for marriage as he said he cannot trust me either but he again convinced me to continue the relationship with him also planned 2nd trip and forced me to join the trip in dec 30th 2018 to 2nd jan 2019.
In police station and 2 call recordings with my friend he confessed im just his friend no physical contact. His lawyer in court confessed its live in relationship it was consensual sex with no promise of marriage will not amount to rape or cheating this is clear enough the guy is lying from start as he said no relationship and lawyer confess mutual relationship.
I do have few exchanged text where later guy has agreed on 10th sep/2018 saying it was my mistake i shouldn't have planned the first trip especially.
Also few threatening messages from May 2nd/2019 that he has no desire to live will leave job house as i told him will go to his family. also orally he said to write an agreement that i will not come to his family property or file dowry harassment case then he will do register marriage.

His marriage date was 27th June/2019 with the engaged girl and his bail was confirmed on Jun 26th hence he is out and i'm not knowing if he is now already married or his marriage is postponed.

My only evidences are our trip bookings and our few text he agreed on saying trying the relationship, he had to walkout as relationship didn't work but he was texting calling meeting till May 31st/2019 when he was already engaged to another women in April 2019 which he had deliberately hided from me and then in frustration he texted threatening messages where he also confessed i am all yours you can do anything with me but shouldn't go to family and orally said to write some agreement on not entering his family or property or dowry case then he will do register marriage. when i said will have to speak to his family.

He now totally denies that he ever promised or committed on marriage and its mutual relationship on NO commitments which is false but i cannot prove as he always promised orally.

I need strong advice on how to fight against my case as his lawyer is senior and defending him on mutual consensual on going relationship for 1.5 years and he never promised or committed it was with no commitments and both are matured so shouldn't be 

He confessed in whatsapp text about cheating his ex wife and many girls before and cannot be committed to anyone in the name of marriage.

Now his financee and his parents are supporting him saying its mutual relationship now the guy is already engaged to another girl so they will not allow him to marry me.

His lawyer is strongly saying girl only booked the first trip booking and both are matured and will not amount to rape or cheating on the basis of mutual relationship.

He has brutally cheated me now wants to marry an young girl who is supporting him and doesn't want to marry me or accept that we had any relationship on the promise of marriage. Kindly help me to fight this case.

Iâm done with my 164 Statement recording in court on July 1st in presence of judge.

Please advice me on my case and how strongly i can fight and get justice.( Hyderabad, Telangana )","Dear Sir,You just appear before the Court and tell  the truth and nothing will happen, If you are not in service.","the primary legal obligation is to testify truthfully about what is known regarding the incident. Under the Indian Penal Code, providing false testimony can lead to charges of perjury (Section 191 IPC). Since you were not present at the scene, you should clearly state this fact when testifying in court. 

You cannot fabricate details or speculate about the incident, as this could lead to legal repercussions. Prepare for your testimony by reviewing any relevant documents or communications you might have received about the incident. If you have concerns about your testimony, consider consulting with a legal professional for guidance.",20.714,4.4815,18.2267,21.2709,84.0604
10,"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )",NIA_138 → CRPC_41 → CRPC_73 → CRPC_160,NIA_138 → CRPC_41 → CRPC_73 → CRPC_160 → arrest → PROC_CHEQUE_BOUNCE → cheque_bounce → Code of Criminal Procedure 1973,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","NBW issued in IPC 376, 315 and 420

Can we get a stay on this NBW, or we should do Anticipatory Bail?

What is the procedure for stay of NBW ?( Hyderabad, Andhra Pradesh )","Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","The issuance of a Non-Bailable Warrant (NBW) typically occurs immediately after the court orders it, as per the Code of Criminal Procedure, 1973. The exact time frame for execution can vary depending on the efficiency and workload of the police department. Legally, you cannot delay the issuance once ordered, but you can file an application for cancellation or seek anticipatory bail if you believe the warrant is unjust. The immediate next step is to consult with your attorney to file a stay application or a bail application in the appropriate court to address the NBW.",20.714,4.4815,18.2267,21.2709,84.0604
