question,answer
"Sir/ma'am, I have been in relationship who is younger than me since 1 half years and he asked to marry him at first but I said you're yonder than me but he use to say age is just a number after few months our relationship become more closer ,I use to stay in our city for job ,we use to make video calls,and phone sex ,wherever I visit him he take me to his house and I stayed with this family in night's he comes near to sleep with me but no intimate after few month's, I asked to marry me he use to say I will inform my mother about your relationship the days are passing he didn't tell to this mother one day I forced to say then he said I can't marry you, you will find a good person then me let's be good friends I call he's mother said about our relationship then she shout at me asking what is your age and caste she said don't call again to my son,  since that day onwards he didn't call or message me, now I am going through depression what can I do now...( East Godavari, Andhra Pradesh )","Dear Client,An aggrieved woman can file multiple cases against a person who cheated her with false promises of marriage if she can prove those allegations in Court. Section 90(now Section 28 of BNS) and Section 375 of the Indian Penal Code(now Section 63 of BNS) are what the person is charged with when he has a sexual relationship with a woman on false promise of marriage. Section 375 of IPC defines Rape and Section 90 IPC talks about consent when obtained using fear or misinformation. Section 114A of the Indian Evidence Act, 1872 talks about the presumption as to the absence of consent in certain prosecutions for rape. This section states that if the woman testifies in a court of law that she had given consent under a false pretext of marriage, then it will be considered as consent given under a false promise of marriage. Consent given by a victim based on a false assumption would be a violation of Section 375 IPC and Section 90 IPC, respectively. The Hon'ble Supreme Court has declared that if a person's objective is to do evil and he has ulterior motivations, he will be guilty under section 376 IPC(now Section 64 of BNS) and if motive is not taken into consideration then more people with evil intent will exploit girls from the lowest and poorest section of society by luring them with false promises of marriage and forcing them to have physical relations while convincing them that they will marry in the future, thinking that law is on their side as they have obtained the consent. So, given the proposition of relevant laws and the averments of the Apex Court, you need to consult an Advocate experienced in criminal cases to navigate the issues in the right way."
"In 2007 one sub inspector in my city released a rapist who was put into the lockup as i lodged an fir against him without any reason. In 2008 I lodged another fir against my teacher who was mentally harassing me and that sub inspector interfared with the investigation using his seniority the complaint and didn't took any action. In 2011 when I went to lodge another fir against a friend who was conspiring against me to put me into legal trouble that sub inspector didn't took any fir even when in the police station incharge told him to take it. In 2016 when I went to police station to make a general dairy for some lost educational documents that sub inspector asked me sign in their dairy where a confession has been written stating I did rape, murder, deal with black money and many more. When I started signing and saw those were written I said that I won't sign here the sub inspector told me they will sign the rest. Plrase tell me what can be done if this fake fir cone out in the time of police verification after I will get a government job? As it's been a long time I don't know if anything can be done against him now. Please tell me what can be done if that sub inspector do any unlawful activity in future?( Hooghly, West Bengal )","Dear Clients,All the criminal offences and the relevant FIRs you narrated in your query pertain to 10 years and above. Generally, police are obligated to investigate an FIR promptly. The Indian Penal Code (IPC) and the Code of Criminal Procedure (CrPC) outline the legal process of investigation, but there's no specific timeframe for the investigation of an FIR. Police can file charges and make arrests based on the FIR for months or even years after someone files it. This depends on the type of crime and how the police investigate it. The police can register an FIR (First Information Report) without conducting a preliminary investigation, especially for serious cognizable offenses like rape, murder, or kidnapping. However, for less serious cognizable offenses or non-cognizable offenses, they might conduct a preliminary inquiry before registering an FIR. The investigating officer has to submit a chargesheet (also known as a police report or final report) to the magistrate within 60 days (if the punishment is less than 7 years) or 90 days (if it's more than 7 years). In the absence of a cause of action, based on the presumption or apprehension of future consequences, an FIR or complaint an FIR shall not be entertained. So, let the perpetrator do any harmful act, to take legal action against him, post consultation with an Advocate expert in criminal matters to navigate the issue in the right way."
"an assistant engineer who works in governmemt company tsnpdcl who molested took advantage physically except intercourse but have attempted intercourse failed by giving hopes of marriage is denying to marry now then what are the laws applied on him and whether he can be terminated from his government job( Ramagundam, Telangana )","Dear Client,An aggrieved woman can file multiple cases against a person who cheated her with false promises of marriage if she can prove those allegations in Court. Section 90(now Section 28 of BNS) and Section 375 of the Indian Penal Code(now Section 63 of BNS) are what the person is charged with when he has a sexual relationship with a woman on false promise of marriage. Section 375 of IPC defines Rape and Section 90 IPC talks about consent when obtained using fear or misinformation. Section 114A of the Indian Evidence Act, 1872 talks about the presumption as to the absence of consent in certain prosecutions for rape. This section states that if the woman testifies in a court of law that she had given consent under a false pretext of marriage, then it will be considered as consent given under a false promise of marriage. Consent given by a victim based on a false assumption would be a violation of Section 375 IPC and Section 90 IPC, respectively. The Hon'ble Supreme Court has declared that if a person's objective is to do evil and he has ulterior motivations, he will be guilty under section 376 IPC(now Section 64 of BNS) and if motive is not taken into consideration then more people with evil intent will exploit girls from the lowest and poorest section of society by luring them with false promises of marriage and forcing them to have physical relations while convincing them that they will marry in the future, thinking that law is on their side as they have obtained the consent. So, given the proposition of relevant laws and the averments of the Apex Court, you need to consult an Advocate experienced in criminal cases to navigate the issues in the right way. Be informed that if a public servant is convicted of moral turpitude by a court of law, they may face disciplinary action as per service rules, including termination from service."
"I suffered nasty honeytrap blackmailing criminal intimidation( Rajkot, Gujarat )","Dear Client,Individuals who fall victim to honey traps can have their reputation and personal lives severely impacted. If the information obtained through the honey trap is made public, the victim may face public scrutiny, social stigma, or even severe legal consequences. In the given scenario, block all contacts of unknown sources and lodge an FIR with whatever digital evidence you have at the local police station under Section 308 (Blackmailing) and 351(1) (Criminal Intimidation) and  Section 308(2) of BNS that deals with extortion and specifies the punishment for those who commit it with imprisonment for a term that may extend to seven years, or with a fine, or with both. If required, consult or hire an Advocate to navigate the issue in the right way."
"I had a case and in with i was aquitted from all charges. i need chargesheet copy complainer statement and rajinama copy of my case. my case was in Shajapur Court Madhyapradesh. i am from Vapi Gujarat. i cannot go there so how can i get the copy of the above .( Valsad, Gujarat )","Dear Sir,Since you are acquitted then you need copy of judgment also. You may engage some lawyer online of Shajapur Court which facilitate you to get all the certified copies via courier etc. Pay the minimum fee to the Advocate."
"the poor farmer lady has been continually harrased by her distant relative / neighbours 
last week she has been summoned by sdm court canning u/s 126/135(3) 
she is unaware of the proceedings but has submitted a peronal bond of Rs 1000/-
pls advice how can she get relief from the false cases by the opponents( South 24 Parganas, West Bengal )","Dear Sir,If you want to challenge such proceedings you may approach Hon'ble Sessions Court and get quash such proceedings and also personal bond executed by such poor lady. After quashing the said lady may get issue a legal notice and claim compensation for necessary criminal proceedings against her."
"I called 100 and called the police, when after the arguments of my in-laws neighbours, suddenly me and my son were beaten badly. When all of us gents and ladies got together and wanted to complain to the police, the police said that they would have to file a counter case against my son...My son had only tried to save me, then how can the police take these false cases?( Kolkata, West Bengal )","Dear Client,A counter-complaint is a reciprocal FIR filed by the person who was originally named as the accused, alleging that the complainant is the one who committed a crime. The police will investigate both the original FIR and the counter-complaint, and the court will decide who is the victim and who is the aggressor. Legal remedy against a counter-complaint or FIR involves several options, including quashing the FIR under Section 482 of the Cr. PC, filing a defamation suit under Sections 499 and 500 of the IPC, or filing a counter-complaint. If the FIR has caused you financial or emotional distress, you can seek compensation from the complainant. In the course of a police investigation of both the original FIR and the counter-complaint, it's important to cooperate with them and provide all necessary information. Finally, seeking legal advice from an experienced lawyer is crucial to understand your rights and options and to ensure that your case is handled properly."
"I had borrowed a sum of 1lakh from Khan @10% per month, I have been paying him the interest of Rs. 10000/- per month from more than 1.5yrs. But due to some problems this time Iâm unable to pay him the interest from last two months, for which Iâm asking him few more days.. but he is making issues and been torturing and insulting me every morning in front of my door. I need suggestions how to deal with this situation. I canât give the proof of my payments because they deal only in cash and donât give receipts of any payments or they donât accept online transactions. Please help( Siliguri, West Bengal )","Dear Client,As per your statement you are facing financial harassment from one person namely Khan, who has been charging you an illegal interest rate of 10% per month on a Rs. 1   lakh loan and has already recovered over Rs. 1.8 lakhs from you over 1.5 years.His behavior insulting and torturing you at your doorstep is not only unethical but also a criminal offense under sections like 504 (intentional insult), 506 (criminal intimidation), and 441 (trespass) of the IPC. Since he deals only in cash and avoids receipts, it's crucial that you start collecting evidence such as video or audio recordings, written logs, or witness accounts.You should file a police complaint against his harassment and also send him a legal notice through a lawyer. Additionally, consider approaching your stateâs moneylending authority to report his illegal lending practices. You may also seek help from the District Legal Services Authority (DLSA) for free legal aid."
"Already Love Panna Ponnu Ena Ethuku Love Pannanum Ethuku Yemathanum( Chennai, Tamil Nadu )","Dear Client,The language you have posted your concern I am having difficulty understanding the language being used. Could you please communicate in English so that I can explain my point more clearly and accurately."
"After knowing that my husband is unfit for consummation of martial life as he abused me physically and mentally through his actions and words and my in laws to. As following I filed for 498a, maintenance and dvc cases now can I claim the gifts of gold and silver gifted by my in laws at the time marriage dt.17/02/2024. Is it legal?  And can I get them back legally under what laws?( Guntur, Andhra Pradesh )","Dear Client,Yes, you can legally claim back the gold, silver, and other valuable items given to you during your marriage, including those given by your in-laws, under the concept of ""Stridhan"" in Indian law.These items are considered your Stridhan, which legally belongs to you as per Section 14 of the Hindu Succession Act, 1956.Therefore, you can seek recovery of Stridhan through your ongoing Domestic Violence (DVC) case under Section 12 r/w Sections 18, 19, 20, and 22 of the Protection of Women from Domestic Violence Act, 2005, and also under Section 27 of the Hindu Marriage Act, 1955 during divorce proceedings.Additionally, if your husband or in-laws are withholding these items, you can file a criminal case for criminal breach of trust under Section 406 of the IPC, as it is illegal for them to retain or misuse your Stridhan. It is advisable to prepare a detailed list of items with approximate values, along with any supporting evidence like bills, wedding photos, or witness statements, and submit it to the court to support your claim."
