question,answer,chain_q,chain_q_types,chain_q_edges,chain_q_len,chain_a,chain_a_types,chain_a_edges,chain_a_len
"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )","Dear Client,Section 67B of the Information Technology Act, 2000, which, after amendment in 2008, criminalizes the publishing, transmitting, or causing the transmission of sexually explicit content. Once a violation of Sec.67B of I T Act, is reported to the Cyber Crime Cell, the matter is suo motto investigated by the authorities and the person may be called on for interrogation to access the source of such offensive posts on social networks and to find out the veracity of the facts from the related intermediaries or service providers. On investigation, if they find the person is in any way violating the provisions of the Act, they can be booked for committing the crime. Further, Section 66E of the Information Technology Act, 2000 deals with the transmission of photos of any personâs private area without his or her consent on social media, which is a criminal offence and the penalty is either three years in prison or a fine of not more than two lakh rupees, or both. On investigation, if the police find that the person is in any way violating the provisions of the Act, he can be booked for committing the crime under Section 66E of the Information Technology Act, 2000. Any person who feels their reputation has been damaged by defamatory statements or acts can sue for defamation under Section 356 of BNS, which replaced Section 499 of IPC. If a person is found guilty of criminal defamation, they can be sentenced to imprisonment for up to two years, a fine, or both under Section 500 of the IPC, replaced by Section 356(2) of the BNS. If required, consult with an Advocate to navigate the issues in the right way.","[""Shri D.K. Basu vs State Of West Bengal"", ""Use of third degree methods in police custody is illegal""]","[""rule"", ""fact""]","[""Violates""]",2,"[""Section 66E of the Information Technology Act, 2000"", ""Blackmailing and violation of privacy by husband and family""]","[""rule"", ""fact""]","[""Violates""]",2
"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )","Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.","[""Shri D.K. Basu vs State Of West Bengal"", ""Use of third degree methods in police custody is illegal""]","[""rule"", ""fact""]","[""Violates""]",2,"[""User has the right to consult a lawyer upon arrest"", ""User is at risk of arrest in a theft case""]","[""fact"", ""fact""]","[""Depends On""]",2
"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )","Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","[""User is seeking to file a case for fraud against the girl"", ""Section 420 of IPC""]","[""fact"", ""rule""]","[""Complies With""]",2,"[""Both cases may be quashed if you go to High Court"", ""User is seeking to quash the chargesheet in the first case""]","[""fact"", ""fact""]","[""Complies With""]",2
"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )","Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.","[""Public nuisance"", ""Section 292 of Bharatiya Naya Sanhita (BNS), 2023""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Noise disturbance from neighbor"", ""Local residential society rules regarding noise levels"", ""Impact on health due to noise""]","[""fact"", ""rule"", ""fact""]","[""Violates"", ""Violates""]",3
"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )","Hi,You can apply for a bail in this case and later defend yourself during the trial.","[""Individual committed suicide after termination"", ""Section 306 of IPC"", ""Suicide is a crime"", ""Accusation of abetment of suicide under IPC 306""]","[""fact"", ""rule"", ""fact"", ""fact""]","[""Violates"", ""Violates"", ""None""]",4,"[""Conditions for bail include meeting the investigating officer weekly and appearing before the trial court."", ""Anticipatory bail application disposed of""]","[""fact"", ""fact""]","[""Depends On""]",2
"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",There is no mense rea that is guilt mind...it is no criminal act.,"[""Received a fake message on WhatsApp"", ""Potential loss caused by the fake message""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Adultery is no longer a crime in India"", ""User is in a living relationship with a married man who is pending divorce""]","[""rule"", ""fact""]","[""Violates""]",2
"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )","Dear Sir,Such and criminal case can be quashed by HC.","[""User signed as a witness without knowledge of fraudulent actions"", ""User is a witness in a property registration""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Double complaints for the same offence could be quashed by the high court"", ""Need to file a police complaint against an accused with an existing complaint""]","[""fact"", ""fact""]","[""Depends On""]",2
"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",Agar aap ki mind conditions thik hai tab aap police me complaint file kare. Kyonki ab aap bilkul thik ho chuke hai. Agar koi bhi aap ko aane jane me koi problems kar raha hai vah aap ke constitutional right ka hanan kar raha hai. Kyon ki aap ko constitution sab sthan par ghumne ki anumati pardan karta. Koi aap ke adhikar ko nhi chhin sakta hai. Isliye aap ko un logo ko khilaf police me complaint file karni chahiye. Taki police unke khilaf proper action le sake.Please rate my answer,"[""Charges have been framed in the FIR"", ""Section 205 of CrPC""]","[""fact"", ""rule""]","[""Depends On""]",2,"[""Right of police to file FIR"", ""Section 188 of IPC""]","[""fact"", ""rule""]","[""Complies With""]",2
"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )","Yes,  you can share it with the court of law.","[""User was not present at the incident in Kerala"", ""User is entered as a witness in an IPC 304 case""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Case disposed by the court"", ""Section 482 of CrPC""]","[""fact"", ""rule""]","[""Violates""]",2
"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )","Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","[""NBW issued""]","[""fact""]",[],1,"[""Non-Bailable Warrant (NBW) issued"", ""Section 482 of CrPC""]","[""fact"", ""rule""]","[""Violates""]",2
