sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,rouge1,rouge2,rougel,meteor,bertscore
1,"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )",IPC_465 → IPC_467 → IPC_468 → IPC_471,IPC_465 → IPC_467 → IPC_468 → IPC_471 → Indian Penal Code 1860 → PROC_FORGERY → forgery → IPC_191,"A contract company has two partners.  One is authorized to sign in contract agreement. He wants to give corruption complaint in an officer  in VAC.  Should the company pass resolution and give him permission?( Chennai, Tamil Nadu )","If ""X"" state's police take custody of accused on Production Warrent who was on MCR in ""Y"" state....so does it mean that accused has been released on bail by the Y state court ?( Hyderabad, Telangana )","Unfer what section can we protect men from being blamed for false accusation( Kangra, Himachal Pradesh )","Dear Client,Section 67B of the Information Technology Act, 2000, which, after amendment in 2008, criminalizes the publishing, transmitting, or causing the transmission of sexually explicit content. Once a violation of Sec.67B of I T Act, is reported to the Cyber Crime Cell, the matter is suo motto investigated by the authorities and the person may be called on for interrogation to access the source of such offensive posts on social networks and to find out the veracity of the facts from the related intermediaries or service providers. On investigation, if they find the person is in any way violating the provisions of the Act, they can be booked for committing the crime. Further, Section 66E of the Information Technology Act, 2000 deals with the transmission of photos of any personâs private area without his or her consent on social media, which is a criminal offence and the penalty is either three years in prison or a fine of not more than two lakh rupees, or both. On investigation, if the police find that the person is in any way violating the provisions of the Act, he can be booked for committing the crime under Section 66E of the Information Technology Act, 2000. Any person who feels their reputation has been damaged by defamatory statements or acts can sue for defamation under Section 356 of BNS, which replaced Section 499 of IPC. If a person is found guilty of criminal defamation, they can be sentenced to imprisonment for up to two years, a fine, or both under Section 500 of the IPC, replaced by Section 356(2) of the BNS. If required, consult with an Advocate to navigate the issues in the right way.","The creation and circulation of fake pornographic material to defame an individual can be addressed under Section 67 of the Information Technology Act, 2000, which penalizes the publishing or transmission of obscene material in electronic form, and under Section 500 of the Indian Penal Code, 1860, which deals with defamation. The punishment under Section 67 can extend to imprisonment for up to three years and a fine, while defamation under Section 500 can result in imprisonment for up to two years, or a fine, or both.

The victim can file a complaint with the cybercrime cell or local police station to initiate an investigation. It is crucial to preserve all evidence of the fake material and any communications related to its distribution.",18.5511,3.9434,16.6025,20.3264,83.9505
2,"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )",CRPC_210 → ART_20 → CRPC_317 → NI_ACT_AMENDMENT_2018,CRPC_210 → ART_20 → CRPC_317 → NI_ACT_AMENDMENT_2018 → NIA_138 → PROC_CHEQUE_BOUNCE → Code of Criminal Procedure 1973 → charge_sheet,"My Great grandfather's property has big house in valaynadhapuram Andra pradesh .but his sons and daughters couldn't be shared, one of the younger son should be occupied My grandfather had an attack hewill be so far before 8 years. So grandma is so poor she will be helpless. That property details couldn't be given by grandpa's brother and his family. So please we want me to get idea to got my property.","Boy and girl were engaged in sexual activities for 2-3 days . At 4th day boy asks girl again for oral sex she denied. Boy requests her , thereafter she agrees and did it but uniwillingly. Is it offence under section 375?( East Delhi, Delhi )","Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.","The involuntary confinement in a rehabilitation center may constitute unlawful detention, and the forced thumb impression could be considered coercion, potentially violating your rights under Article 21 of the Indian Constitution, which guarantees personal liberty. Additionally, the actions of being bathed against your will may amount to a violation of dignity and privacy, protected under Article 21 as well.

You can file a writ petition for habeas corpus in the Calcutta High Court to challenge the legality of your detention. Consider filing a police complaint regarding the coercion and any potential physical or psychological abuse. Consulting with a lawyer experienced in constitutional and human rights law will provide guidance tailored to your specific circumstances.",18.5511,3.9434,16.6025,20.3264,83.9505
3,"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )",IPC_309 → PROC_CRIMINAL_BREACH_TRUST → IPC_120B → CRPC_210,IPC_309 → PROC_CRIMINAL_BREACH_TRUST → IPC_120B → CRPC_210 → charge_sheet → fir → Code of Criminal Procedure 1973 → Indian Penal Code 1860,"My Great grandfather's property has big house in valaynadhapuram Andra pradesh .but his sons and daughters couldn't be shared, one of the younger son should be occupied My grandfather had an attack hewill be so far before 8 years. So grandma is so poor she will be helpless. That property details couldn't be given by grandpa's brother and his family. So please we want me to get idea to got my property.","Hello,

Iâm 35 yrs women unmarried working for private company. In dec 2017 i met one guy in Tinder he is a divorced 40 yrs working in same city. We exchanged contacts started conversations in April 2018 then met became friends and continued. One fine day after 5 months July 2018 he planned a trip and made me book hotel and we went in his car that night he forced me sexually molested mentally physically emotionally forced me to have Sex and morning when I started crying he convinced me to get married and try and continue relationship for sometime as he is recently divorced and needs sometime. We continued our relationship with few good and bad situations he always used to make me take pills to avoid pregnancy and again he planned another trip in dec and forced me to join and again forced and used me for sexual contact for 4 days. After we were back to city and I was diagnosed with some skin reaction that turned my face black he started ignoring me but relationship continued till April 2019 but I was sensing his ignorance and distancing from me I had to ask him about Marriage he as usual threatening and said will sucide if I go to his parents or tell anyone about our relationship. I couldnât control my emotions I had to tell my family about he cheating on me my uncle called him to meet and discuss he then confessed on May 31st 2019 that he is engaged in April and doesnât have any relationship with me Iâm just his friend and nothing to do with me. I went to seek help from his family his parents abused insulted me and my family and said will pay compensation but will not get his son married to me. As Iâm brutally cheated in the name of marriage and commitment and physically used emotionally and mentally threatened Iâm seeking justice. We have filed FIR against him on sec 376 and 420 he was sent to jail for 10 days and he is now out on bail as his lawyer brought in the act that guy and girl are matured and itâs mutual live in on going relationship so this shouldnât be considered as rape or cheating. He was granted bail and he is out.

In my case me and the guy were best friends and all our whatsapp chat,text were only friendly text and everything changed with the first trip we have been to on July 28th/2018 when he forced me and had physical contact without my interest and promised me to marry and made me continue the relationship till he found another women and got engaged in April/2019 and yet continued with me and has informed me in May 31st/2019 when i was asking him on our marriage.
Initial days he said he was cheated by his wife hence he got divorced as she had extra marital affair with her boss. Later while we were continuing the relationship he confessed in whatsapp text on oct 12th/2018 that he cheated his wife and he said that can be the reason for her to cheat on him and he has been cheating women since age of 21 and he cannot be committed to anyone and this is the reason he is not ready for marriage as he said he cannot trust me either but he again convinced me to continue the relationship with him also planned 2nd trip and forced me to join the trip in dec 30th 2018 to 2nd jan 2019.
In police station and 2 call recordings with my friend he confessed im just his friend no physical contact. His lawyer in court confessed its live in relationship it was consensual sex with no promise of marriage will not amount to rape or cheating this is clear enough the guy is lying from start as he said no relationship and lawyer confess mutual relationship.
I do have few exchanged text where later guy has agreed on 10th sep/2018 saying it was my mistake i shouldn't have planned the first trip especially.
Also few threatening messages from May 2nd/2019 that he has no desire to live will leave job house as i told him will go to his family. also orally he said to write an agreement that i will not come to his family property or file dowry harassment case then he will do register marriage.

His marriage date was 27th June/2019 with the engaged girl and his bail was confirmed on Jun 26th hence he is out and i'm not knowing if he is now already married or his marriage is postponed.

My only evidences are our trip bookings and our few text he agreed on saying trying the relationship, he had to walkout as relationship didn't work but he was texting calling meeting till May 31st/2019 when he was already engaged to another women in April 2019 which he had deliberately hided from me and then in frustration he texted threatening messages where he also confessed i am all yours you can do anything with me but shouldn't go to family and orally said to write some agreement on not entering his family or property or dowry case then he will do register marriage. when i said will have to speak to his family.

He now totally denies that he ever promised or committed on marriage and its mutual relationship on NO commitments which is false but i cannot prove as he always promised orally.

I need strong advice on how to fight against my case as his lawyer is senior and defending him on mutual consensual on going relationship for 1.5 years and he never promised or committed it was with no commitments and both are matured so shouldn't be 

He confessed in whatsapp text about cheating his ex wife and many girls before and cannot be committed to anyone in the name of marriage.

Now his financee and his parents are supporting him saying its mutual relationship now the guy is already engaged to another girl so they will not allow him to marry me.

His lawyer is strongly saying girl only booked the first trip booking and both are matured and will not amount to rape or cheating on the basis of mutual relationship.

He has brutally cheated me now wants to marry an young girl who is supporting him and doesn't want to marry me or accept that we had any relationship on the promise of marriage. Kindly help me to fight this case.

Iâm done with my 164 Statement recording in court on July 1st in presence of judge.

Please advice me on my case and how strongly i can fight and get justice.( Hyderabad, Telangana )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","Sharing private photos of the girl without her consent could potentially violate her privacy rights and may constitute an offense under Section 354C of the Indian Penal Code, which deals with voyeurism. It is crucial not to share these photos with the police or anyone else, as this could lead to further legal trouble for you. Instead, focus on using legally admissible evidence, such as call recordings, to support your claim of a false case.

To address the false allegations, consider filing a counter-complaint under Section 182 IPC for false information with intent to cause public servant to use his lawful power to the injury of another person. Additionally, seek immediate counseling or support to address feelings of distress and consider consulting with a local attorney to explore legal remedies and ensure your rights are protected.",18.5511,3.9434,16.6025,20.3264,83.9505
4,"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )",IPC_268 → public_nuisance → ICA_73 → PROC_SCST_COMPLAINT,IPC_268 → public_nuisance → ICA_73 → PROC_SCST_COMPLAINT → criminal_breach_of_trust → Indian Penal Code 1860 → cheating → Indian Contract Act 1872,"How many days zero fir take to shift to another state in 376 ipc( South Delhi, Delhi )","A contract company has two partners.  One is authorized to sign in contract agreement. He wants to give corruption complaint in an officer  in VAC.  Should the company pass resolution and give him permission?( Chennai, Tamil Nadu )","If ""X"" state's police take custody of accused on Production Warrent who was on MCR in ""Y"" state....so does it mean that accused has been released on bail by the Y state court ?( Hyderabad, Telangana )","Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.","The issue of loudspeaker nuisance by vegetable vendors falls under public nuisance as defined in Section 268 of the Indian Penal Code (IPC). Public nuisance is an act affecting the public at large or a significant section of it, causing inconvenience or damage. In Jhajjar, Haryana, you can approach the local police station to file a complaint about the public nuisance caused by the vendors. Additionally, you may contact the local municipal corporation or district administration to enforce noise control regulations. Ensure to document the nuisance with evidence such as videos or audio recordings to support your complaint.",18.5511,3.9434,16.6025,20.3264,83.9505
5,"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )",CRPC_154 → CRPC_156 → CRPC_200 → CRPC_210,CRPC_154 → CRPC_156 → CRPC_200 → CRPC_210 → charge_sheet → PROC_SCST_COMPLAINT → Code of Criminal Procedure 1973 → fir,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Hi,You can apply for a bail in this case and later defend yourself during the trial.","Section 306 of the Indian Penal Code pertains to abetment of suicide, which requires proof of instigation, conspiracy, or intentional aiding of the act of suicide. Merely being mentioned in a suicide note does not automatically establish guilt. Since you claim only minimal interaction with the deceased, gather evidence or witnesses to support your limited contact and lack of intent to harass.

You should immediately file a petition for anticipatory bail under Section 438 of the Code of Criminal Procedure to prevent arrest. Additionally, consider filing a writ petition in the High Court to quash the FIR under Section 482 CrPC if you believe the allegations are baseless and lack substantial evidence.",18.5511,3.9434,16.6025,20.3264,83.9505
6,"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",IPC_494 → IPC_200 → DP_3 → IPC_467,IPC_494 → IPC_200 → DP_3 → IPC_467 → PROC_FORGERY → perjury → Indian Penal Code 1860 → bigamy,"Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Son & his girlfriend abuse hit mother n now stays in live in...what case can file..what to do ... mother age 50 ..can she ask maintenance( Mumbai, Maharashtra )",There is no mense rea that is guilt mind...it is no criminal act.,"Forwarding a fake message on WhatsApp, even if deleted shortly after, could potentially fall under Section 505 of the Indian Penal Code, which deals with statements conducing to public mischief. However, given that the message was deleted promptly and there was no intent to cause harm or panic, it is unlikely to result in a criminal case unless it led to significant disruption or harm. The user should ensure no further dissemination of such messages and maintain records of the deletion as evidence of corrective action. For future precaution, verify the authenticity of information before sharing. If contacted by authorities, cooperate fully and provide any evidence of the prompt deletion.",18.5511,3.9434,16.6025,20.3264,83.9505
7,"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )",IPC_120B → DP_3 → PROC_CRIMINAL_BREACH_TRUST → IPC_149,IPC_120B → DP_3 → PROC_CRIMINAL_BREACH_TRUST → IPC_149 → Indian Penal Code 1860 → rioting → dowry_harassment → criminal_conspiracy,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Dear Sir,Such and criminal case can be quashed by HC.","Filing a criminal case against the new chairman and secretary of the housing society may not be legally sustainable if they genuinely had no involvement or knowledge of the fraudulent property transfer. Under the Indian Penal Code, criminal liability typically requires intent or knowledge of wrongdoing (IPC Section 34 or 120B for conspiracy). If the chairman and secretary were not part of any conspiracy or did not act with criminal intent, the case against them may lack merit.

The user can challenge the criminal case by filing a petition for quashing under Section 482 of the Criminal Procedure Code in the High Court, arguing that there is no prima facie case against the chairman and secretary. It is advisable to gather evidence demonstrating their lack of involvement or knowledge of the fraudulent transaction to support the petition.",18.5511,3.9434,16.6025,20.3264,83.9505
8,"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",DP_3 → public_nuisance → IPC_268 → PROC_CHEQUE_BOUNCE,DP_3 → public_nuisance → IPC_268 → PROC_CHEQUE_BOUNCE → Indian Penal Code 1860 → PROC_DOWRY_HARASSMENT → dowry_harassment → Dowry Prohibition Act 1961,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )",Agar aap ki mind conditions thik hai tab aap police me complaint file kare. Kyonki ab aap bilkul thik ho chuke hai. Agar koi bhi aap ko aane jane me koi problems kar raha hai vah aap ke constitutional right ka hanan kar raha hai. Kyon ki aap ko constitution sab sthan par ghumne ki anumati pardan karta. Koi aap ke adhikar ko nhi chhin sakta hai. Isliye aap ko un logo ko khilaf police me complaint file karni chahiye. Taki police unke khilaf proper action le sake.Please rate my answer,"The primary legal issue appears to be potential harassment or wrongful institutionalization under mental health laws. Under the Mental Healthcare Act, 2017, a person cannot be involuntarily admitted to a mental health facility without due process, including an assessment by a mental health professional and a review by a mental health review board. If you believe you are being wrongfully institutionalized, you can file a complaint with the State Mental Health Authority or approach the High Court for relief.

You cannot take retaliatory action against individuals without evidence of wrongdoing, as this could lead to defamation or harassment charges. Gather evidence of any unlawful actions against you and consider filing a police complaint or seeking a restraining order if you are being harassed. Consulting with a mental health advocate or legal expert specializing in mental health law could provide additional support and guidance.",18.5511,3.9434,16.6025,20.3264,83.9505
9,"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )",CRPC_210 → DP_3 → PROC_CHEQUE_BOUNCE → PROC_SCST_COMPLAINT,CRPC_210 → DP_3 → PROC_CHEQUE_BOUNCE → PROC_SCST_COMPLAINT → fir → charge_sheet → Code of Criminal Procedure 1973 → dowry_harassment,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Hello,

Iâm 35 yrs women unmarried working for private company. In dec 2017 i met one guy in Tinder he is a divorced 40 yrs working in same city. We exchanged contacts started conversations in April 2018 then met became friends and continued. One fine day after 5 months July 2018 he planned a trip and made me book hotel and we went in his car that night he forced me sexually molested mentally physically emotionally forced me to have Sex and morning when I started crying he convinced me to get married and try and continue relationship for sometime as he is recently divorced and needs sometime. We continued our relationship with few good and bad situations he always used to make me take pills to avoid pregnancy and again he planned another trip in dec and forced me to join and again forced and used me for sexual contact for 4 days. After we were back to city and I was diagnosed with some skin reaction that turned my face black he started ignoring me but relationship continued till April 2019 but I was sensing his ignorance and distancing from me I had to ask him about Marriage he as usual threatening and said will sucide if I go to his parents or tell anyone about our relationship. I couldnât control my emotions I had to tell my family about he cheating on me my uncle called him to meet and discuss he then confessed on May 31st 2019 that he is engaged in April and doesnât have any relationship with me Iâm just his friend and nothing to do with me. I went to seek help from his family his parents abused insulted me and my family and said will pay compensation but will not get his son married to me. As Iâm brutally cheated in the name of marriage and commitment and physically used emotionally and mentally threatened Iâm seeking justice. We have filed FIR against him on sec 376 and 420 he was sent to jail for 10 days and he is now out on bail as his lawyer brought in the act that guy and girl are matured and itâs mutual live in on going relationship so this shouldnât be considered as rape or cheating. He was granted bail and he is out.

In my case me and the guy were best friends and all our whatsapp chat,text were only friendly text and everything changed with the first trip we have been to on July 28th/2018 when he forced me and had physical contact without my interest and promised me to marry and made me continue the relationship till he found another women and got engaged in April/2019 and yet continued with me and has informed me in May 31st/2019 when i was asking him on our marriage.
Initial days he said he was cheated by his wife hence he got divorced as she had extra marital affair with her boss. Later while we were continuing the relationship he confessed in whatsapp text on oct 12th/2018 that he cheated his wife and he said that can be the reason for her to cheat on him and he has been cheating women since age of 21 and he cannot be committed to anyone and this is the reason he is not ready for marriage as he said he cannot trust me either but he again convinced me to continue the relationship with him also planned 2nd trip and forced me to join the trip in dec 30th 2018 to 2nd jan 2019.
In police station and 2 call recordings with my friend he confessed im just his friend no physical contact. His lawyer in court confessed its live in relationship it was consensual sex with no promise of marriage will not amount to rape or cheating this is clear enough the guy is lying from start as he said no relationship and lawyer confess mutual relationship.
I do have few exchanged text where later guy has agreed on 10th sep/2018 saying it was my mistake i shouldn't have planned the first trip especially.
Also few threatening messages from May 2nd/2019 that he has no desire to live will leave job house as i told him will go to his family. also orally he said to write an agreement that i will not come to his family property or file dowry harassment case then he will do register marriage.

His marriage date was 27th June/2019 with the engaged girl and his bail was confirmed on Jun 26th hence he is out and i'm not knowing if he is now already married or his marriage is postponed.

My only evidences are our trip bookings and our few text he agreed on saying trying the relationship, he had to walkout as relationship didn't work but he was texting calling meeting till May 31st/2019 when he was already engaged to another women in April 2019 which he had deliberately hided from me and then in frustration he texted threatening messages where he also confessed i am all yours you can do anything with me but shouldn't go to family and orally said to write some agreement on not entering his family or property or dowry case then he will do register marriage. when i said will have to speak to his family.

He now totally denies that he ever promised or committed on marriage and its mutual relationship on NO commitments which is false but i cannot prove as he always promised orally.

I need strong advice on how to fight against my case as his lawyer is senior and defending him on mutual consensual on going relationship for 1.5 years and he never promised or committed it was with no commitments and both are matured so shouldn't be 

He confessed in whatsapp text about cheating his ex wife and many girls before and cannot be committed to anyone in the name of marriage.

Now his financee and his parents are supporting him saying its mutual relationship now the guy is already engaged to another girl so they will not allow him to marry me.

His lawyer is strongly saying girl only booked the first trip booking and both are matured and will not amount to rape or cheating on the basis of mutual relationship.

He has brutally cheated me now wants to marry an young girl who is supporting him and doesn't want to marry me or accept that we had any relationship on the promise of marriage. Kindly help me to fight this case.

Iâm done with my 164 Statement recording in court on July 1st in presence of judge.

Please advice me on my case and how strongly i can fight and get justice.( Hyderabad, Telangana )","Yes,  you can share it with the court of law.","the primary obligation is to testify truthfully about what you know. Under Section 161 of the Code of Criminal Procedure, 1973, witnesses are required to provide honest testimony based on their knowledge of the incident. If you did not witness the event, you must truthfully state this in court. 

You cannot fabricate or alter your testimony to fit the expectations of others, as doing so could lead to charges of perjury under Section 193 of the Indian Penal Code. Attend the court on the date specified in the summons and clearly communicate your lack of firsthand knowledge of the incident.",18.5511,3.9434,16.6025,20.3264,83.9505
10,"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )",NIA_138 → CRPC_41 → CRPC_73 → CRPC_160,NIA_138 → CRPC_41 → CRPC_73 → CRPC_160 → arrest → Code of Criminal Procedure 1973 → PROC_CHEQUE_BOUNCE → Negotiable Instruments Act 1881,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","An NBW (Non-Bailable Warrant) is typically issued by a court when a person fails to appear despite being summoned, under the Code of Criminal Procedure, 1973. Once the court orders the issuance of an NBW, it is generally issued immediately or within a few days, depending on the court's schedule and administrative procedures. 

The person against whom the NBW is issued should consult with their legal counsel to understand the implications and consider filing an application for anticipatory bail under Section 438 of the CrPC, if applicable. It is also advisable to comply with the court's directives promptly to avoid further legal complications.",18.5511,3.9434,16.6025,20.3264,83.9505
