sample_id,question,chain_q_orig,chain_q_extended,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu1,bleu2,bleu3,bleu4,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"Sir, I took my mother agricultural land after death in 1995, I have renovated with huge amount this land. Now, after 24 years my sister demanding share. Otherwise she wants to file suit for possession. She got rights to claim her share.( Bangalore, Karnataka )",CCS_54 -> PROC_INHERITANCE_SUCCESSION -> PROC_DIVORCE_CONTESTED -> DP_3,"CCS_54 -> PROC_INHERITANCE_SUCCESSION -> PROC_DIVORCE_CONTESTED -> DP_3 -> dowry_harassment -> PROC_DOWRY_HARASSMENT -> CCS (Pension) Rules, 1972 -> family_pension",Whatever may be did . But she's legal hair . She having such property right,"Based on the fact-rule-chain, inheritance and succession processes are relevant. If the land was inherited, your sister may have a right to claim her share. She can file a suit for possession if she believes her rights are violated. It is advisable to consult a legal expert in Bangalore for specific guidance.",1.6474,41.1403,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
2,"My grandfather died intestate. All his children have passed on too. The property still stands in my grandfather's name. How does it get divided between his grandchildren? Do we have to obtain any court order or document to transfer the property to transfer the property to the names of the grandchildren( Mumbai suburban, Maharashtra )",HSA_8 -> HSA_10 -> MWPSC_23 -> ISA_37,"HSA_8 -> HSA_10 -> MWPSC_23 -> ISA_37 -> inheritance -> Hindu Succession Act, 1956 -> PROC_INHERITANCE_SUCCESSION -> Indian Succession Act, 1925","Dear Sir,Section 8 of Hindu Succession  Act:====================================================================General rules of succession in the case of males.âThe property of a male Hindu dying intestateshall devolve according to the provisions of this Chapter:â(a) firstly, upon the heirs, being the relatives specified in class I of the Schedule;CLASS ISon; daughter; widow; mother; son of a pre-deceased son; daughter of a pre-deceased son; son of a pre-deceased daughter; daughter of a pre-deceased daughter; widow of a pre-deceased son; son of a pre-deceased son of a pre-deceased son; daughter of a pre-deceased son of a pre-deceased son; widow of a pre-deceased son of a pre-deceased son.=============================================================================Distribution of Property after Death â Hindu MaleFor Hindus, testamentary succession (succession by way of Will) is as per the Indian Succession Act and intestate succession (succession without Will) is as per the Hindu Succession Act. In this article, we look in detail the process for distribution of property after death of a Hindu male as per the Hindu Succession Act.Class 1 HeirsThe Hindu Succession Act groups the heirs of a male Hindu into four categories and lays down that his/her inheritable property devolves firstly upon the heirs specified in Class I which are as under:â¢	Sonsâ¢	Daughtersâ¢	Widowâ¢	Motherâ¢	Son of a pre-deceased sonâ¢	Daughter of a pre-deceased sonâ¢	Son of a pre-deceased daughterâ¢	Daughter of a pre-deceased daughterâ¢	Widow of a pre-deceased sonâ¢	Son of a pre-deceased son of a pre-deceased sonâ¢	Daughter of a pre-deceased son of a pre-deceased sonâ¢	Widow of a pre-deceased son of a pre-deceased sonâ¢	Son of a predeceased daughter of a predeceased daughterâ¢	Daughter of a deceased daughter of a predeceased daughterâ¢	Daughter of a predeceased son of a predeceased daughterâ¢	Daughter of a predeceased daughter of predeceased sonAll these heirs inherit simultaneously and to the exclusion of other heirs. In the absence of any of the heirs in this category, the property devolves upon the enumerated heirs specified in class II.Class 2 HeirsThe devolution in Class II heirs is made in the absence of any heir in Class I and in such a manner that heirs specified in a particular entry share equally. For this purpose if more than one heir is specified in a single entry, they share the property simultaneously and equally to the exclusion of those specified in subsequent entries. Class 2 heirs include:â¢	Fatherâ¢	Sons daughterâs sonâ¢	Sons daughterâs daughterâ¢	Brotherâ¢	Sisterâ¢	Daughters sonâs sonâ¢	Daughters sonâs daughterâ¢	Daughters daughterâs sonâ¢	Daughters Daughterâs daughterâ¢	Brothers sonâ¢	Sisters sonâ¢	Brothers daughterâ¢	Sisters daughterâ¢	Fathers fatherâ¢	Fathers motherâ¢	Fathers widowâ¢	Brothers widowâ¢	Fathers brotherâ¢	Fathers sisterâ¢	Mothers fatherâ¢	Mothers motherâ¢	Mothers brotherâ¢	Mothers sisterAgnatesIn case a Hindu male passes away intestate and leaves no class 1 or class 2 heirs, then the property would devolve on agnates. A person is said to be an agnate of another if the two are related by blood or adoption wholly through males. Agnate relationship does not extend to relationship by marriage and is restricted to relationship by blood. Also, agnate does not include widows of lineal descendants of the intestate.CognatesIf a Hindu male passes away without a Will and has no class 1 or class 2 heirs or agnates, then the succession would be through cognates. Cognates are ones who are related to the intestate by blood or adoption but not wholly, through males. Thus motherâs brotherâs son and brotherâs daughters son are cognates, eligible for heirship.","The property will be divided according to the Hindu Succession Act, 1956, as your grandfather died intestate. You may need to obtain a succession certificate or legal heir certificate to transfer the property to the grandchildren's names. This process typically involves obtaining a court order or document.",0.0,63.8285,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
3,"What to do my wife has put all possible charges against me and my parents like dowry sexual abuse by me and my father , domestic violence, my father is 64 years please advice what to do( Kanpur, Uttar Pradesh )",DP_3 -> DVA_12 -> DVA_17 -> DVA_18,DP_3 -> DVA_12 -> DVA_17 -> DVA_18 -> domestic_violence -> PROC_STREEDHAN_RECOVERY -> PROC_DOMESTIC_VIOLENCE_COMPLAINT -> dowry_harassment,"Hello,If a false complaint is registered against you by your wife, you have two options â either to defend your case and wait for the judgement or to file a counter case against your wife under S 153(4) CrPC. Meanwhile you can also apply for an anticipatory bail.","Consider addressing the domestic violence and dowry harassment complaints by seeking legal advice. You might need to engage in procedures like PROC_DOMESTIC_VIOLENCE_COMPLAINT and PROC_STREEDHAN_RECOVERY. Consulting a lawyer in Kanpur, Uttar Pradesh, can help navigate the charges.",1.1518,51.7944,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
4,"How to apply caste certificate( Srikakulam, Andhra Pradesh )",SMA_13 -> PROC_INHERITANCE_SUCCESSION -> PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE -> PROC_DIVORCE_CONTESTED,"SMA_13 -> PROC_INHERITANCE_SUCCESSION -> PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE -> PROC_DIVORCE_CONTESTED -> divorce -> PROC_DIVORCE_MUTUAL_CONSENT -> Special Marriage Act, 1954 -> Q_239","Dear Client,The Cast certificate document in India can be taken online or from the Revenue Departmentâs local office or the SDM office. A local inquiry is conducted when the caste certificate is issued for the first time to a particular family. The documents to be kept handy are-  State residence proof for a specific period, Specified court stamp fee and, An affidavit in support of the caste. This caste certificate is to be uploaded in the very prescribed format of the respective institute where it should be submitted or uploaded.  To obtain Caste Certificate in India , you must have some documents along with the application including- Application Form, Residence Proof, Copy of the Birth Certificate, Copy of the Ration card, Copy of income certificate, Copy of the Voter ID or electoral roll, Aadhar Card and Photograph. We hope that our response is helpful to you.","The fact-rule-chain provided does not directly address the process for applying for a caste certificate in Srikakulam, Andhra Pradesh. For caste certificate application, you typically need to contact the local revenue office or apply through the official state government portal.",0.3102,71.9306,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
5,"My Aunt (Father's Sister) was not available at the time of GIFT DEED written on my name by my GRAND PARENT'S and they have only two kids (DAD and AUNT) and my aunt has son and daughter and they live in Chennai and my AUNT is willing to give NO OBJECTION DOCUMENT. So can i take any NO OBJECTION Couriered to her and signed and returned back to me as a supporting document of GIFT DEED, So that i don't need her signature in future if i want to sell the property.( Hyderabad, Andhra Pradesh )",CCS_54 -> DP_3 -> INDRA_SARMA_2013 -> PROC_CHILD_CUSTODY,"CCS_54 -> DP_3 -> INDRA_SARMA_2013 -> PROC_CHILD_CUSTODY -> DVA_18 -> domestic_violence -> PROC_DOMESTIC_VIOLENCE_COMPLAINT -> CCS (Pension) Rules, 1972",Yes. But it is not required strictly as far as as it is not going to  be challenged on one ground or the other. Thanks,You can have your aunt sign a NO OBJECTION DOCUMENT and courier it back to you. This document can serve as a supporting document for the GIFT DEED. It may help in future transactions involving the property.,1.4379,4.1425,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
6,"Is there any legal way to ask financial support from my father bcos i turned 18 in jan 2022 and he left me and completely refused to give a single penney. Can I  get a legal help?( Surat, Gujarat )",HMA_24 -> HMA_25 -> CRPC_125 -> CRPC_128,"HMA_24 -> HMA_25 -> CRPC_125 -> CRPC_128 -> Code of Criminal Procedure, 1973 -> Hindu Marriage Act, 1955 -> PROC_MAINTENANCE_CLAIM -> maintenance","Dear ClientAs per the Section 125 of Cr.P.C. only a minor child can ask for maintenance from the father or a major child who suffers from some disability.Even under the Hindu Adoption and Maintenance Act, 1956, Section 20 only a minor child can ask for maintenance.","Yes, you can seek legal help for maintenance. Under CRPC_125, you can claim financial support from your father. You may file an application in the court for maintenance under the Code of Criminal Procedure, 1973.",4.364,63.7318,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
7,"Mere father apne 3 sons m se kisi ek ko apni property ka extra part de to other son case kr ke us property ko distribute kara sakte ya nhi( Jhansi, Uttar Pradesh )",property_rights -> SRA_5 -> IPC_420 -> MWPSC_23,"property_rights -> SRA_5 -> IPC_420 -> MWPSC_23 -> PROC_INHERITANCE_SUCCESSION -> inheritance -> cheating -> Specific Relief Act, 1963","Dear Sir,During the lifetime of father no one has any right over his property.","If a father gives an extra part of his property to one son, the other sons may challenge this distribution. They can file a case under inheritance and succession laws. The court may decide based on property rights and applicable laws like the Specific Relief Act, 1963.",1.9807,49.5024,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
8,"If run away couple are 20yrs old both..girl and boy(girl is above 18 but boy is not above21) with consent of girl and For girl run away from home is necessary as she has threat of life and liberty and if they run they as per law they can't do marriage as boy is not above 21..what The Boy can Do In Such Circumstances? As girl's parents often file complaints like rape, kidnapping, brain washing etc.( Vadodara, Gujarat )",ART_21 -> BNS_63 -> SENIOR_CITIZENS_MAINTENANCE_RULES_2009 -> PROC_MAINTENANCE_CLAIM,ART_21 -> BNS_63 -> SENIOR_CITIZENS_MAINTENANCE_RULES_2009 -> PROC_MAINTENANCE_CLAIM -> Bharatiya Nyaya Sanhita -> HAMA_20 -> child_custody -> DVA_18,Wait for the guy to be 21 and thereafter get married. Precautionary steps.1. Gain the trust of the female2. Charges of rape etc may take place3. Start living in together4. Keep proofs that she was living consent fully with you for eg. open a joint bank account or any other thing.,The boy can seek protection under ART_21 for life and liberty. They may also consider the PROC_MAINTENANCE_CLAIM for legal procedures regarding maintenance. Legal advice should be sought to address complaints like rape or kidnapping.,1.0898,23.2479,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
9,"I am a widow. I have 2 daughters from first marriage, the elder is 19 years and the younger is 13 years. I am planning for second marriage with a widower with 2 kids, how to protect my property. Will the second husband have the rights on my property after marriage. Please suggest.( Bangalore, Karnataka )",marriage -> PROC_BIGAMY_COMPLAINT -> property_rights -> PROC_DIVORCE_MUTUAL_CONSENT,marriage -> PROC_BIGAMY_COMPLAINT -> property_rights -> PROC_DIVORCE_MUTUAL_CONSENT -> Q_403 -> inheritance -> HSA_10 -> PROC_INHERITANCE_SUCCESSION,"Hi,If you are alive the husband has no right over your self acquired property or ancestral property. After the death the husband has right over your property. If wife dies without executing a will her husband and children will succeed to her share in the ancestral property.If you like my answer, please give a good review.",Your property rights remain protected under PROC_DIVORCE_MUTUAL_CONSENT. The second husband does not automatically have rights to your property after marriage. Consider legal measures like a prenuptial agreement to ensure protection.,1.4859,51.6069,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
10,"My girlfriend is Indonesian and lives in Indonesia. She got married forcefully married in April this year. I am thinking to get her to India secretly and get her pregnant so that she easily gets divorced. Are there any legal issues in this step? Actually, no other way seems possible, I really want to live my whole life with her.( Ghaziabad, Uttar Pradesh )",HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362,"HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362 -> Code of Criminal Procedure, 1973 -> PROC_DIVORCE_MUTUAL_CONSENT -> divorce -> Hindu Marriage Act, 1955","hi,since the marriage took place without her consent, she can file for divorce in Indonesia.having said that  you getting her pregnant will end up landing the future baby into an illegitimate child and have complications in getting divorce too.","The Hindu Marriage Act, 1955, and the Code of Criminal Procedure, 1973, govern divorce and related procedures in India. Forcing someone into a situation to obtain a divorce is not a lawful approach. Legal divorce requires mutual consent or valid legal grounds. Your plan may involve legal issues and is not supported by the proper legal process.",1.0364,47.0531,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
11,"Sh Vikram Singh wife and only son died after immediately retirement from irrigation department, Meerut UP.  He remarried and born a son.  He nominated both in service book and After death of sh vikram singh, new wife pension was sanctioned and paid.  After some time she got missing due to depression.

Minor child 09 years old got guardianship from court by elder sister.

Department is denying pension.

How he can deny????( Meerut, Uttar Pradesh )",HMGA_6 -> CCS_54,"HMGA_6 -> CCS_54 -> PROC_INHERITANCE_SUCCESSION -> CCS (Pension) Rules, 1972 -> PROC_CHILD_CUSTODY -> child_custody","Dear Client,According to OM No. 1/47/87-P&PW dated 30/3/1989, issued by the Department of Pension and Pensioners' Welfare,  Government of India. Ministry of Personnel, Public Grievances and Pensions,  the family pension shall be paid to such son or daughter through the Guardian if he or she is a minor. under Sub-rule 6 of Rule 54 of CCS (Pension) Rules, 1972. As per Sub Rule 6(ii) of Rule 54, in the case of an unmarried son family pension will be payable until he attains the age of 25 years or until he gets married or until he starts earning his livelihood, whichever is the earliest. Referring to the above circulars and the provision of Sub-rule 6 of Rule 54 of CCS (Pension) Rules, 1972, you can apply the concerned Deptt. for an appropriate order failing which you may escalate the matter before the High Court seeking appropriate relief. If required, reach out to an Advocate for guidance and steps.","The pension rules are linked to the CCS (Pension) Rules, 1972. If the minor child has obtained guardianship through court, the department should follow the CCS (Pension) Rules for succession and inheritance. The denial might be due to procedural issues or misinterpretation of the rules. It may require further clarification or legal intervention based on the CCS (Pension) Rules, 1972.",4.1412,69.3458,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
12,"Husband has filed divorce on cruelty after I found he has emotional affair though he apologize for it.No hearing done till yet.Mediation was also failed.I dont want divorce.He forced me to leave house also after filing divorce.its been 8 months we are living separately.I filed DV case after 7 months no hearing done in this case also.I need suggestion Shall I continue with DV case or withdraw it I really want to save marriage I dont want to harrass them.What should I do pls advice.And if DV case continue hw much time it will take to finalize.( Pune, Maharashtra )",HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362,"HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362 -> Code of Criminal Procedure, 1973 -> PROC_DIVORCE_MUTUAL_CONSENT -> divorce -> Hindu Marriage Act, 1955","Hi,The facts are not clear.More information is required to help you out.","The Hindu Marriage Act, 1955 and the Code of Criminal Procedure, 1973 guide divorce proceedings and related matters. Since you want to save the marriage, consider discussing reconciliation options with your husband or through legal mediation. Continuing with the DV case is your decision, but it may take time to finalize. Consulting with a legal expert in Pune, Maharashtra, might provide more specific guidance.",0.7933,10.1889,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
13,"My wife responded me dt iam a cruel sadist and irresponsible person, it's very difficult to live under same roof,iam waiting for her since 3 yrs, I want to go for other marriage, is it applicable( Hyderabad, Telangana )",HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362,"HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362 -> divorce -> PROC_DIVORCE_MUTUAL_CONSENT -> Code of Criminal Procedure, 1973 -> Hindu Marriage Act, 1955",If you and your wife are legally divorced by a decree of divorce and period of appeal has been expired then you can remarry a second marriage. The allegations levelled by wife amount to cruelty on the basis of which you can file divorce case on the ground of cruelty. Without dissolution of first marriage by a decree of divorce by court you cannot remarry.,"Under the Hindu Marriage Act, 1955, you may seek divorce if the marriage is irretrievably broken. Mutual consent divorce is an option under PROC_DIVORCE_MUTUAL_CONSENT. After divorce, you can remarry. Consult legal advice for personal guidance.",2.9801,62.9147,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
14,"My Father has a Property in Coimbatore and it requires to be registered in my name. My father is expired and mother is a bedpatient. We live in Chennai. Can i register the property in my name in any of the registration offices in Chennai? Is there a Possibility owing to my mother's situation.( Chennai, Tamil Nadu )",HSA_8 -> HSA_10 -> MWPSC_23 -> ISA_37,"HSA_8 -> HSA_10 -> MWPSC_23 -> ISA_37 -> inheritance -> PROC_INHERITANCE_SUCCESSION -> Hindu Succession Act, 1956 -> Indian Succession Act, 1925","Dear client,  Make an application addrssing to the condcerned officer in Revenue Office of your local area mentioning the fact of death, and total children of your parents including females, and pray to update the record as per inheritance, attach the death certificate with that. Mention the properties also.","Based on the fact-rule-chain, property inheritance is governed by the Hindu Succession Act, 1956, and the Indian Succession Act, 1925. You need to follow the procedures under these acts for inheritance and succession. Registration typically occurs where the property is located, so you may need to register in Coimbatore. Your mother's situation may require specific legal procedures or documentation.",1.8158,54.0419,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
15,"How to dissolve the divorce(mutual consent) after its awarded in Karnataka?
Any website to check the Marriage Id if it's Married or Divorced. I know to track by MC number.
Boy was the petitioner.  Any legal issues if boy continues to live with girl without dissolving divorce they took.( Tumkur, Karnataka )",HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362,"HMA_13 -> HMA_13B -> HMA_14 -> CRPC_362 -> Code of Criminal Procedure, 1973 -> PROC_DIVORCE_MUTUAL_CONSENT -> divorce -> Hindu Marriage Act, 1955","going for dissolving divorce is more costly and time consuming then remarriage.no legal issues for you to continue to live with ex-wife if she agreesHope this clarifies,Advocate Ankur Goel","Once a divorce by mutual consent is awarded under the Hindu Marriage Act, 1955, it cannot be dissolved. According to the Code of Criminal Procedure, 1973, judgments like divorce decrees cannot be altered. Living together after divorce is not illegal, but it may have legal implications. For checking marriage status, you may need to contact local authorities or use online services if available.",1.4406,52.0705,16.9131,2.4158,15.068,13.8762,27.5156,4.8753,1.5083,0.585,0.1727,12.5006,49.5024,51.429,83.9155
