sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )","Appointment on Contract Basis → Section 10(1) of the Contract Labour Regulation and Abolition Act, 1970","Appointment on Contract Basis → Section 10(1) of the Contract Labour Regulation and Abolition Act, 1970 → Work of Laying Railway Tracks Considered Non-Perennial → Section 10(2) of the Contract Labour Regulation and Abolition Act, 1970 → Notification Issued Under Contract Labour Act → Work of Laying Railway Tracks Not Perennial","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","I have just quit my job on the very first day because the environment and work culture was horrible. I had filled 3 4 forms before joining.

Requisition for issue of photo identity card
Joining form
Salary account declaration
The Professional Confidentiality and Non Disclosure agreement.
And EPF form

There was no mention of notice period or any bond period in any of these forms.

Will there be any demand for money or compensation from the company ?( South Delhi, Delhi )","Dear Client,since you have an experience of more that 10 years, you can go for regularization in the court. contractual employees need 10 years of experience to be regularised.","Under Indian law, the regularization of a contract employee is typically governed by the principles laid out in the Supreme Court case of Secretary, State of Karnataka v. Umadevi (2006) 4 SCC 1. The court held that regularization is not a right unless the appointment was made through a regular recruitment process as per the rules. Since your appointment is on a contract basis with yearly extensions, regularization is not guaranteed unless specific government policies or schemes allow for it.

To pursue regularization, file a writ petition in the Delhi High Court demonstrating that your work is of a perennial nature and that similarly situated employees have been regularized. Collect evidence of your continuous service and any precedents of regularization in your department. Consult with a legal expert to strengthen your case and explore any existing government policies that might support your claim.",0.9007,54.5439,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
2,"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )",Interview Process for Patwaris Conducted → Candidates Selected Based on Merit,"Interview Process for Patwaris Conducted → Candidates Selected Based on Merit → Grievance Raised by Unsuccessful Candidates → Ashok Yadav v. State of Haryana, 1985 Supp. 1 SCR 657 → Committee for Selection Properly Constituted → Rule 2(a) of the Punjab Revenue Patwari Class II Service Rules","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","How to get back my original certificate( Coimbatore, Tamil Nadu )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","Dear client,as writs are filed in violation of fundamental rights, you will have to prove the breach. You can do this by showing it is against article 14, which is right to equality under the Indian Constitution.Thank you, Have a nice day.","A writ petition can be filed in the High Court under Article 226 of the Constitution of India challenging the selection process of an Anganwadi worker if there is evidence of political interference and fraud. The petitioner must demonstrate that the selection process was not conducted based on merit and that the selection committee was improperly constituted, similar to the principles discussed in Ashok Yadav v. State of Haryana, 1985 Supp. 1 SCR 657. 

To proceed, gather evidence of the alleged political interference and any deviation from the established rules, such as Rule 2(a) of the relevant service rules. Then, consult with a legal professional to draft and file the writ petition in the appropriate High Court.",0.971,55.4413,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
3,"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )",Employee Applied for Leave Preparatory to Retirement → Leave Revoked by Government,Employee Applied for Leave Preparatory to Retirement → Leave Revoked by Government → Article 310 of the Constitution of India → Allegations of Mala Fide Action by Chief Minister → Claims of Estoppel Against Government → Stigma Attached to Retirement Order Disputed,"Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","I have just quit my job on the very first day because the environment and work culture was horrible. I had filled 3 4 forms before joining.

Requisition for issue of photo identity card
Joining form
Salary account declaration
The Professional Confidentiality and Non Disclosure agreement.
And EPF form

There was no mention of notice period or any bond period in any of these forms.

Will there be any demand for money or compensation from the company ?( South Delhi, Delhi )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","Dear Client,In India, the Maternity Benefit Act, 1961, governs maternity benefits for women employees. According to the Act, you are entitled to maternity leave if you have worked for your employer for at least 80 days in the 12 months immediately preceding your expected date of delivery. The Act does not specify a requirement for providing notice three months in advance. It's more about the duration of your employment before the expected delivery date. Go through your employment contract and your company's HR policies to understand the terms and conditions regarding maternity leave.","The primary legal issue is the company's refusal to pay due to the alleged late notice of leave, which may involve breach of employment contract terms. Under Indian employment law, the terms of leave and notice period are generally governed by the employment contract and the applicable company policies. If the employment contract or company policy does not explicitly require a three-month notice for leave, then the company's refusal to pay may be unjustified.

To address this, review the employment contract and company policy to determine if there is a specific notice period requirement for leave. If no such requirement exists or if the company is acting against its own policy, send a formal legal notice to the company demanding payment of dues. If the issue remains unresolved, consider filing a complaint with the Labour Commissioner or pursuing legal action in the appropriate labor court.",2.3845,57.7751,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
4,"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )",Union Formed in Factory → Management Discharged Workmen,Union Formed in Factory → Management Discharged Workmen,"I absconded the company with out any notice period.and also I didn't give any resignation also . i recieved a Mail after 20 days  l left the company, regarding termination letter. After 2 months i got the due to shortfall of notice period ,I have to pay  1 month salary.I left the company because of I didn't like the work culture.I tried to tell them regarding resignation but they are not in a mood to listen .so I left the company with any intimation.soi will really get any penalty for not serving notice period?.please hel me in this.do I have to pay money or no need to pay ? Is there anything I can do other than paying money?.please help me in this .( Hyderabad, Telangana )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","I have worked 5.1 years  in an xxx organisation. They said, in the first year of my experience  I have probation period of six month. So, employer saying that am not eligible for gratuity you would be consider as 4.5 years experiences served in the organisation. So they saying you are not eligible for gratuity . Can you please confirm me whether am eligible for gratuity or not ? Is that training or probation period Iâll affect that gratuity?( Chennai, Tamil Nadu )","A.Dear Sir,Yes, it depends upon the background of the case under workman compensation act.","Under the Employees' State Insurance Act, 1948, compensation may be claimed if a worker dies due to an employment injury, which includes a stroke if it can be proven to be work-related. Section 51-A of the Act provides for dependents' benefits if the death is attributable to employment. The family of the deceased should file a claim with the Employees' State Insurance Corporation (ESIC) and provide evidence linking the stroke to work conditions.

The family cannot claim compensation if the stroke is found to be unrelated to the employment. The next steps include gathering medical records and witness statements to establish the connection between the stroke and work conditions, and then filing a claim with ESIC.",0.8293,42.066,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
5,"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )","Termination Based on Insufficient Days Worked → Section 25F of the Industrial Disputes Act, 1947","Termination Based on Insufficient Days Worked → Section 25F of the Industrial Disputes Act, 1947 → Labour Court Found Termination Invalid → Employee Entitled to Reinstatement with Back Wages → Section 10(1) of the Industrial Disputes Act → High Court Found No Violation of Natural Justice","I have just quit my job on the very first day because the environment and work culture was horrible. I had filled 3 4 forms before joining.

Requisition for issue of photo identity card
Joining form
Salary account declaration
The Professional Confidentiality and Non Disclosure agreement.
And EPF form

There was no mention of notice period or any bond period in any of these forms.

Will there be any demand for money or compensation from the company ?( South Delhi, Delhi )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","Dear Client,Termination without notice other than disciplinary action amounts to illegal termination and is defined as an industrial dispute under Section 2A of the Industrial Disputes Act, 1947 which also violated the mandatory provision of Sec.25F and 25N of the Act that prescribed certain conditions to comply with by the employer before termination/retrenchment of a workman/employee from the employment. A company can neither withhold the original certificates of an employee nor demand money for returning the same which is amounted to an unfair labour practice as defined under Sec.2(ra) of the Industrial Dispute Act, 1947. In that scenario, the terminated employee/workman can raise an industrial dispute directly before the Industrial Tribunal/Labor Court concerned for adjudication within three years from the date of termination/retrenchment. Regardless of reasons, on cessation of employment, an employee is entitled to an experience certificate, relieving letter and F & F settlement dues from the employer within 30 days of the last working days (LWD) and denial of which amounted to unfair labour practices. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. serving a legal notice to the Company you can raise an Industrial dispute directly before the State Govt. Industrial Tribunal under Sec.2A of the I D Act. and additionally, you have to file an application u/s.33C(2) of the I D Act before the concerned State Labour Court claiming dues from your employer receivable to an employee on illegal termination/retrenchment. Further, if the establishment comes under the purview of the State-specific Shops and Establishment Act, you can escalate your grievance before the Chief Inspector or Adl. Chief Inspector appointed under the Act for redressal of your grievance. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking desired relief in the matter. Reach out to an Advocate experienced in service matters for guidance and steps. Feel free to contact our legal team to navigate the issue in the right way.","Under Section 25F of the Industrial Disputes Act, 1947, termination of employment without proper notice or compensation is illegal if the employee has worked for more than 240 days in a year. If you have not been given the requisite notice or compensation, you may challenge the termination as invalid. You can file a complaint with the Labour Court to seek reinstatement and back wages. Collect all employment records and communication related to your termination and consult with a labor lawyer to draft and file your complaint effectively.",0.3841,74.7832,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
6,"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )",Suppression of Information in Attestation Form → Character and Antecedents Considered for Employment,Suppression of Information in Attestation Form → Character and Antecedents Considered for Employment → Criminal Case Pending Against Respondent → High Court Set Aside Tribunal Order → High Court Found Division Bench Considered Different Cases → Deemed Confirmation Claim Raised,"Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","How to get back my original certificate( Coimbatore, Tamil Nadu )","Dear Client,While you are pursuing a regular degree course, you cannot take up any full-time job even if it is merely for a one-month. It is also impermissible under a regular course nomenclature. In the present state of affairs, neither you could inform the matter to college authority that may affect your degree nor, suppress the fact in the SSC CGL application form because a Background verification(BGV) check is a process many organizations carry out to verify the information provided by the candidate during hiring. Verification of EPFO records through UAN is critical for conducting employee background checks because it allows employers to confirm that their employees are not using false or stolen identities to gain employment. In case of a negative background verification check an employer can even reject/terminate the employment of the candidate. So, in the given situation, considering your career prospects, you need to visit the office of the PSC who conducted the SSC exams to clarify the matter in detail to protect both of your academic and job career.","Failure to disclose previous employment, even for a short duration, on a government job attestation form can be considered suppression of information, which may lead to termination of employment if discovered. According to the Central Civil Services (Conduct) Rules, 1964, transparency in declarations is crucial. The presence of a UAN linked to your Aadhaar can serve as evidence of employment, making non-disclosure risky.

Legally, you must disclose this employment to avoid potential issues of misrepresentation. Ensure all employment details are accurately reflected in your attestation form. Consider consulting with an employment lawyer if further clarification is needed on how to present this information.",0.9588,44.7552,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
7,"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",Appellant Worked for 12 Years → Request for Class IV Post Made,"Appellant Worked for 12 Years → Request for Class IV Post Made → Gujarat Non-Secretariat Clerks, Clerks-cum-Typist Direct Recruitment Procedure Rules, 1990","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I absconded the company with out any notice period.and also I didn't give any resignation also . i recieved a Mail after 20 days  l left the company, regarding termination letter. After 2 months i got the due to shortfall of notice period ,I have to pay  1 month salary.I left the company because of I didn't like the work culture.I tried to tell them regarding resignation but they are not in a mood to listen .so I left the company with any intimation.soi will really get any penalty for not serving notice period?.please hel me in this.do I have to pay money or no need to pay ? Is there anything I can do other than paying money?.please help me in this .( Hyderabad, Telangana )","I have just quit my job on the very first day because the environment and work culture was horrible. I had filled 3 4 forms before joining.

Requisition for issue of photo identity card
Joining form
Salary account declaration
The Professional Confidentiality and Non Disclosure agreement.
And EPF form

There was no mention of notice period or any bond period in any of these forms.

Will there be any demand for money or compensation from the company ?( South Delhi, Delhi )",Employment Lawsfor Multinational Companies in Indiahttps://singhania.in/wp-content/uploads/2019/08/Employment-Law-Primer-For-Multinational-Companies-In-India-2019.pdf,"The primary legal issue is the non-payment of dues and withholding of employment documents, which may constitute a breach of contract and violation of employment laws. Under the Industrial Disputes Act, 1947, and relevant state labor laws, an employee is entitled to receive full and final settlement, including unpaid salary and necessary documents, upon termination. Legally, the company cannot withhold your dues or documents without valid justification.

You can send a formal legal notice to the company demanding payment of the remaining dues and issuance of the necessary documents. If the company fails to comply, you may file a complaint with the Labour Commissioner or initiate legal proceedings in a labor court for recovery of dues and damages.",0.3593,30.5369,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
8,"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",Dispute Over Will Validity → Property Owned by Deceased,Dispute Over Will Validity → Property Owned by Deceased,"How to get back my original certificate( Coimbatore, Tamil Nadu )","Principal is using abusing words and mental torches the faculty with her words( Nizamabad, Telangana )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )",Dear ClientBased on your insufficient information nothing can be opined to your query at the moment. So you may revert back to us with the following information> Nature of Establishment you work and nature of data entry job your performed in the said establishment that liable you for payment of fine on default.> The contents of your offer letter in brief and date of your joining> Reason behind the immoral and unethical threat affecting your career and harassment of your family which is termed both as Unfair Labour Practice and Unfair Trade PracticeHope the matter stands clarified.,"The situation described appears to be a case of extortion and fraud, which are criminal offenses under the Indian Penal Code (IPC). Under Section 383 of the IPC, extortion is defined as intentionally putting a person in fear of injury to induce them to deliver property or valuable security. The threats to upload your details on social media and arrest your family members are illegal and constitute criminal intimidation under Section 503 of the IPC.

You should immediately stop any further payments and report the incident to the local police station, providing all evidence of communication and transactions. Additionally, consider contacting the Cyber Crime Cell in Bangalore to address the online nature of the threats. Document all interactions and keep records of any communications for use in the investigation.",1.3546,34.0184,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
9,"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",Section 5 of the Minimum Wages Act → Court Held Notification Applicable to Employer,Section 5 of the Minimum Wages Act → Court Held Notification Applicable to Employer → Section 14 of the Minimum Wages Act → Section 3 of the Minimum Wages Act → Section 27 of the Minimum Wages Act → State Government Empowered to Fix Minimum Wages for Scheduled Employment,"Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","I have worked 5.1 years  in an xxx organisation. They said, in the first year of my experience  I have probation period of six month. So, employer saying that am not eligible for gratuity you would be consider as 4.5 years experiences served in the organisation. So they saying you are not eligible for gratuity . Can you please confirm me whether am eligible for gratuity or not ? Is that training or probation period Iâll affect that gratuity?( Chennai, Tamil Nadu )",A. If your employer is depositing money then tomorrow or later if the tax authorities check your bank account then they will charge with tax evasion as it will be considered as your income.B. Suppose the company is raided by tax authorities for tax evasion then you will also be considered as a partner in crime for allowing your account to be used for it.Be careful,"Under the Minimum Wages Act, 1948, employers are required to pay the minimum wages as fixed by the State Government for scheduled employment. The act of transferring money to employees' accounts with instructions to return it could be construed as a violation of this Act and potentially amounts to tax evasion or money laundering, which is illegal under the Income Tax Act, 1961, and the Prevention of Money Laundering Act, 2002. Employees should not participate in such transactions as they may be implicated in illegal activities.

Employees can report this suspicious activity to the local labor commissioner or the Income Tax Department. It is advisable to document any communications from the company regarding this transaction for future reference.",1.3991,49.8712,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
10,"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.","Change in Work Hours Not Properly Notified → Section 61 of the Factories Act, 1948","Change in Work Hours Not Properly Notified → Section 61 of the Factories Act, 1948","How to get back my original certificate( Coimbatore, Tamil Nadu )","Principal is using abusing words and mental torches the faculty with her words( Nizamabad, Telangana )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","The primary legal issue is the change in work profile and hours without proper notification, potentially violating Section 61 of the Factories Act, 1948, which mandates that changes in work hours must be communicated to employees. Additionally, workplace bullying and discrimination may violate labor laws and company policies. Legally, you can file a complaint with the Human Resources department or escalate the issue to the labor commissioner if internal resolution fails.

You should document all instances of bullying, discrimination, and changes in work conditions. Next, submit a formal written complaint to your HR department outlining these issues and request an official response. If unresolved, consider approaching the labor commissioner or a relevant labor court for further action.",1.4263,28.749,19.952,3.7548,17.4723,19.5153,2.2549,27.6484,5.5724,1.507,0.643,21.2151,51.1419,53.4476,83.8628
