node_id,type,label,source_graph,level,original_id,text,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
PC::Eligibility Criteria for Admission Challenged,CaseFact,Eligibility Criteria for Admission Challenged,PC_Family,pc,Eligibility Criteria for Admission Challenged,,,,,,,,
PC::Petitioners Claimed Violation of Article 14,LegalProvision,Petitioners Claimed Violation of Article 14,PC_Family,pc,Petitioners Claimed Violation of Article 14,,,,,,,,
PC::Article 14 of the Constitution,LegalProvision,Article 14 of the Constitution,PC_Family,pc,Article 14 of the Constitution,,,,,,,,
PC::Clause 2.1 of PGET-2014 Information Bulletins,LegalProvision,Clause 2.1 of PGET-2014 Information Bulletins,PC_Family,pc,Clause 2.1 of PGET-2014 Information Bulletins,,,,,,,,
PC::Attack Resulted in Multiple Casualties,CaseFact,Attack Resulted in Multiple Casualties,PC_Family,pc,Attack Resulted in Multiple Casualties,,,,,,,,
PC::Criminal Conspiracy Established,CaseFact,Criminal Conspiracy Established,PC_Family,pc,Criminal Conspiracy Established,,,,,,,,
PC::Accused Charged with Various Offences,CaseFact,Accused Charged with Various Offences,PC_Family,pc,Accused Charged with Various Offences,,,,,,,,
PC::High Court Affirmed Convictions,CaseFact,High Court Affirmed Convictions,PC_Family,pc,High Court Affirmed Convictions,,,,,,,,
PC::Section 3 of POTA,LegalProvision,Section 3 of POTA,PC_Family,pc,Section 3 of POTA,,,,,,,,
PC::Section 120B of IPC,LegalProvision,Section 120B of IPC,PC_Family,pc,Section 120B of IPC,,,,,,,,
PC::Section 366 of CrPC,LegalProvision,Section 366 of CrPC,PC_Family,pc,Section 366 of CrPC,,,,,,,,
PC::Section 50 of POTA,LegalProvision,Section 50 of POTA,PC_Family,pc,Section 50 of POTA,,,,,,,,
PC::Accused Not Named in FIR,CaseFact,Accused Not Named in FIR,PC_Family,pc,Accused Not Named in FIR,,,,,,,,
PC::Witnesses Did Not Attribute Overt Acts to Accused,CaseFact,Witnesses Did Not Attribute Overt Acts to Accused,PC_Family,pc,Witnesses Did Not Attribute Overt Acts to Accused,,,,,,,,
PC::Korma Rao Died from Assault Injuries,CaseFact,Korma Rao Died from Assault Injuries,PC_Family,pc,Korma Rao Died from Assault Injuries,,,,,,,,
PC::Section 302 of IPC,LegalProvision,Section 302 of IPC,PC_Family,pc,Section 302 of IPC,,,,,,,,
PC::Accused Present at Scene but Doubtful Involvement,CaseFact,Accused Present at Scene but Doubtful Involvement,PC_Family,pc,Accused Present at Scene but Doubtful Involvement,,,,,,,,
PC::Section 304 of IPC,LegalProvision,Section 304 of IPC,PC_Family,pc,Section 304 of IPC,,,,,,,,
PC::Eviction Suit Filed for Non-Payment of Rent,CaseFact,Eviction Suit Filed for Non-Payment of Rent,PC_Family,pc,Eviction Suit Filed for Non-Payment of Rent,,,,,,,,
PC::Tenant Denied Landlord Title,CaseFact,Tenant Denied Landlord Title,PC_Family,pc,Tenant Denied Landlord Title,,,,,,,,
PC::Denial of Title Affects Landlord Interest,CaseFact,Denial of Title Affects Landlord Interest,PC_Family,pc,Denial of Title Affects Landlord Interest,,,,,,,,
PC::Trial Court Decreed Eviction,CaseFact,Trial Court Decreed Eviction,PC_Family,pc,Trial Court Decreed Eviction,,,,,,,,
PC::High Court Set Aside Eviction Decree,CaseFact,High Court Set Aside Eviction Decree,PC_Family,pc,High Court Set Aside Eviction Decree,,,,,,,,
PC::Promotion Eligibility Criteria Established,CaseFact,Promotion Eligibility Criteria Established,PC_Family,pc,Promotion Eligibility Criteria Established,,,,,,,,
