sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,rouge1,rouge2,rougel,meteor,bertscore
1,"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )",MHA_114 → RPSR_34 → RPSR_8932 → EPF_AT,MHA_114 → RPSR_34 → RPSR_8932 → EPF_AT → RPSR → MHA → RPSR_3213 → MHA_85,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I'm 23 &amp; worked as a Social media executive &amp; writer in a startup. My boss is making excuses and refusing to pay back the salary of around 4 months. It's been around 1 year and 10 months, even after several requests and pleas, he isn't paying the salary. Although it's not a big amount, it ranges between 45k-50k. But as a 23-year-old it's a big amount for me. I need my hard-earned money. Pls, advise what should I do? 

Note: It will be helpful if the suggestions are of not too much hassle and within my affordability.( Thane, Maharashtra )","Joined TCS Mumbai on 4th June 2021 as consultant with joining bonus. Due to profile mismatch, overtime, verbal harassment and no response from higher management, i resigned and sent an email on 3-Aug (within probation), requesting them to relieve on 31-Aug. They were delaying and asked me to contact this and that person. Later, by 7-Aug, they blocked my laptop access. I could not work within notice period. In offer letter, appointment letter, internal policy - notice period after probation or confirmation only mentioned.
I returned company laptop. Got my salary, variable pay too.
Now after 1.5 years- they have sent me legal notice asking recovery of bonus and 2 months shortfall basic salary, within a week- else legal action. ( No calls or emails- they had my old defunct hotmail ID).meanwhile, i shifted to different city twice, but my phone number was same. Never ever they called me. They used very bad language- ""you had fraudulent intentions to dupe company etc.""

Please advise.( Pune, Maharashtra )",Dear ClientI think you have a valid case to ask for regularization but then to be very specific you need to share the contract and service rule book with us so that I can then provide you the more specific or exact answer on that. But as said prima-facie you have a case.,"Under Indian law, the regularization of contractual employees is governed by principles laid out in various judgments, such as the case of *Secretary, State of Karnataka v. Umadevi (3)* (2006) 4 SCC 1. The Supreme Court held that regularization cannot be claimed as a right unless the appointment was made in accordance with the relevant rules and through a proper selection process. Since your appointment was on a contractual basis, regularization would typically require a policy decision by the employer or legislative change.

You can explore filing a writ petition in the Delhi High Court seeking regularization, but success would depend on demonstrating that your appointment meets the criteria established by law and any existing policies for regularization. Consult with a labor law attorney to assess the specific facts of your case and draft a petition.",19.7689,3.914,17.6851,20.1372,84.1461
2,"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )",IRC_72 → FIN_A_8 → PSI_9 → RPSR_5923A,IRC_72 → FIN_A_8 → PSI_9 → RPSR_5923A → RPSR → FIN_A → IRC → PSI,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","In my graduation 3rd year marksheet my date of birth 21-jun-1993, seen 21-jun-1983 from distance, but actual it 21-jun-1993 when seen by lens, in 1993 third digit 9 is likely shaped birthday candel 9, and shape is likely 9,. Qr code represent 21-jun-1993 also. 
Please suggest me that ...should I do apply reprint in University or not? Is there any problem in govt job?( Bundi, Rajasthan )","Widow daughter can get family pension of panchayat taj dept employees.( North 24 Parganas, West Bengal )","A.Dear Sir,Yes, you can file but success rate is very low and remote.","The primary legal issue is whether the selection process of an Anganwadi worker was conducted fraudulently with political interference, which may violate principles of administrative fairness and transparency. Under Article 226 of the Indian Constitution, a writ petition can be filed in the High Court for the violation of fundamental rights or legal rights due to such irregularities. You can file a writ of mandamus to compel the authorities to conduct a fair selection process.

To proceed, gather evidence of the alleged fraud and political interference, such as documents, witness statements, or any recorded communications. Consult with a lawyer to draft and file the writ petition in the Andhra Pradesh High Court, detailing the irregularities and requesting judicial intervention.",19.7689,3.914,17.6851,20.1372,84.1461
3,"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )",MBA_10 → FA_79 → SPE_4 → MTW_24,MBA_10 → FA_79 → SPE_4 → MTW_24 → leave → SPE → Factories Act 1948 → wages,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I am working in indian software MNC from october 2008 till date from 2008-2018 I was medically fit from 2018 I suffering from asthma, hip joint bone AVN disorder but this is not affecting my office work at all my office work performance is good so currently I am asking for work from home so can my employer terminate me for medical health( Pune, Maharashtra )","Dear Client,Your query requires a few more details like the date of joining, length of service rendered by you before delivery etc. However, it is to inform you that as per the provision of the Maternity Benefit Act, 1961, an employee is entitled for maternity leave with full pay on completion of at least 80 days of work in an establishment in the 12 months prior to her expected date of delivery. The duration of maternity leave for both first and second-time mothers is 6 months or 26 weeks. This leave can be availed either before or within 6 months from the date of delivery of the child. Once a woman employee applies for maternity leave, the Company is dutybound to approve her leave and disburse her all the monetary benefits available under the Act. So, when the delivery date is 18/04/2023 and you applied for maternity leave on 03/03/2023 and you did not render 80 days of work before applying for maternity leave, then as per the eligibility criteria prescribed under the Act, you are not eligible for the maternity leave.","The refusal to pay based on immediate leave notice may not be legally justified if the employment contract or company policy does not specifically require a three-month notice for leave. Under the Indian Contract Act, 1872, terms of employment must be clear and adhered to by both parties. If the contract does not stipulate such a notice period, the company's refusal to pay may be challenged.

To address this, first review your employment contract and company leave policy to confirm the notice period requirements. If the company's action is not supported by these documents, send a formal legal notice demanding the owed payment. If the issue remains unresolved, consider filing a complaint with the labor commissioner or pursuing a civil suit for breach of contract.",19.7689,3.914,17.6851,20.1372,84.1461
4,"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )",ESI_2 → ESI_2A → ESI_10 → ESI_20,ESI_2 → ESI_2A → ESI_10 → ESI_20 → Employees State Insurance Act 1948 → esi → ESI_39 → Q_487,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","In my graduation 3rd year marksheet my date of birth 21-jun-1993, seen 21-jun-1983 from distance, but actual it 21-jun-1993 when seen by lens, in 1993 third digit 9 is likely shaped birthday candel 9, and shape is likely 9,. Qr code represent 21-jun-1993 also. 
Please suggest me that ...should I do apply reprint in University or not? Is there any problem in govt job?( Bundi, Rajasthan )","I am working in indian software MNC from october 2008 till date from 2008-2018 I was medically fit from 2018 I suffering from asthma, hip joint bone AVN disorder but this is not affecting my office work at all my office work performance is good so currently I am asking for work from home so can my employer terminate me for medical health( Pune, Maharashtra )","Dear Client,Yes, you may. The eligible dependents benefit in favour of the injured/deceased in accordance with law within a period of four weeks. Kindly consult a lawyer. Check out the case Room No.9 vs Sub-Regional Office.Thank you!","Under the Employees' State Insurance Act, 1948, dependents of a deceased employee may be eligible for compensation if the death is deemed to have arisen out of and in the course of employment. Section 51 of the Act provides for dependents' benefits in such cases. If the stroke can be linked to work-related stress or conditions, a claim may be viable.

The dependents should file a claim with the Employees' State Insurance Corporation (ESIC) providing medical and employment records to establish the connection between the stroke and employment. If the claim is denied, they may appeal the decision through the appropriate legal channels.",19.7689,3.914,17.6851,20.1372,84.1461
5,"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )",IDA_17B → EPF_12 → ESI_72 → ISM_12,IDA_17B → EPF_12 → ESI_72 → ISM_12 → wages → Industrial Disputes Act 1947 → Employees State Insurance Act 1948 → ISM,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I am working in indian software MNC from october 2008 till date from 2008-2018 I was medically fit from 2018 I suffering from asthma, hip joint bone AVN disorder but this is not affecting my office work at all my office work performance is good so currently I am asking for work from home so can my employer terminate me for medical health( Pune, Maharashtra )","Dear Client,If you have been terminated from your company without any reason and have received only 6 days' extra pay beyond the days you worked, you may have grounds for legal action under Indian labor laws. The Industrial Disputes Act, 1947, protects employees from unfair dismissal and ensures that employers provide a valid reason for termination. Additionally, under the Payment of Wages Act, 1936, employees are entitled to receive full and timely payment of their due wages. You should send a formal written complaint to your employer detailing your grievance and request the full payment you are owed. If the issue is not resolved, you can file a complaint with the labor commissioner or seek legal counsel to take the matter to the labor court to claim your rightful dues and any additional compensation for wrongful termination.","Under the Industrial Disputes Act, 1947, a termination without cause may be considered an unfair labor practice, and you may be entitled to remedies. If you were terminated without a valid reason, you can file a complaint with the labor commissioner in Bihar. Additionally, you may be entitled to notice pay or compensation as per your employment contract or statutory entitlements under the Payment of Wages Act, 1936. 

Next steps: File a complaint with the local labor office detailing your termination and seek their intervention. Consider sending a legal notice to your employer demanding any unpaid dues or compensation for wrongful termination.",19.7689,3.914,17.6851,20.1372,84.1461
6,"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )",relieving_letter → GST_143 → BTC_292 → EC_RULES_68,relieving_letter → GST_143 → BTC_292 → EC_RULES_68 → EC_RULES → wages → GST → BTC,"I'm 23 &amp; worked as a Social media executive &amp; writer in a startup. My boss is making excuses and refusing to pay back the salary of around 4 months. It's been around 1 year and 10 months, even after several requests and pleas, he isn't paying the salary. Although it's not a big amount, it ranges between 45k-50k. But as a 23-year-old it's a big amount for me. I need my hard-earned money. Pls, advise what should I do? 

Note: It will be helpful if the suggestions are of not too much hassle and within my affordability.( Thane, Maharashtra )","I'm working in American MNC ( Concentrix Daksh services India Pvt Ltd) situated in Gurugram, haryana, India. The nature of company is service provider to top clients including global tech giants. And I'm working for one of the world's biggest tech giant (Google TVC ), by providing services in specific project on behalf of above mentioned company (CNX ). So, I came to know that we are offered very less salary as compared to average salary in other regions in world and no where near the average salary of Google. And recently it's highlighted by whistleblower that Google illegally underpaid thousands of workers in many countries breaching pay parity laws. So I need advice in context of that if pay parity laws says in US that Google TVCs ( temporary, vendors and contractual workers ) are entitled to equal compensation. So is it possible to highlight same issue in India as well, and if yes, how to do it and how to get success in receiving the entitled compensation from Google or main company ( cnx), ( which ever is culprit ). I'm adding few links for references and better understanding. https://amp.theguardian.com/technology/2021/sep/10/google-underpaid-workers-illegal-pay-disparity-documents https://payparity.org/( North Delhi, Delhi )","Dear team
I resigned on 5th July  and my notice period was 3 months, I served till 24th September and as per 3 months notice period my last working day was 2nd October.... But since I had to join other organization on 27th September I sent multiple mails for relieving me just 5 days earlier from my last working day. 

When I didn't get any confirmation I myself sent declaration mail for my last working day as 24th September and also wrote that I am ready to compensate against my remaining notice period as per HR policy. I joined other organization on 27th September but my previous organization intentionally mentioned last working day as 2nd October

After getting relieving also I sent multiple mails for correction of date but didn't get any help

Please suggest what steps can be taken against my previous employer for this unethical behavior...( Udaipur, Rajasthan )","Dear Client,While you are pursuing a regular degree course, you cannot take up any full-time job even if it is merely for a one-month. It is also impermissible under a regular course nomenclature. In the present state of affairs, neither you could inform the matter to college authority that may affect your degree nor, suppress the fact in the SSC CGL application form because a Background verification(BGV) check is a process many organizations carry out to verify the information provided by the candidate during hiring. Verification of EPFO records through UAN is critical for conducting employee background checks because it allows employers to confirm that their employees are not using false or stolen identities to gain employment. In case of a negative background verification check an employer can even reject/terminate the employment of the candidate. So, in the given situation, considering your career prospects, you need to visit the office of the PSC who conducted the SSC exams to clarify the matter in detail to protect both of your academic and job career.","Under Indian employment law, particularly for government job applications, full disclosure of prior employment is crucial to avoid any allegations of suppression of information, which can lead to termination. The Staff Selection Commission (SSC) requires candidates to provide accurate information about their employment history. Given that you have a UAN linked to your Aadhaar for the BPO job, it is advisable to mention this one-month employment in your SSC CGL attestation form to ensure transparency.

You should include the job in your employment history section of the form. Ensure that all details are accurate and supported by your offer and relieving letters. This approach mitigates the risk of future complications related to non-disclosure.",19.7689,3.914,17.6851,20.1372,84.1461
7,"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",IDA_17B → EPF_12 → ESI_72 → ISM_12,IDA_17B → EPF_12 → ESI_72 → ISM_12 → wages → Industrial Disputes Act 1947 → Employees State Insurance Act 1948 → ISM,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I was sick with covid in the month of April. So I didnt work for April, May and June, but marked the attendance on the company portal. I recieved salary for all these months with salary slips. Now they mailed me not to mark attendance for july and saying they will adjust april, may and june salary when I start working again. Can they do that? Should I mark july's attendance? Can they take any legal action against me? I have marked the attendance on the portal, is anything wrong in that?( New Delhi, Delhi )",If not provided then make written application to them for it or take oc from them . After that approach to the court,"The primary legal issue here is the non-payment of dues and withholding of employment documents, which may violate the Payment of Wages Act, 1936. Under this Act, an employer is required to pay all wages owed and provide necessary employment documents upon termination. You can legally demand a full accounting of the payments made and request the issuance of your due documents.

To address this, send a formal legal notice to your employer demanding the outstanding dues and the issuance of your due documents, including the no-dues certificate. If the employer fails to comply, consider filing a complaint with the labor commissioner or pursuing legal action in a labor court for recovery of dues and necessary employment documents.",19.7689,3.914,17.6851,20.1372,84.1461
8,"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",CCS_ME → GST_69 → GST_66 → EC_RULES_66,CCS_ME → GST_69 → GST_66 → EC_RULES_66 → EC_RULES → GST → GST_122A → GST_76,"I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","Dear Sir/Ma'am,
I was worked in pvt ltd. company for 32 days (21 days in January and 11 days in February) when i asked for salary via mail (there is no HR team) they reply to me we will pay salary in 60 days if you r comfortable then ok other wise we will terminate you, so that i resigned from my job, now they are not pay salary.( Hyderabad, Telangana )","Joined TCS Mumbai on 4th June 2021 as consultant with joining bonus. Due to profile mismatch, overtime, verbal harassment and no response from higher management, i resigned and sent an email on 3-Aug (within probation), requesting them to relieve on 31-Aug. They were delaying and asked me to contact this and that person. Later, by 7-Aug, they blocked my laptop access. I could not work within notice period. In offer letter, appointment letter, internal policy - notice period after probation or confirmation only mentioned.
I returned company laptop. Got my salary, variable pay too.
Now after 1.5 years- they have sent me legal notice asking recovery of bonus and 2 months shortfall basic salary, within a week- else legal action. ( No calls or emails- they had my old defunct hotmail ID).meanwhile, i shifted to different city twice, but my phone number was same. Never ever they called me. They used very bad language- ""you had fraudulent intentions to dupe company etc.""

Please advise.( Pune, Maharashtra )","A.Dear Sir,The fake job offer fraud.They promise a job - but first you must pay. Please do not send money via Western Union.This page: The fake job fraud,  see also Internet fraud update , The money laundering fraud, Fraudsters haunting dating/matchmaking websites , The fake loan offer fraud andthe bank accounts they use.A painful duty - Exposing the British (and Irish) connection.  What happened to my money? All 419 fraud victims should read this.NB: Many victims seem to have been contacted by the scammers as a result of them putting up a CV at sites like Monster.com, Totaljobs.com and Careerbuilder.com. BUT - Monster.com have pointed out that the scammers often use the Monster name to add credibility to their fraudulent offers. The use of a Monster address in a fraud mail may simply indicate an attempt at deception. The criminals often use the titles of genuine companies in their scam mailings. Some will appear below, but of course these companies have no relationship with the scammers, they are just another category of victim.The criminals will also place fake job advertisements in local newspapers. If you become aware of these, please complain to the newspapers. You can let them know that they will probably not get paid for the space.Online Fake JobsMany websites offer online jobs but most of them are fake. Then they issue legal notices through their fake advocates. The online employers threaten the young unemployed and extract money. The victims need not worry about it. They may either ignore such legal notices, WhatsApp messages or approach the nearest police station and lodge complaints. The unemployed youth must be very careful while accepting such online jobs. They cannot do anything but the unemployed youth pay the online employers small amounts as penalties, fines for violations or non complying the rules and regulations of such employers.","This situation appears to involve extortion and threats, which are criminal offenses under the Indian Penal Code (IPC). Specifically, Section 383 of the IPC defines extortion as intentionally putting a person in fear of injury to induce them to deliver property or valuable security. The threats to upload personal details and arrest family members also constitute criminal intimidation under Section 503 of the IPC.

Legally, you are not obligated to pay any further amounts, and the threats made against you are unlawful. Immediately file a complaint with the local police station, providing all details and evidence of the threats and payments made. Additionally, consider consulting a lawyer to assist with the police complaint and any further legal actions.",19.7689,3.914,17.6851,20.1372,84.1461
9,"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",ICA_73 → ICA_74 → SRA_14 → SRA_16,ICA_73 → ICA_74 → SRA_14 → SRA_16 → employment_bond → Indian Contract Act 1872 → Specific Relief Act 1963 → wages,"I'm 23 &amp; worked as a Social media executive &amp; writer in a startup. My boss is making excuses and refusing to pay back the salary of around 4 months. It's been around 1 year and 10 months, even after several requests and pleas, he isn't paying the salary. Although it's not a big amount, it ranges between 45k-50k. But as a 23-year-old it's a big amount for me. I need my hard-earned money. Pls, advise what should I do? 

Note: It will be helpful if the suggestions are of not too much hassle and within my affordability.( Thane, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","Joined TCS Mumbai on 4th June 2021 as consultant with joining bonus. Due to profile mismatch, overtime, verbal harassment and no response from higher management, i resigned and sent an email on 3-Aug (within probation), requesting them to relieve on 31-Aug. They were delaying and asked me to contact this and that person. Later, by 7-Aug, they blocked my laptop access. I could not work within notice period. In offer letter, appointment letter, internal policy - notice period after probation or confirmation only mentioned.
I returned company laptop. Got my salary, variable pay too.
Now after 1.5 years- they have sent me legal notice asking recovery of bonus and 2 months shortfall basic salary, within a week- else legal action. ( No calls or emails- they had my old defunct hotmail ID).meanwhile, i shifted to different city twice, but my phone number was same. Never ever they called me. They used very bad language- ""you had fraudulent intentions to dupe company etc.""

Please advise.( Pune, Maharashtra )","Dear Sir,It all depends upon your willingness to deposit such amount otherwise there are chances of losing job.Please take PAID phone call with me through VIDHIKARYA and get more legal guidance.","The company's request to deposit and then transfer funds could potentially involve fraudulent activity, such as tax evasion or money laundering, which is illegal under Indian law. The Minimum Wages Act, 1948, sets the minimum wage criteria, but this situation seems unrelated to minimum wages and more about potential financial misconduct. Employees should not participate in transactions that they do not fully understand or that seem suspicious.

Legally, you should refuse to engage in this transaction and report the matter to a higher authority within the company or to legal authorities if necessary. Consider consulting with a labor lawyer to understand your rights and obligations under your employment contract and the law.",19.7689,3.914,17.6851,20.1372,84.1461
10,"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.",MBA_10 → FA_79 → SPE_4 → MTW_24,MBA_10 → FA_79 → SPE_4 → MTW_24 → leave → Factories Act 1948 → SPE → wages,"I resigned from the company and had cleared all the exit formalities also I have served the notice period, submitted all the assets and completed all the exit procedures. But during my Full and Final settlement company sent me recovery letter stating that I have to pay company dues for using the leaves benefit which the company has provided or else the legal action will be taken. Going through the company policy I found that there is no such line mentioned about leave recovery during the employee's exit. When I asked for clarification from the HR, there is no response from them regarding this. I have sent multiple reminders stating clarification but there is no response. What do I do in this case? How can I go legally in this matter since there is no reply from company's side?( Thane, Maharashtra )","Dear team
I resigned on 5th July  and my notice period was 3 months, I served till 24th September and as per 3 months notice period my last working day was 2nd October.... But since I had to join other organization on 27th September I sent multiple mails for relieving me just 5 days earlier from my last working day. 

When I didn't get any confirmation I myself sent declaration mail for my last working day as 24th September and also wrote that I am ready to compensate against my remaining notice period as per HR policy. I joined other organization on 27th September but my previous organization intentionally mentioned last working day as 2nd October

After getting relieving also I sent multiple mails for correction of date but didn't get any help

Please suggest what steps can be taken against my previous employer for this unethical behavior...( Udaipur, Rajasthan )","I'm working in American MNC ( Concentrix Daksh services India Pvt Ltd) situated in Gurugram, haryana, India. The nature of company is service provider to top clients including global tech giants. And I'm working for one of the world's biggest tech giant (Google TVC ), by providing services in specific project on behalf of above mentioned company (CNX ). So, I came to know that we are offered very less salary as compared to average salary in other regions in world and no where near the average salary of Google. And recently it's highlighted by whistleblower that Google illegally underpaid thousands of workers in many countries breaching pay parity laws. So I need advice in context of that if pay parity laws says in US that Google TVCs ( temporary, vendors and contractual workers ) are entitled to equal compensation. So is it possible to highlight same issue in India as well, and if yes, how to do it and how to get success in receiving the entitled compensation from Google or main company ( cnx), ( which ever is culprit ). I'm adding few links for references and better understanding. https://amp.theguardian.com/technology/2021/sep/10/google-underpaid-workers-illegal-pay-disparity-documents https://payparity.org/( North Delhi, Delhi )","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","The legal issues here involve workplace discrimination and potential breach of employment contract. Under the Equal Remuneration Act, 1976, and the Industrial Employment (Standing Orders) Act, 1946, discrimination and changes in work conditions without proper notification can be challenged. The user can file a complaint with the company's HR department or escalate the matter to the Labour Commissioner if internal resolution fails. It is also advisable to document all instances of discrimination and changes in work conditions for evidence. If the situation does not improve, consider seeking legal redress through the Labour Court for discrimination and breach of contract.",19.7689,3.914,17.6851,20.1372,84.1461
