sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )","Section 2(d) of the West Bengal Sales Tax Act, 1954 → Appellants Claimed Freight Charges Excluded from Sale Price","Section 2(d) of the West Bengal Sales Tax Act, 1954 → Appellants Claimed Freight Charges Excluded from Sale Price",Is 2nd marriage is legal in ST without divorce.,"I have given around amount of 13000/- rupees to the agent in Hyderabad for changing from yellow number board to white number board. It's been 6months, I have been following him on daily basis, he even not responding to my calls and not even opening his office from past 3months. All the original documents of my car are with the agent. How can I get my docs back, so that I can process accordingly( Hyderabad, Telangana )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","Dear Client,Section 67B of the Information Technology Act, 2000, which, after amendment in 2008, criminalizes the publishing, transmitting, or causing the transmission of sexually explicit content. Once a violation of Sec.67B of I T Act, is reported to the Cyber Crime Cell, the matter is suo motto investigated by the authorities and the person may be called on for interrogation to access the source of such offensive posts on social networks and to find out the veracity of the facts from the related intermediaries or service providers. On investigation, if they find the person is in any way violating the provisions of the Act, they can be booked for committing the crime. Further, Section 66E of the Information Technology Act, 2000 deals with the transmission of photos of any personâs private area without his or her consent on social media, which is a criminal offence and the penalty is either three years in prison or a fine of not more than two lakh rupees, or both. On investigation, if the police find that the person is in any way violating the provisions of the Act, he can be booked for committing the crime under Section 66E of the Information Technology Act, 2000. Any person who feels their reputation has been damaged by defamatory statements or acts can sue for defamation under Section 356 of BNS, which replaced Section 499 of IPC. If a person is found guilty of criminal defamation, they can be sentenced to imprisonment for up to two years, a fine, or both under Section 500 of the IPC, replaced by Section 356(2) of the BNS. If required, consult with an Advocate to navigate the issues in the right way.","Creating and circulating fake pornographic material to defame an individual is a criminal offense under Indian law. Under Section 67A of the Information Technology Act, 2000, publishing or transmitting obscene material in electronic form is punishable with imprisonment of up to five years and a fine. Additionally, Section 500 of the Indian Penal Code addresses defamation, which can lead to imprisonment for up to two years, a fine, or both.

The victim can file a complaint with the local police station or cybercrime cell, providing evidence such as screenshots or links to the circulated material. It is also advisable to seek a restraining order from the court to prevent further dissemination of the material.",5.2456,74.2602,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
2,"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )",Death of Two Individuals → High Court Confirmed Conviction for Offences,Death of Two Individuals → High Court Confirmed Conviction for Offences → Prosecution Case Partially Rejected,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,my cousin lockd my house forcely after breaking the lock of of my house and torturing me then waht should i do ?,"Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.","The primary legal issue is unlawful confinement and potential assault. Under the Indian Penal Code (IPC), Sections 340 and 342 address wrongful confinement, which may apply if you were detained against your will without legal justification. Additionally, Section 354 could be relevant if the forced bathing involved any form of sexual harassment or assault.

You can file a complaint with the local police station in Kolkata, citing these sections of the IPC. Furthermore, consider filing a writ petition for habeas corpus in the Calcutta High Court to challenge the legality of your confinement and seek immediate release if still detained. Consulting with a local criminal lawyer who can assist with drafting and filing these complaints is advisable.",1.2985,38.8487,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
3,"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )",Cross Case Filed by Respondent,Cross Case Filed by Respondent,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,my cousin lockd my house forcely after breaking the lock of of my house and torturing me then waht should i do ?,"Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","In your situation, sharing private photos without consent could violate privacy laws and potentially lead to criminal charges under the Indian Penal Code, particularly Section 354C (voyeurism) and Section 66E of the Information Technology Act, which prohibits the violation of privacy. Therefore, do not share these photos with the police or anyone else without legal advice. 

To address the false case against you, focus on the call recordings and any other admissible evidence that supports your claim of being falsely implicated. File a complaint with the police or consult with a lawyer to potentially initiate a defamation case under Section 499 of the IPC if the allegations have damaged your reputation. If feeling suicidal, seek immediate help from mental health professionals or contact a helpline.",0.5478,40.5573,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
4,"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )",Tenancy Created by Rent Deed → Appellants Fell into Arrears of Rent,Tenancy Created by Rent Deed → Appellants Fell into Arrears of Rent,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,"Girl have another boy friend her boyfriend told to girl put fir on me after fir married in 2 months they both . I have proof 3 years relationship till fir registered month( Hyderabad, Telangana )","Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.","Under the Noise Pollution (Regulation and Control) Rules, 2000, noise pollution is regulated, and any noise exceeding the permissible limits is considered a public nuisance. In Jhajjar, Haryana, you can approach the local police station to file a complaint against the vegetable vendors causing noise pollution through loudspeakers. Additionally, you can contact the Haryana State Pollution Control Board to report the violation and request enforcement of noise regulations. Ensure to document the instances of noise disturbance to strengthen your complaint.",3.3419,73.4891,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
5,"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )",Section 306 IPC → High Court Convicted Under Section 306 IPC,Section 306 IPC → High Court Convicted Under Section 306 IPC → Appeal Challenged High Court Judgment → High Court Judgment Upheld → Evidence of Witnesses Considered → High Court Set Aside Conviction Under Section 302 IPC,"I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","One superior officer filed a private petition under crpc 200 on some association officer bearers. Allegations are that they issued some pamphlets abusing him and damaging his fame n name which were sent to several offices. 12 yrs passed.  But complainant is still not examined.  Evidence not taken yet. He marked some xerox copy of pamphlets to court. No where found office seal file number  etc. on the paper.  He was suspended on the last date of retirement  by a G. O. since various allegations pending on him.   He included me as one of the respondent. I want to remove my name from the private complaint. Wt is the procedure sir( Salem, Tamil Nadu )","Arnab goswami was arrested and got bail from supreme court because his name was in suicide note.name in suicide note is very serious and case will easily run for many years although we believe your words and you can be saved.Hope this clarifies,Advocate Ankur Goel","Under Section 306 of the Indian Penal Code (IPC), abetment of suicide is a serious charge, requiring proof of intentional instigation or aiding in the act of suicide. The mere mention of your name in a suicide note does not automatically establish guilt. You can challenge the allegations by filing a petition under Section 482 of the Criminal Procedure Code (CrPC) in the Rajasthan High Court to quash the FIR if there is no prima facie evidence of abetment. Additionally, gather any evidence or witnesses that can support your claim of having minimal interaction with the deceased. Engage a criminal defense lawyer to assist in drafting and filing the petition effectively.",1.1258,51.8785,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
6,"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",Counterclaims Settled in Minutes of Meeting → Claim for Compensation Due to Delay,Counterclaims Settled in Minutes of Meeting → Claim for Compensation Due to Delay,"I faced a financial fraud from my supplier. But the police was not ready to file an FIR. After the court order, an FIR was made under section 409, 420 on 11dec 2017. But till inspite of 7 hearings the police has not attended the court with the report even after the show cause notice.

What do I do to get justice? Will court never be able to force the police to solve this. Is there anyway to force police to work on the FIR.( Mumbai suburban, Maharashtra )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )",There is no mense rea that is guilt mind...it is no criminal act.,"Forwarding a fake message on WhatsApp, even if deleted shortly after, could potentially fall under the purview of Section 66D of the Information Technology Act, 2000, which penalizes cheating by personation using computer resources. However, since the message was deleted promptly and there was no intent to deceive or harm, it is unlikely to result in a criminal case. 

To mitigate any potential legal repercussions, ensure that no harm was caused by the message and avoid forwarding unverified information in the future. If approached by authorities, provide a clear account of the incident and demonstrate the lack of intent to mislead.",0.9484,26.039,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
7,"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )",Respondent Filed Civil Suit for Appointment → First Suit Decreed for Consideration of Appointment,Respondent Filed Civil Suit for Appointment → First Suit Decreed for Consideration of Appointment → State Filed Appeal Against Decree → Second Appeal Dismissed,"Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )",Is 2nd marriage is legal in ST without divorce.,"Dear Sir,Such and criminal case can be quashed by HC.","The legal issue here involves the improper transfer and sale of property without the consent of all legal heirs, potentially constituting criminal misappropriation under Section 403 of the Indian Penal Code. However, filing a criminal case against the new chairman and secretary of the society who were unaware of the transaction may not be sustainable, as criminal liability typically requires knowledge or intent.

The third brother can pursue a civil suit to challenge the property transfer and sale, seeking a declaration of his ownership rights and possibly an injunction against further transactions. Legally, he cannot hold the new chairman and secretary criminally liable without evidence of their involvement or knowledge of the fraudulent act.

Next steps include gathering evidence of the transaction and the lack of consent, and consulting with a lawyer to strengthen the civil suit. Additionally, consider filing a complaint with the Registrar of Societies if there were procedural violations in the property transfer.",0.5774,35.81,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
8,"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",Section 9(3) of the Age Qualification Rules → Appellants Entitled to Apply for Regular Recruitment,Section 9(3) of the Age Qualification Rules → Appellants Entitled to Apply for Regular Recruitment,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,my cousin lockd my house forcely after breaking the lock of of my house and torturing me then waht should i do ?,"Dear Sir,You may lodge complaint with higher police officers or directly approach Magistrate I filing private complaint under Section 200 Cr.P.C. On registration of private complaint you are sworn statement will be recorded and documents produced by you will be taken on record and then summons will be issued to Accused persons.Rate me Five Star*","Under Indian law, involuntary commitment to a mental health facility requires adherence to the Mental Healthcare Act, 2017, which mandates that any admission must be justified by a mental health professional and based on specific criteria. If you believe your rights under this Act have been violated, you may file a complaint with the State Mental Health Authority in Karnataka. Legally, you cannot be detained without a valid reason and due process. You should immediately contact a mental health advocate or legal aid service to review your case and ensure your rights are protected. Additionally, if you suspect any criminal activity such as poisoning, report it to the local police with evidence to initiate an investigation.",1.018,34.0103,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
9,"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )",Altercation Preceded the Incident → Murder Allegation Involved Multiple Accused,Altercation Preceded the Incident → Murder Allegation Involved Multiple Accused → Common Intention Not Established,"I faced a financial fraud from my supplier. But the police was not ready to file an FIR. After the court order, an FIR was made under section 409, 420 on 11dec 2017. But till inspite of 7 hearings the police has not attended the court with the report even after the show cause notice.

What do I do to get justice? Will court never be able to force the police to solve this. Is there anyway to force police to work on the FIR.( Mumbai suburban, Maharashtra )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )",Is 2nd marriage is legal in ST without divorce.,"Dear Sir,You just appear before the Court and tell  the truth and nothing will happen, If you are not in service.","you are legally obligated to testify truthfully under oath. Since you did not witness the incident, you should inform the court of this fact when you are called to testify. Under Section 161 of the Code of Criminal Procedure, statements made to the police during investigation are not evidence, so your testimony in court is crucial.

You cannot refuse to attend court as a witness, but you can clarify your lack of firsthand knowledge. It is advisable to consult with the prosecutor or a legal advisor before your court appearance to ensure that your statement is accurately recorded.",1.2207,60.4431,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
10,"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )",Issue of Suit Filed Within Limitation Period Raised → Preliminary Issue on Maintainability of Suit Raised,Issue of Suit Filed Within Limitation Period Raised → Preliminary Issue on Maintainability of Suit Raised → Previous Suit Withdrawn Without Liberty to File Again → Section 12 of the Code of Civil Procedure,"I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","I faced a financial fraud from my supplier. But the police was not ready to file an FIR. After the court order, an FIR was made under section 409, 420 on 11dec 2017. But till inspite of 7 hearings the police has not attended the court with the report even after the show cause notice.

What do I do to get justice? Will court never be able to force the police to solve this. Is there anyway to force police to work on the FIR.( Mumbai suburban, Maharashtra )","Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","An NBW (Non-Bailable Warrant) is typically issued immediately after the court's judgment if the court deems it necessary for ensuring the presence of the accused. Under Section 70 of the Code of Criminal Procedure, 1973, the warrant must be executed without unnecessary delay. Legally, the accused cannot ignore the warrant and must comply with it. The accused can file an application to the court for the cancellation of the NBW, explaining any valid reasons for non-appearance. Consulting with a lawyer to file the application promptly is advisable to avoid arrest.",1.8992,76.4852,20.3587,4.2238,17.7728,21.1621,3.7389,23.6298,5.2602,1.8013,1.0,24.6753,53.2368,53.0614,83.9834
