sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )",PC::Appointment on Contract Basis → PC::Employee Engaged on Contract Basis → PC::Employees Engaged on Contract Basis → PC::Appellant Appointed on Contract Basis,"PC::Appointment on Contract Basis → PC::Employee Engaged on Contract Basis → PC::Employees Engaged on Contract Basis → PC::Appellant Appointed on Contract Basis → PC::Vacancies Available for Multipurpose Health Assistant → PC::Section 10(1) of the Contract Labour Regulation and Abolition Act, 1970 → PC::Public Interest Consideration in Reinstatement → PC::Services Terminated by Appellant","Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","Dear Client,since you have an experience of more that 10 years, you can go for regularization in the court. contractual employees need 10 years of experience to be regularised.","Under the Contract Labour (Regulation and Abolition) Act, 1970, regularization of employment is generally not an automatic right for contract employees. However, the Supreme Court in cases like ""Secretary, State of Karnataka v. Umadevi"" (2006) has held that regularization can be considered if the employment is not a sham and the employee has been working in a sanctioned post for a long duration. In your case, having worked for more than 10 years with benefits similar to regular employees strengthens your argument for regularization. 

You can file a writ petition in the Delhi High Court seeking regularization based on your long tenure and the nature of your employment. Gather all relevant documentation, such as appointment letters, pay slips, and any correspondence regarding your employment status, to support your case.",1.1002,60.8585,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
2,"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )",PC::Interview Process for Patwaris Conducted → PC::Andhra Pradesh High Court Rules → PC::Andhra Pradesh Ministerial Service Rules → PC::Andhra Pradesh Municipalities Act,"PC::Interview Process for Patwaris Conducted → PC::Andhra Pradesh High Court Rules → PC::Andhra Pradesh Ministerial Service Rules → PC::Andhra Pradesh Municipalities Act → PC::Grievance Raised by Unsuccessful Candidates → PC::Ashok Yadav v. State of Haryana, 1985 Supp. 1 SCR 657 → PC::Classification Based on Retirement Age Found Valid → PC::Article 16 of the Constitution of India","Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","Dear client,as writs are filed in violation of fundamental rights, you will have to prove the breach. You can do this by showing it is against article 14, which is right to equality under the Indian Constitution.Thank you, Have a nice day.","Article 16 of the Constitution of India guarantees equality of opportunity in matters of public employment, prohibiting discrimination based on religion, race, caste, sex, descent, place of birth, residence, or any of them. If there is evidence of political interference in the selection process for the position of an Anganwadi worker, a writ petition can be filed in the Andhra Pradesh High Court challenging the selection process as arbitrary and violative of Article 16. The case of Ashok Yadav v. State of Haryana, 1985, supports the principle that any classification in public employment must be reasonable and not arbitrary.

To proceed, gather evidence of the alleged political interference and consult with a legal professional to draft a writ petition. Ensure that the petition clearly outlines how the selection process violated constitutional provisions and any applicable state rules.",0.8088,60.5703,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
3,"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )",HKG::FA_79 → HKG::MBA_5,HKG::FA_79 → HKG::MBA_5 → HKG::maternity → HKG::Factories Act 1948 → HKG::Maternity Benefit Act 1961 → HKG::PROC_MATERNITY_CLAIM,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","Dear Client,In India, the Maternity Benefit Act, 1961, governs maternity benefits for women employees. According to the Act, you are entitled to maternity leave if you have worked for your employer for at least 80 days in the 12 months immediately preceding your expected date of delivery. The Act does not specify a requirement for providing notice three months in advance. It's more about the duration of your employment before the expected delivery date. Go through your employment contract and your company's HR policies to understand the terms and conditions regarding maternity leave.","Under the Maternity Benefit Act, 1961, a woman is entitled to maternity leave and benefits if she has worked for at least 80 days in the 12 months preceding the expected delivery date. The Act does not mandate a three-month notice period for applying for maternity leave, only that notice be given as soon as practicable. The company's refusal to pay based on the notice period is not supported by the Act.

The user should formally request the maternity benefits in writing, citing the Maternity Benefit Act, 1961, and provide proof of employment duration and leave application. If the company still refuses, the user can file a complaint with the local labor commissioner or approach the appropriate labor court for redress.",20.7849,77.3052,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
4,"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )",HKG::ESI_2 → HKG::ESI_40 → HKG::ESI_46 → HKG::ESI_51,HKG::ESI_2 → HKG::ESI_40 → HKG::ESI_46 → HKG::ESI_51 → HKG::esi → HKG::PROC_ESI_CLAIM → HKG::compensation → HKG::Employees State Insurance Act 1948,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","A.Dear Sir,Yes, it depends upon the background of the case under workman compensation act.","Under the Employees' State Insurance Act, 1948, if a worker dies due to an employment injury, which includes a stroke occurring during work, the dependents may be entitled to compensation. Section 51 of the Act provides for benefits in cases of employment injury leading to death. The family can file a claim for dependents' benefits through the Employees' State Insurance Corporation (ESIC).

The family should immediately notify the employer about the incident and ensure that the employer reports it to the ESIC. Collect all necessary medical records and documentation related to the incident and submit a claim to the ESIC for compensation.",0.9237,39.9449,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
5,"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )",HKG::IDA_25F → HKG::IDA_25H → HKG::IDA_25N → HKG::IDA_2A,HKG::IDA_25F → HKG::IDA_25H → HKG::IDA_25N → HKG::IDA_2A → HKG::Industrial Disputes Act 1947 → HKG::wrongful_termination → HKG::PROC_WRONGFUL_TERMINATION → HKG::retrenchment,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","Dear Client,Termination without notice other than disciplinary action amounts to illegal termination and is defined as an industrial dispute under Section 2A of the Industrial Disputes Act, 1947 which also violated the mandatory provision of Sec.25F and 25N of the Act that prescribed certain conditions to comply with by the employer before termination/retrenchment of a workman/employee from the employment. A company can neither withhold the original certificates of an employee nor demand money for returning the same which is amounted to an unfair labour practice as defined under Sec.2(ra) of the Industrial Dispute Act, 1947. In that scenario, the terminated employee/workman can raise an industrial dispute directly before the Industrial Tribunal/Labor Court concerned for adjudication within three years from the date of termination/retrenchment. Regardless of reasons, on cessation of employment, an employee is entitled to an experience certificate, relieving letter and F & F settlement dues from the employer within 30 days of the last working days (LWD) and denial of which amounted to unfair labour practices. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. serving a legal notice to the Company you can raise an Industrial dispute directly before the State Govt. Industrial Tribunal under Sec.2A of the I D Act. and additionally, you have to file an application u/s.33C(2) of the I D Act before the concerned State Labour Court claiming dues from your employer receivable to an employee on illegal termination/retrenchment. Further, if the establishment comes under the purview of the State-specific Shops and Establishment Act, you can escalate your grievance before the Chief Inspector or Adl. Chief Inspector appointed under the Act for redressal of your grievance. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking desired relief in the matter. Reach out to an Advocate experienced in service matters for guidance and steps. Feel free to contact our legal team to navigate the issue in the right way.","The primary legal issue is wrongful termination under the Industrial Disputes Act, 1947, which applies to employees terminated without just cause. Under Section 25F of the Act, an employer must provide a valid reason and notice or compensation for termination. If these conditions were not met, you may have grounds to challenge the termination.

Legally, you can file a complaint with the local labor commissioner or approach the labor court in Patna to seek reinstatement or compensation. Gather all employment records, termination notice, and any communication with the employer to support your case.",0.5432,60.4287,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
6,"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )",PC::Suppression of Information in Attestation Form → HKG::relieving_letter → PC::Court Found Salary Accrued Month by Month → PC::Claim for Absorption in Regular Cadre,"PC::Suppression of Information in Attestation Form → HKG::relieving_letter → PC::Court Found Salary Accrued Month by Month → PC::Claim for Absorption in Regular Cadre → PC::Previous Service Considered for Pension Benefits → PC::Criminal Case Pending Against Respondent → PC::Andhra Pradesh State Higher Judicial Service Special Rules for Ad Hoc Appointments, 2001 → PC::Claim for Salary Beyond Limitation Period Barred","Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","Dear Client,While you are pursuing a regular degree course, you cannot take up any full-time job even if it is merely for a one-month. It is also impermissible under a regular course nomenclature. In the present state of affairs, neither you could inform the matter to college authority that may affect your degree nor, suppress the fact in the SSC CGL application form because a Background verification(BGV) check is a process many organizations carry out to verify the information provided by the candidate during hiring. Verification of EPFO records through UAN is critical for conducting employee background checks because it allows employers to confirm that their employees are not using false or stolen identities to gain employment. In case of a negative background verification check an employer can even reject/terminate the employment of the candidate. So, in the given situation, considering your career prospects, you need to visit the office of the PSC who conducted the SSC exams to clarify the matter in detail to protect both of your academic and job career.","Under the Central Civil Services (Conduct) Rules, 1964, suppression of information in an attestation form can lead to termination of employment if discovered later. It is advisable to disclose all previous employment, even if it was for a short duration, to avoid any future issues related to suppression of information. Since you have a UAN linked to your Aadhaar, this employment can be easily verified by authorities.

To proceed, include this employment in your SSC CGL attestation form under previous employment. Ensure all details are accurate and consistent with your records to maintain transparency and avoid complications.",1.9104,56.5832,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
7,"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",HKG::ICA_73,HKG::ICA_73 → HKG::wages → HKG::Indian Contract Act 1872 → HKG::employment_bond → HKG::Q_864,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )",Employment Lawsfor Multinational Companies in Indiahttps://singhania.in/wp-content/uploads/2019/08/Employment-Law-Primer-For-Multinational-Companies-In-India-2019.pdf,"The primary legal issue is the non-receipt of a full and final settlement and necessary employment documents following termination, which may be addressed under the Indian Contract Act, 1872, and relevant labor laws. The company is obligated to provide a full and final settlement, including any outstanding dues and necessary documentation, as per the employment contract and applicable labor laws. If the company fails to comply, you may file a complaint with the Labor Commissioner in Raipur or initiate legal proceedings for breach of contract.

To resolve this, first, send a formal written request to the company demanding the settlement and documents. If they do not respond or comply, proceed to file a complaint with the local labor authorities or consider legal action in a civil court for recovery of dues and damages.",0.3437,43.445,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
8,"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",PC::Dispute Over Will Validity → PC::Subletting to Family Members Disputed → PC::Data Entry Operators Created Separate Cadre → PC::Family Members Involved in Company Management,PC::Dispute Over Will Validity → PC::Subletting to Family Members Disputed → PC::Data Entry Operators Created Separate Cadre → PC::Family Members Involved in Company Management → PC::Promotion Opportunities Differed Between Cadres → PC::Judgment in Kailasbhai Shukaram Tiwari Vs. Jostna Laxmidas Pujara Anr. → PC::No Written Consent for Subletting Obtained → PC::Eviction Based on Subletting Allegation,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )",Dear ClientBased on your insufficient information nothing can be opined to your query at the moment. So you may revert back to us with the following information> Nature of Establishment you work and nature of data entry job your performed in the said establishment that liable you for payment of fine on default.> The contents of your offer letter in brief and date of your joining> Reason behind the immoral and unethical threat affecting your career and harassment of your family which is termed both as Unfair Labour Practice and Unfair Trade PracticeHope the matter stands clarified.,"The situation described appears to be a case of extortion and harassment, which is illegal under Section 384 of the Indian Penal Code (IPC), dealing with extortion. Demanding money under threat of harm to reputation or family is a criminal offense. Legally, the user is not obligated to pay any further amounts and should not comply with illegal demands.

The user should immediately report the incident to the local police station and file a First Information Report (FIR) detailing the threats and demands made. Additionally, preserve all communications and evidence of payments made, as these will be crucial in any investigation. Consider contacting a lawyer for further assistance in handling the situation and ensuring protection against further harassment.",1.2689,36.2142,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
9,"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",HKG::ICA_73 → HKG::ICA_74 → HKG::SRA_14 → HKG::SRA_16,HKG::ICA_73 → HKG::ICA_74 → HKG::SRA_14 → HKG::SRA_16 → HKG::employment_bond → HKG::wages → HKG::Indian Contract Act 1872 → HKG::PROC_EMPLOYMENT_BOND,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )",A. If your employer is depositing money then tomorrow or later if the tax authorities check your bank account then they will charge with tax evasion as it will be considered as your income.B. Suppose the company is raided by tax authorities for tax evasion then you will also be considered as a partner in crime for allowing your account to be used for it.Be careful,"The company's request for employees to transfer deposited funds to another account raises potential legal issues under the Indian Contract Act, 1872, particularly concerning coercion and undue influence (Sections 15 and 16). Additionally, this practice could be a violation of tax laws if it involves misrepresentation of financial transactions. Employees should not participate in any transaction that appears to be a sham or intended to manipulate tax obligations.

Legally, employees are entitled to minimum wages as per the Maharashtra Minimum Wages Act, which should be adhered to by the employer. The employment bond's enforceability depends on whether it is reasonable and not a penalty, as per Sections 73 and 74 of the Indian Contract Act, 1872. Employees should request a written explanation from the company regarding the purpose and legality of these transactions and consult with a labor law expert to ensure their rights are protected.",1.0106,43.6952,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
10,"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.",HKG::FA_79 → HKG::ICA_73,HKG::FA_79 → HKG::ICA_73 → HKG::employment_bond → HKG::Factories Act 1948 → HKG::wages → HKG::Indian Contract Act 1872,"Namaste sir ,
I durgaprasad working as a grade 4 permanent govt employee in state government of andhrapradesh which is a non gazetted ... Sir iam b.tech graduate with good percentage and I cracked gate 2023 with 457 score ...I have a lot of chance in NIT college to pursue Mtech in my engineering stream ....
For that I asked my head of the department to permit to study.. and he said as per the cca and subordinate rules I have not permitted to study because  iam non gazetted post .. and also requested them to sanction loss of pay of my service for about 2year..for that they told me ,, u have no such option except the government allows to u to study with special G.O ,, that is a huge process and may not be my favour ...and now iam thinking to study my mtech and success in my career I would abscond from service without intimating them ...sir is it a good move?? Or else you please give suggestions how to study my mtech without losing my current govt job with loss of my pay ... Pls provide the suggestions..  is my contact number ..sir iam from poor family with big dreams to study and my job is very lower cadre even I have chances to go mtech my family problems strucking me  I don't want to loose my hard earned job for m tech and also I don't want to loose my hard earned prestigious Gate rank for IIT and NIts  for my low cadre job .I need both for safety purposes
Kindly provide best suggestion which is even favourable infront of courts also I mean as per legally correct one ..
Thank you sir and pls do needful( Srikakulam, Andhra Pradesh )","I study in an engineering college and now I am in my second year going to start 3rd year in september my college has not given any holidays after semester end examinations and starts the new semester right the next day. This has happened for 4 continuous semesters now . In the academic calendar 1 month holiday is given but now they are going back on their words . Many of my classmates are depressed especially people from hostels who have not gone home.and I don't know what action to take ,pls tell me( Mysore, Karnataka )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","The primary legal issue here involves workplace discrimination and potential breach of contract. Under the Equal Remuneration Act, 1976, discrimination based on gender in terms of employment conditions and pay is prohibited. Additionally, the Indian Contract Act, 1872, requires that any changes to the terms of employment, such as job role or salary, must be mutually agreed upon and documented.

Legally, you can file a complaint with your company's HR department citing discrimination and breach of contract. If unresolved, consider filing a complaint with the local labor commissioner or approaching the Equal Opportunity Commission. Document all instances of discrimination and changes in job role or workload to support your claims.",1.4912,39.638,19.8636,3.7634,17.0599,19.112,2.3992,27.1794,5.5395,1.634,0.6554,21.1501,51.7118,52.8759,83.8309
