question,answer
"Hi sir, I am working in an organisation from past 7months in night shift. Recently I am diagnosed with a health issue, wherein the doctor advised me avoid night shift and change to day shift. I request the HR with the relevant medical advice note. But the HR denied and ask me to resign the job. What action can I take against them for forcibly asking me to resign even though I'm medically fit to work.( Bangalore, Karnataka )","Dear Sir,Dear SirPlease approach the following authority or similar authority in a stateThe Office Commissioner of LabourKarmika Bhavan, Dairy Circle,Bannerghatta Road, Bangalore-29.080-29753078[emailÂ protected]Addresses of Labor Inspectors in Bengaluru in different locationshttps://karmikaspandana.karnataka.gov.in/page/Contact+Us/Labour+Inspector/enhttps://clc.gov.in/clc/regional-offices/bangalore#:~:text=1.&text=Shram%20Sadan%2C%203rd%20Main%2C%203rd,Yeswanthpur%2C%20Bangalore%2D560022..=======================================================================Section 12 in The Industrial Disputes Act, 194712. Duties of conciliation officers.- (relevant section 12(2) of ID Act)(1) Where any industrial dispute exists or is apprehended, the conciliation officer may, or where the dispute relates to a public utility service and a notice under section 22 has been given, shall hold conciliation proceedings in the prescribed manner.(2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and the right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute.(3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings the conciliationofficer shall send a report thereof to the appropriate Government 1 or an officer authorised in this behalf by the appropriate Government] together with a memorandum of the settlement signed by the parties to the dispute.(4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable after the close of the investigation, send to the appropriate Government a full report setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at.(5) If, on a consideration of the report referred to in sub- section (4), the appropriate Government is satisfied that there is a case for reference to a Board, 2 Labour Court, Tribunal or National Tribunal,] it may make such reference. Where the appropriate Government does not make such a reference it shall record and communicate to the parties concerned its reasons therefor.(6) A report under this section shall be submitted within fourteen days of the commencement of the conciliation proceedings or within such shorter period as may be fixed by the appropriate Government: 3 Provided that, 4 subject to the approval of the conciliation officer,] the time for the submission of the report may be extended by such period as may be agreed upon in writing by all the parties to the dispute.]*****"
"Hi sir, I am working in an organisation from past 7months in night shift. Recently I am diagnosed with a health issue, wherein the doctor advised me avoid night shift and change to day shift. I request the HR with the relevant medical advice note. But the HR denied and ask me to resign the job. What action can I take against them for forcibly asking me to resign even though I'm medically fit to work.( Bangalore, Karnataka )","Dear Client,Regardless of the sector or character of establishments, either public or private, the recruitment, transfer, promotion, placement, or rationalisation of manpower is processed following its standing HR policy, and also a prerogative of the establishment. In the absence of a vacancy or the required expertise, even if you are advised by the doctor to avoid night shift, considering your health issue, management cannot be obliged/compelled to place you in the day shift. Only in case of deviation/discrimination/mala fide in the HR policy or rules, if it appears on the face of the record, the Tribunal/Labour Court or High Court may entertain an appeal/petition challenging the well-established policy of the organization. Otherwise, a petition may be rejected at the stage of admission for lack of merit. Hence, it is suggested to consult with an Advocate experienced in service matters for tailored advice to navigate the issue in the right way."
"From Last 6 months I was in sabbatical leave and after sabbatical leave there were no suitable roles and HR insisted me to resign according to leave policies and my leave end date was 15 th April and I have sent resignation on 15th may and one month it has been marked as loss of pay and now company has asking me to make final settlement of 91000( Bangalore, Karnataka )","Dear Client,In the query, you express your current situation post-sabbatical leave, but did not share the nature of legal remedies that suit you most in the given situation. However, be informed that Sabbatical leave is granted by employers to help employees take extended breaks from their routine work. This leave allows employees to pursue professional courses to enhance their skills or address personal needs. A sabbatical leave can range from three months to a year. The duration of a sabbatical leave is usually decided by the employer, and it can vary depending on the company's policies and the employee's role. Sabbatical leave may be paid, partially paid, or unpaid, depending on the employer's policy and the specific circumstances. You can even resign while on sabbatical unless your contract stipulates otherwise. While your sabbatical leave ends on 15th April, you tender your resignation on 15th May, which puts you to face a loss of one month's pay. So, if the offer of the Company for the settlement of F & F dues post resignation appears to you unreasonable or unjustified, you may escalate your grievance before the HR Head of the Company, failing which, serving a legal notice to the Company, you can make a complaint to the concerned Labour Commissioner or the Chief Inspector, Shops and Establishment seeking their intervention to resolve the grievance, provided you are a workman as defined under Section 2(s) of the Industrial Dispute Act, 1947. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking appropriate relief in the matter. If you are an employee of the IT Company then be informed that to restrict IT Companies from exploiting their employees by playing double standards, the Division Bench of the Karnataka High Court in the case of Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR unambiguously held that the IT sector employees considered to be ""workmen"" under Section 2(s) of the Industrial Dispute Act, 1947. If required, consult with an Advocate experienced in service matters for tailored advice and steps to resolve the issue in the right way."
"We hired two employees who signed a 2-year bond agreement and an offer letter before joining. Both employees absconded within a few months, violating the bond and leaving without notice. We have their signed agreements and records of communication. We want to understand how to legally enforce the bond, recover any losses incurred by the company, and send a formal legal notice to these employees.( Chennai, Tamil Nadu )","Dear Client,A service/employment bond itself does not create any relationship between an employer and an employee unless and until it is followed by the essential steps required to make the Bond valid and enforceable under the law. The validity of Employment bonds can be challenged based on Section 27 of the Indian Contract Act,1872, which prohibits any agreement in restraint of trade and profession. The law states that an agreement (employment bond) will be illegal only if it restrains someone from exercising a lawful profession/ trade/ business. As per the mandate of Section 27 of the Indian Contract Act,1872, any terms and conditions of an agreement that directly or indirectly compel the employee to serve the employer or put a restriction on them joining the competitor or other employer are not valid. Under the Indian Contract Act, an employment bond is considered void under the following circumstances: (1) Agreements in which consideration and objects are unlawful in part (Section 24); (2) Agreements without consideration unless it is in writing and registered, or is a promise to compensate for something done (Section 25); (3) Agreements in restraint of marriage (Section 26); (4) Agreement in restraint of trade or profession(Section 27). However, apart from the legal validity and enforceability of a service bond, your situation is admittedly different to some extent. Once a person, after accepting an offer/appointment letter, resumes his assigned job, and leaves without notice, is considered to have committed misconduct and attracts disciplinary action following the service rules or standing orders of the establishment. The company has the right to take disciplinary action if the employee absents themselves from the workplace without notice or serving a notice period following the terms of employment, which may result in termination for proven misconduct. Even for breach of the terms of the contract employer can file a civil suit against the absconded employee for damages in case such unauthorised absence incurs financial loss to the employer. So, in the given scenario, serving a legal notice to the absconded employees, you may initiate disciplinary action against them following the principle of natural justice to terminate them for proven misconduct, and can also file a civil suit against them claiming damages."
"I am writing to enquire about my recent termination due to pregnancy. Conpany is claiming that they have made up their mind for me to do a graceful exit by me resigning from the company but the instances that took place after i sent the pregnancy mail to my director and report manager and after half an hour i got the call from HR to either do graceful exit or they will terminate me. There were no formal communication that happened with me that states about my performace or etc but they claim that they are doing this because of my performance but before that I didnât get any mail or any warning from the HR. They didnât give me any notice or prior information about it. I asked them to provide me atleast maternity benifit or to give me one day to think but they denied and hence they terminated me. I am stuck in my head if i should file a case against them or not( Indore, Madhya Pradesh )","Dear Client,It's illegal for employers to discriminate against a woman employee based on her employment status or pregnancy status. An employer cannot discriminate against a woman employee based on her pregnancy status during her pregnancy or post-pregnancy, affecting her maternity rights. Section 12 of the Act explicitly prohibits employers from dismissing or terminating a womanâs employment on account of her pregnancy or absence due to maternity leave. The Maternity Benefit Act 1961 states that a woman employee can apply for Maternity leave regardless of her nature or category of employment, i.e, probation, intern, casual, contractual, or permanent if she has worked with the employer for 80 days in the last 12 months immediately preceding the date of her expected delivery. The duration of maternity leave for both first and second-time mothers is 6 months or 26 weeks. This leave can be availed either before or within 6 months from the date of delivery of the child. Once a woman employee applies for maternity leave, the Company is duty-bound to approve her leave and disburse to her all the monetary benefits available under the Act. Once you are eligible for maternity leave, you are entitled to avail of 26 weeks of maternity leave with full pay and return to your job, and the employer can not fire you from employment because of absence from work owing to pregnancy. Employers cannot even alter the terms of employment or service conditions to a womanâs disadvantage because she availed of maternity leave. However, in cases of proven gross misconduct, employers may deny maternity benefits, but the denial must be communicated in writing to the woman employee. Section 27 of the Act ensures that maternity rights are protected during this period, preventing misuse of contract expiry as a reason to deny maternity benefits. Employers who unlawfully terminate or deny maternity benefits to women employees may face severe penalties under Sections 21 and 22 of the Act, including fines up to Rs 5000 and imprisonment up to 5 years or both, once and aggrieved employee bring the matter to the notice of the competent authority i.e, the concerned office of the Labour Commissioner/ Inspector, Shops & Establishment, State Health & Family Welfare Deptt concerned by filing a complaint against the employer for arbitrary and illegal action affecting your maternity rights that amounted to unfair labour practice. Apart from the provisions of the Maternity Benefit Act, termination or dismissal other than a disciplinary action for proven misconduct amounts to illegal termination/ retrenchment and is defined as an industrial dispute under Section 2A of the Industrial Dispute Act, 1947 which also violated the mandatory provision of Sec.25F and 25N of the I D Act that prescribed certain conditions to comply with by the employer before termination/retrenchment of a workman/employee from the employment. Any Termination of a workman is covered under the Industrial Disputes Act, and it falls under âRetrenchmentâ. In the case of Punjab Land Development Corporation Vs Labour Court, 1990 (II) LLJ, 70 SC, the Supreme Court held that The expression âretrenchmentâ is not to be understood in its narrow, natural and contextual meaning, but is to be understood in its wider, literal meaning to mean termination of service of a workman for any reason whatsoever. Further, in the case of Santosh Gupta Vs State Bank of Patiala AIR 1980 SC 1219, the Supreme Court ruled that the expression retrenchment must include every termination of the services of a workman by an act of the employer. In that scenario, the terminated employee/workman serving a legal notice to the employer can raise an industrial dispute before the concerned Labour Commissioner for redressal of the complaint failing which he/she can approach directly the Industrial Tribunal/Labor Court concerned for adjudication provided he/she is not holding the position of Manager/Supervisor but a workman as defined u/s.2(s) of the Industrial Dispute Act. Otherwise, in case he/she is holding the position of Manager/Administrative Officer in the Company, he/she has to file a civil suit before the Civil Court seeking appropriate relief in the matter. If required, you may seek professional advice from an Advocate experienced in service matters to navigate the matter correctly and legally."
"My new company signed a bond from me that if I do not join on a decided date they will encash my cheque of one month CTC ( they have taken at LOI sharing) Now I do not want to join that company as I got some better opportunity.( Palwal, Haryana )","Dear Client,In the relationship between an employer and employee that is governed by an appointment letter or offer letter, followed by a service bond in some cases, documents like a post-dated cheque or a letter of intent do not take place, which may be considered unfair labour practice on contest. However, the actions of the management can be challenged based on Section 27 of the Indian Contract Act,1872, which prohibits any agreement in restraint of trade and profession. As per the mandate of Section 27 of the Indian Contract Act,1872, any terms and conditions of an agreement that directly or indirectly compel the employee to serve the employer or put a restriction on them joining the competitor or other employer are not valid. In the case where the employer can prove that the employee is joining the competitor to disclose the trade secret, then the court may issue an injunction order restricting the employee from joining the competitor. Further, Section 73 of the Act makes provision for unliquidated damages (not stipulated in a contract), Section 74 deals with liquidated damages (stipulated in a contract), and no compensation is attracted for mere breach of contract u/s.73 and Section 74 of the Act unless such breach resulted in an actual loss or damage to the opposite party employer. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. serving a legal notice to the Company, reach out to the office of the concerned Labour Commissioner or the office of the Chief Inspector, Shops and Establishments, as the case may be, to file a complaint against the company over alleged unfair labour practice for redressal of your grievance. Further, the SAMADHAN Portal was launched by the Ministry of Labour and Employment to facilitate the filing of industrial disputes by the workmen, employers, and trade unions under the Industrial Disputes Act, 1947. The online portal has a user-friendly interface and has enhanced transparency and efficiency of grievance resolution for all stakeholders. The workmen/trade unions/management can file their disputes and claims by logging into the portal through the UMANG app and also by visiting the nearest Common Services Centres."
"I have been unable to transfer or withdraw my PF due to complications arising from the non-availability of my previous service details in the Unified Portal, as my UAN was not generated during my tenure in my last organsation  nokia . Now EPF want annexure k from my last company and they are not responding .( Pune, Maharashtra )","Dear Client,Annexure K is required for transferring EPF funds when an individual changes jobs or shifts from an unexempted to an exempted establishment.  Universal Account Number (UAN) enables linking of multiple EPF Accounts (Member ID) allotted to a single PF member. A member whose UAN is seeded and is fully KYC compliant must not file any transfer claim on a change of employment. In such a case, whenever an employee joins a new job and the first monthâs PF contribution is received, then a transfer auto trigger is generated. Soon after, the memberâs past PF amount gets automatically transferred into his new account. Employee is required to submit the PF Transfer Claim to the Exempted Trust, which will enter the transfer details as Annexure K in the Unified Portal. The employer will make the online payment against the Annexure K. After due approval by the PF office, the past amount and service history will be reflected in his current MID passbook. Thus, observing the complexity faced by you in transferring the EPF Account from the last company to the present company in the database of the EPFO, it appears that the previous employer has neither made any payment against the Annexure -K which he is dutyboound to transfer once the PF contribution is deducted nor generated or activated of UAN of the member employee post-registration in the unified portal. In that scenario, an aggrieved member can file a complaint using the EPF i-Grievance Management System (https://epfigms.gov.in/) or file a complaint offline in the office of the Regional PF Commissioner concerned. If the complaint is not resolved on this end, you can approach the Employeesâ Provident Funds Appellate Tribunal (EPFAT) which was constituted under the provisions of the Section 7 D of the EPF and M P Act 1952, Now, as per the Finance Act 2017, the Employees' Provident Fund Appellate Tribunal has been merged with Central Government Industrial Tribunal w.e.f. 26.05.2017. So, if no relief is yielded from the office of the RPF Commissioner, you may approach the Central Government Industrial Tribunal for appropriate relief."
"When requested for Notice Period Waiver, my CFO and HR mentioned in the Acceptance Mail that mine shall be considered as exception and salary will be credited as F and F. Now, they are demanding payment to release my relieving letter or to face legal consequence. PLEASE HELP. The amount is huge.( Chennai, Tamil Nadu )","Dear Client,In the absence of a specific stipulation regarding waiver of notice period in the offer letter, an assurance of exception to the standing rules cannot be taken or considered as granted. In case there is a clause or condition in the offer letter specifying the buyout of the unexpired/unserved notice period, then for early release post resignation, waiving the notice period company can demand the payment against the buyout of the unexpired/unserved notice period from the employee. So, given the scenario, you need to go through your offer/appointment letter carefully to understand the actions of the management demanding payment to issue a relieving letter post-resignation. However, the actions of the management can be challenged based on Section 27 of the Indian Contract Act,1872, which prohibits any agreement in restraint of trade and profession. As per the mandate of Section 27 of the Indian Contract Act,1872, any terms and conditions of an agreement that directly or indirectly compel the employee to serve the employer or restrict them from joining a competitor or other employer are not valid. The employee has the right to resign from employment even if he has agreed to the employment bond to serve the employer for a specific period. In the case where the employer can prove that the employee is joining the competitor to disclose the trade secret, then the court may issue an injunction order restricting the employee from joining the competitor. Further, Section 73 of the Act makes provision for unliquidated damages (not stipulated in a contract), Section 74 deals with liquidated damages (stipulated in a contract), and no compensation is attracted for mere breach of contract u/s.73. Section 74 of the Act unless such breach resulted in an actual loss or damage to the opposite party employer. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. Serving a legal notice to the Company, reach out to the office of the concerned Labour Commissioner or the office of the Chief Inspector, Shops and Establishments, as the case may be, to file a complaint against the company over alleged unfair labour practice for redressal of your grievance. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking appropriate relief in the matter. If you are an employee of the IT Company then be informed that to restrict IT Companies from exploiting their employees by playing double standards, the Division Bench of the Karnataka High Court in the case of Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR unambiguously held that the IT sector employees considered to be ""workmen"" under Section 2(s) of the Industrial Dispute Act, 1947. If required, consult with an Advocate experienced in service matters for tailored advice and actions to navigate the issue in the right way."
"Sure. I joined an organisation 9 years back and my salary was 180000 which was lump sum and there was nothing mentioned related to PF and gratuity. Now I have left the organisation. Am I eligible to get any gratuity?( Gurgaon, Haryana )","Dear Client,Gratuity is a lump sum amount that employers pay their employees as a sign of gratitude for the services provided. An organization/establishment with a workforce of 10 individuals and above is liable to pay gratuity under the Payment of Gratuity Act 1972. According to Section 4(1) of the Payment of Gratuity Act of 1972, a gratuity shall be paid to an employee upon cessation of employment if he or she has rendered continuous service for five years or more in the establishment. Section 4(2) of the Act provides that for every completed year of service or part thereof in excess of 6 months, the employer shall pay gratuity to an employee at the prescribed rates. The Gratuity Benefits are calculated using the following formula:-(15/26) multiplied by (No of Completed Years on Exit) multiplied by (Terminal Wages/Salary). Under Rule 7(1) of the Payment of Gratuity Rules, 1972, an employee who is eligible for payment of gratuity under the Act, or any person authorized, in writing, to act on his behalf, shall apply, within thirty days from the date the gratuity became payable, in Form 'I' to the employer who is duty bound to disburse the gratuity within 30 days of cessation of employment of employee or claim made by an employee. After 30 days, the employer has to pay you not only the gratuity amount but also the simple interest accrued for the delay in payment of the gratuity. So, serving an establishment for 9 years with having workforce of 10 or above, you are entitled to gratuity from the company. In case of denial of gratuity or short-payment of gratuity by the employer, serving a legal notice to the Company/employer, reach out to the office of the concerned Labour Commissioner and the Controlling Authority under the Act to file a complaint against the employer over denial or non-payment of gratuity under the Payment of Gratuity Act, 1972 despite your eligibility to redress the grievance. Under Sub-Sec. 5 of Section 7 of the Act, the Controlling Authority is empowered under the Code of Civil Procedure, 1908, to try the claim of the applicant and pass an order/direction on the claim petition. If required, you may hire an Advocate experienced in service matters to navigate the issue in the right way."
"I have worked in a IT company as a software developer, I resigned on 4th May and since there wasn't much task left for me company gave me early release on 7th May. 
My notice period was 3 months as written in my appointment letter. Also it was written that if employee fails to serve notice period then they have to give 3 months salary to the company. Also it was written that company can change notice period duration depending on the company's requirements.

Now I want to ask can employee also demand notice period salary from company if company gave early release. And if yes, then how many months salary can we demand and can company give negative feedback in background verification if i file a case against them for this issue?( Gurgaon, Haryana )","Dear SirPlease approach the following authority or similar authority in a stateThe Office Commissioner of LabourKarmika Bhavan, Dairy Circle,Bannerghatta Road, Bangalore-29.080-29753078[emailÂ protected]Addresses of Labor Inspectors in Bengaluru in different locationshttps://karmikaspandana.karnataka.gov.in/page/Contact+Us/Labour+Inspector/enhttps://clc.gov.in/clc/regional-offices/bangalore#:~:text=1.&text=Shram%20Sadan%2C%203rd%20Main%2C%203rd,Yeswanthpur%2C%20Bangalore%2D560022..=======================================================================Section 12 in The Industrial Disputes Act, 194712. Duties of conciliation officers.- (relevant section 12(2) of ID Act)(1) Where any industrial dispute exists or is apprehended, the conciliation officer may, or where the dispute relates to a public utility service and a notice under section 22 has been given, shall hold conciliation proceedings in the prescribed manner.(2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and the right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute.(3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings the conciliationofficer shall send a report thereof to the appropriate Government 1 or an officer authorised in this behalf by the appropriate Government] together with a memorandum of the settlement signed by the parties to the dispute.(4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable after the close of the investigation, send to the appropriate Government a full report setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at.(5) If, on a consideration of the report referred to in sub- section (4), the appropriate Government is satisfied that there is a case for reference to a Board, 2 Labour Court, Tribunal or National Tribunal,] it may make such reference. Where the appropriate Government does not make such a reference it shall record and communicate to the parties concerned its reasons therefor.(6) A report under this section shall be submitted within fourteen days of the commencement of the conciliation proceedings or within such shorter period as may be fixed by the appropriate Government: 3 Provided that, 4 subject to the approval of the conciliation officer,] the time for the submission of the report may be extended by such period as may be agreed upon in writing by all the parties to the dispute.]*****"
