question,answer
"My wife file a 498a case aginst me and now we are together and we have a newborn now. And we are happy now. But still case is going on now case status is no sitting notifed what will be next can you please sugest anything reguarding this please( Thrissur, Kerala )","Dear Sir,If charge sheet is filed then your wife and other witnesses will be summoned to the Court. At that time your wife must say before the Court that due to misunderstandings such complaint was lodged and now she would not like to continue with that criminal case. Or you may go to High Court and get the charge sheet quashed within the help of your wife."
"I am permanent central government employee i have two girl child and want to take chance of third child . if i will take it the shall i terminate from job( Nagpur, Maharashtra )","Dear Sir,It appears you are not entitled for one increment for entire service if you intending to have third child. But your service cannot be terminated if you have third child. Anyhow, please check recent circulars with your department."
"What to do when birth mother torture me for my love with a boy( Haridwar, Uttarakhand )","Dear Madam,If your mother not interested to get you marry to such boy then she might have started torturing you. If you have attained age of majority and having independent source of income then you can stay away from your mother and in your interest you may marry such boy at your risk and consequences."
"i am the respondent of 498a case, without any true evidences my wife filed a case through police with the help of political influence and bribe, i have been attending to court since 2 years, lawyers receiving money from me but not supporting me, i am facing lot of financial crises, then i  have decided to party in person, but problem is i need a good supporter who will help in court proceedings through phone call.( Visakhapatnam, Andhra Pradesh )","Dear Sir,It is impossible to render you legal advise through phone. Since it is a criminal case if you are unable to cross examine the complainant and the witness effectively then the criminal Court may pronounce a judgment of conviction. Even if you go in Appeal they cannot do anything since they will be no foundation in the Trial Court. Take a wise decision."
"Sir my husband is working in government of Karnataka in his service register my name and my son is not updated me asked my husband to update the same in his service register book but he is refusing to update . Sir shall I write a letter to his official for updation or else plz recommend alternative solution for it( Mysore, Karnataka )","Dear Client,The matter of nomination is a condition of service regulated by the provisions of Rule 302 of the Karnataka Civil Services Rules (for short 'KCSR') about Death Cum Retirement Gratuity or for other terminal benefits or compassionate appointment as the case may be and Rule-7 of the Karnataka Government Servants (Family Pension) Rules, 1964. These Rules, impose an obligation on the person employed in the Government to nominate his or her spouse in the Service Register and have been promulgated under Article 309 of the Constitution of India or the Karnataka Civil Services Act, 1978 have statutory force and that does not entitle the spouse of a civil/public servant to force him to make her nominee in the service register as a matter of right. The nomination only makes the nominee a trustee who has a right to receive the specific benefit for and on behalf of those who are otherwise entitled to the same following the personal law applicable to them. Nomination is only a clause that allows the nominee to claim the benefit as âcustodianâ in the event of the employee's death. The nominee is the trustee of the death benefits of the deceased employee and is legally bound to transfer the same to the legal heirs of the deceased employee once they are entitled to claim. However, you can raise your claim, enclosing the reliable and authentic evidence in support of the claim, before the concerned authority for a favourable order or resolution in the matter."
"Sir 
Me got married in 2023 my husband is working is government of Karnataka bin phc as doctor 
We are having 10months baby 
My husband if refusing for marriage registration certificate 
please give the solution for it sir( Mysore, Karnataka )","Dear Madam,Marriage registration is not made compulsory in Karnataka. Registration of marriage is also not mandatory to recognize you as wife of your husband. First check whether your name and your husband name is mentioned in the birth certificate of your child. Further cross check whether your name is shown in the service records of your husband which are maintained by his higher authorities/Department."
"Sir 
Me got married in 2023 my husband is working is government of Karnataka in phc as doctor 
We are having 10months baby 
My husband if refusing to update my and my children name in his service register book sir sir can I send my request to his official sir 
If not  please give the solution for it sir( Mysore, Karnataka )","Dear Madam,Marriage registration is not made compulsory in Karnataka. Registration of marriage is also not mandatory to recognize you as wife of your husband. First check whether your name and your husband name is mentioned in the birth certificate of your child. Further cross check whether your name is shown in the service records of your husband which are maintained by his higher authorities/Department."
"My mother kicked me out of her home in 2023. From then l had negligible contact with her.

My mother messaged me in 2025 that if I don't tell her my current residential address, she will report me.

I fear that she can contact any of the multiple officers listed on my employer's website and ask for my address. Everyone doesn't know privacy laws and thus can provide my address to her. It is impossible for me to track who is getting such a call, and it is a very large company, so just informing HR is not sufficient.

I can't practically keep continuing to request all employees to ignore such requests from my mother in all other companies l work for in the future, and similarly can't request the same to my college Principal and faculty if l choose to go for higher degree(s).

I am completely independent from my family in every possible way - financially and otherwise.

I wish to legally bar my mother from contacting any institution/company l am professionally associated with till l am alive, besides not wanting any contact with her in any format.( Howrah, West Bengal )","Dear Client,Article 21 of the Constitution of India guarantees the âRight to Privacyâ as a part of the âRight to Lifeâ. The Information Technology Act of 2000 and the Information Technology (Reasonable Security Practices and Procedures and Sensitive Personal Information) Rules of 2011 are currently the principal laws that deal with data protection. Companies gather or collect sensitive personal data or information from their employees/workers for a variety of objectives, including the hiring process, record retention, employee assessments, and other legitimate business needs. The confidentiality of the workers is jeopardized when this information is gathered and then disclosed or provided to third parties. According to Rule 5 of the IT Rules, 2011, no body corporate or person acting on its behalf may collect sensitive personal data or information unless; a) the information is used for a legitimate purpose related to one of the body corporateâs functions or activities, and b) the collection of such data is deemed necessary for that purpose. When an employee joins a company, they agree to provide information that is important for the work and not any other personal information. Thus, there is no specific law governing employee privacy rights in India. However, the privacy rights of workers/employees can be drawn from different legislations that either directly or indirectly provide such protection in the absence of a specific data protection law in India. In the context, it may further be noted that there is no legal concept of disowning an adult child in India, even if the parents evict a child from their house or the child wants to rescind their relationship with their parents. Even if the parent-child relationship is bad or toxic and the child has been evicted, he/she can acquire the property as a legal heir on the demise of his/her parents intestate, i.e., without any Will. If required, you may go through a counseling session with a family counselor, as he/she can offer insight that may not have occurred to you before making any decisions/steps to resolve the toxic relationship."
"How do we convert the property to the children's name( Bangalore, Karnataka )","Dear Sir,First get the property in your name by way of inheritance. Then you will become the absolute owner. Thereafter you may execute gift deed in favor of minor children and be sure that their father or any other person may be their."
"Property cancellation by senior citizen mother from son gift deed- my grand mother is senior citizen wants to cancel gift deed from son which was made under pressure and influence 16 years back.that property was bought by my mothers office saving on my grandmother name before her marriage.my elder uncle and mother bought 636 sqyards sisdeby side plots with office savings their elder sister and younger brother done forgery 16 years back and occupied 336 plot that was writen on my grandmother name the leftover 300 sqyards was taken by grandmother my mothers elder sister family thretened my grandmother if u dont write property on bolinei jay chandra (uncle) name she  will put court case and occupy entire 300 sq yards and also gave death thretens before 16 years by force they have 100 sqyards.now if my grandmother puts collector petition on my younger unlce jay chandra who is hiding his home adress his son is enginer in australia earning 1 crore per month and not taking care of grandmother since starting they also comitted forgery and occupied big plot . what are the chances of property cancellation under gift deed without conditions by senior citizen who was ill treated abondended by my younger uncle chandra that was given under pressure of blackmail life threaten 16 years back. i am the daughter of bolineni nagaratnamma who gave her office savings and bought plot on granmothers name i am unmarried 32 year old no job my father unofficially divorced my mother now family is going through financial problems my uncle jay chandra son is well settled in australia abondened my grandmother me my mother my elder uncle are taking care of my grandmother now can she get back her property from chandra her younger son and his son who is hiding away from us what are posibilites please help( Hyderabad, Telangana )","Dear Client,Unless there is a condition stipulated in the gift deed stating the donee shall take care of the donor, if she or he is unable to maintain herself or himself, seeking cancellation of the gift deed under Section 23 of the Maintenance and Welfare of Parents and Sr. Citizens Act, 2007 may not yield any favourable order to the aggrieved Sr. Citizen. However, there are several judgments of High Courts and the Supreme Court allowing the prayer, Sr. Citizens cancelled the gift deed executed by them in favour of their children who failed to maintain or abandoned them, even in the absence of any specific condition in the gift deed. So, apart from an application before the Maintenance Tribunal constituted under the Senior Citizens Act seeking appropriate relief, you can challenge the said gift deed if it was obtained through fraud or misrepresentation, or undue influence before the competent Civil Court, filing a civil suit seeking cancellation of the said deed. The burden of proof lies on the person who challenges the documents. Under Article 59 of the Limitation Act, 1963, a civil suit to challenge a registered document, including a sale deed/release deed/gift deed, must be filed within three years from the date the plaintiff gains knowledge or come to know of the fact behind the execution or registration of a document or the transaction. If required, consult with an experienced Advocate for tailored advice to access justice in the matter."
"My 38 yr old married daughter only after a month of marriage left her husband and came back at my home. She is violent and abusive. I don't want to live with her. What are the options I have.( North West Delhi, Delhi )","Dear Sir,If you are living in a rented house then come out of the said house and stay away from her. If your living in a own house then ask her to vacate otherwise file a suit for eviction. If she is also entitled for a share in the said house then file a suit for partition."
"What can i do to get me and my brother away from the family ?( Ahmedabad, Gujarat )","Dear Client,If you and your brother are facing abuse from your family, you have the right to seek protection and safety.You can call Child help lline , which can send help immediately and connect you with the Child Welfare Committee (CWC). The CWC can remove you from the abusive environment and provide safe shelter, foster care, or placement with a responsible guardian.You can also file a police complaint under child protection laws such as the Juvenile Justice Act or POCSO Act if there is physical or sexual abuse. If you're over 18, you can still act on behalf of your younger brother to get him protection and even seek custody through the court. It's also helpful to speak to a trusted teacher or adult, as they are required to report child abuse.For taking any legal action kindly consult an Advocate"
"When a girl and boy love and they are decided that they are marrage each other but the girl family not aggary,their age 20+ but not 21 ,so that we can do in this situation and legally step???( Nadia, West Bengal )","Dear Client,Your query lacks information and transparency. As per Section 5(iii) of the Hindu Marriage Act, 1955, the minimum legal age for marriage is 18 years for the bride(girl) and 21 years for the groom(boy). The Prohibition of Child Marriage Act of 2006 prohibits the marriage of children, defined as females under the age of 18 and males under the age of 21. Any marriage that involves a minor is voidable under the âProhibition of Child Marriage Actâ, and the parties involved in arranging or facilitating such a marriage can be punished with imprisonment and a fine. Given the proposition of governing laws, if you feel that both of you have reached marriageable age as prescribed under the governing law, you can go ahead with the marriage; otherwise, you have to face legal consequences. Once a person becomes a major or adult, his or her decision in marriage or career prevails. Parents or any person cannot force or oblige a person to make a lifetime decision against his or her will or consent, which is unconstitutional and impermissible under the law. An adult person reaching marriageable age has the right to choose his or her life partner. You can inform your plights/ordeals online (https://nhrc.nic.in/complaints/complaints/how-to-file-a-complaints) to the Chairperson, the National Human Rights Commission, New Delhi, and the State Human Rights Commission, who are empowered to investigate complaints related to domestic violence or infringement of constitutional rights. of any citizen. If the situation warrants, you can file a private complaint against the persons in the court of the Magistrate under Section 223 of BNSS, which outlines the procedure for a Magistrate to take cognizance of an offence. Upon receiving a complaint, the magistrate shall examine the complainant and any witnesses present. This examination is conducted under oath, and the substance of the examination is documented and signed by the complainant, witnesses, and the magistrate. If the magistrate finds sufficient grounds for proceeding with the case, he may issue a summons to the persons under Section 227 of the Bharatiya Nagarik Suraksha Sanhita (BNSS) 2023. If required, consult or hire an Advocate to navigate the issue in the right way."
"My wife has filled FIR in BNS 91/313IPC &amp; she has produced a doctor consultation letter to IO.. where it mentioned that husband &amp; wife came to consult about abortion &amp; process is also mentioned in that letter.. &amp; doctor is also agreed this in her statement to IO.. &amp; we both dont want a baby that time so it is true that she took abortion pill in the month of octobe... but she do not have any Ultrasound or medical report only that Doctor consult letter she has..now IO telling me that he have to arrest me in this scenario after just filing the chargesheet.. will Ghaziabad court issue the warant to police to arrest me in this scenario after just filling the chargesheet.. is abortion consultation letter is enough to prove this section? please help me..( Ghaziabad, Uttar Pradesh )","Dear Client,The Court does not automatically arrest the accused upon the filing of the chargesheet, especially if they haven't been arrested during the investigation. After a chargesheet is filed, the magistrate reviews it and decides whether to admit it and proceed with the trial. On acceptance of the chargesheet, the magistrate issues a summons to the accused requiring him to appear before the court. An arrest warrant is issued only if the accused fails to appear after being summoned or if there's a reasonable belief that the accused might abscond or interfere with the investigation. The Hon'ble Supreme Court in the case of Siddharth vs State of UP observed that, while accepting a charge-sheet, the Magistrate or the Court is required to invariably issue a process of summons and not a warrant of arrest. The word 'custodyâ appearing in Section 170 of the CrPC does not contemplate either police or judicial custody, but it merely connotes the presentation of the accused by the Investigating Officer before the court while filing the chargesheet."" If a person has not even been arrested during the investigation, merely because a charge sheet has been filed, an arrest would be contrary to the governing principles for the grant of bail. Before an arrest is made, anticipatory bail can be obtained under Section 438 of the Cr. PC (replaced by Section 482 of BNSS) by approaching the Court of Session. You can seek its quashing through a petition before the High Court under Section 482 of the Cr. PC(replaced by Section 528 of the BNSS). Section 91 of the Bharatiya Nyaya Sanhita (BNS) deals with offenses related to preventing a child from being born alive or causing its death after birth. Section 313 of the IPC deals with offenses related to being a member of a gang that habitually commits theft or robbery. Section 91 of BNS requires proof that the act was done with the specific intent to prevent the child from being born alive or to cause its death. A consultation letter may indicate a discussion about abortion, but it doesn't automatically prove the intent was to prevent the child's birth or cause its death. While a doctor's consultation letter can be relevant, it's not sufficient on its own to prove an FIR under Section 91 of the BNS. Other evidence, like Medical records, Witness statements, and Forensic reports, may be required to establish the intent and the resulting harm. Considering the complexity of the case, it is advisable to consult with an expert professional for tailored advice and actions to access justice in the matter."
