question,answer,chain_q,chain_a
"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )","Dear Client,since you have an experience of more that 10 years, you can go for regularization in the court. contractual employees need 10 years of experience to be regularised.","[""MHA_114"", ""RPSR_34"", ""RPSR_8932"", ""EPF_AT""]","[""RPSR_46"", ""RPSR_11"", ""EC_RULES_74"", ""EC_RULES_66""]"
"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )","Dear client,as writs are filed in violation of fundamental rights, you will have to prove the breach. You can do this by showing it is against article 14, which is right to equality under the Indian Constitution.Thank you, Have a nice day.","[""IRC_72"", ""FIN_A_8"", ""PSI_9"", ""RPSR_5923A""]","[""MHA_21"", ""ART_14"", ""ART_23"", ""ART_21_LABOUR""]"
"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )","Dear Client,In India, the Maternity Benefit Act, 1961, governs maternity benefits for women employees. According to the Act, you are entitled to maternity leave if you have worked for your employer for at least 80 days in the 12 months immediately preceding your expected date of delivery. The Act does not specify a requirement for providing notice three months in advance. It's more about the duration of your employment before the expected delivery date. Go through your employment contract and your company's HR policies to understand the terms and conditions regarding maternity leave.","[""MBA_10"", ""FA_79"", ""SPE_4"", ""MTW_24""]","[""Maternity Benefit Act 1961"", ""ESI_50"", ""maternity"", ""PROC_MATERNITY_CLAIM""]"
"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )","A.Dear Sir,Yes, it depends upon the background of the case under workman compensation act.","[""ESI_2"", ""ESI_2A"", ""ESI_10"", ""ESI_20""]","[""compensation"", ""EC_RULES_56"", ""EC_RULES_57"", ""BTC_348""]"
"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )","Dear Client,Termination without notice other than disciplinary action amounts to illegal termination and is defined as an industrial dispute under Section 2A of the Industrial Disputes Act, 1947 which also violated the mandatory provision of Sec.25F and 25N of the Act that prescribed certain conditions to comply with by the employer before termination/retrenchment of a workman/employee from the employment. A company can neither withhold the original certificates of an employee nor demand money for returning the same which is amounted to an unfair labour practice as defined under Sec.2(ra) of the Industrial Dispute Act, 1947. In that scenario, the terminated employee/workman can raise an industrial dispute directly before the Industrial Tribunal/Labor Court concerned for adjudication within three years from the date of termination/retrenchment. Regardless of reasons, on cessation of employment, an employee is entitled to an experience certificate, relieving letter and F & F settlement dues from the employer within 30 days of the last working days (LWD) and denial of which amounted to unfair labour practices. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. serving a legal notice to the Company you can raise an Industrial dispute directly before the State Govt. Industrial Tribunal under Sec.2A of the I D Act. and additionally, you have to file an application u/s.33C(2) of the I D Act before the concerned State Labour Court claiming dues from your employer receivable to an employee on illegal termination/retrenchment. Further, if the establishment comes under the purview of the State-specific Shops and Establishment Act, you can escalate your grievance before the Chief Inspector or Adl. Chief Inspector appointed under the Act for redressal of your grievance. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking desired relief in the matter. Reach out to an Advocate experienced in service matters for guidance and steps. Feel free to contact our legal team to navigate the issue in the right way.","[""IDA_17B"", ""EPF_12"", ""ESI_72"", ""ISM_12""]","[""Industrial Disputes Act 1947"", ""DSEA_147"", ""IDA_2A"", ""IRC_44""]"
"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )","Dear Client,While you are pursuing a regular degree course, you cannot take up any full-time job even if it is merely for a one-month. It is also impermissible under a regular course nomenclature. In the present state of affairs, neither you could inform the matter to college authority that may affect your degree nor, suppress the fact in the SSC CGL application form because a Background verification(BGV) check is a process many organizations carry out to verify the information provided by the candidate during hiring. Verification of EPFO records through UAN is critical for conducting employee background checks because it allows employers to confirm that their employees are not using false or stolen identities to gain employment. In case of a negative background verification check an employer can even reject/terminate the employment of the candidate. So, in the given situation, considering your career prospects, you need to visit the office of the PSC who conducted the SSC exams to clarify the matter in detail to protect both of your academic and job career.","[""relieving_letter"", ""GST_143"", ""BTC_292"", ""EC_RULES_68""]","[""EC_RULES_66"", ""EC_RULES_67"", ""RPSR_19"", ""RPSR_1984""]"
"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",Employment Lawsfor Multinational Companies in Indiahttps://singhania.in/wp-content/uploads/2019/08/Employment-Law-Primer-For-Multinational-Companies-In-India-2019.pdf,"[""IDA_17B"", ""EPF_12"", ""ESI_72"", ""ISM_12""]","[""GST_4"", ""SEEDS_21"", ""ERA_11"", ""SPE_10""]"
"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",Dear ClientBased on your insufficient information nothing can be opined to your query at the moment. So you may revert back to us with the following information> Nature of Establishment you work and nature of data entry job your performed in the said establishment that liable you for payment of fine on default.> The contents of your offer letter in brief and date of your joining> Reason behind the immoral and unethical threat affecting your career and harassment of your family which is termed both as Unfair Labour Practice and Unfair Trade PracticeHope the matter stands clarified.,"[""CCS_ME"", ""GST_69"", ""GST_66"", ""EC_RULES_66""]","[""EC_RULES_66"", ""IRC_84"", ""EC_RULES_67"", ""IEA_61""]"
"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",A. If your employer is depositing money then tomorrow or later if the tax authorities check your bank account then they will charge with tax evasion as it will be considered as your income.B. Suppose the company is raided by tax authorities for tax evasion then you will also be considered as a partner in crime for allowing your account to be used for it.Be careful,"[""ICA_73"", ""ICA_74"", ""SRA_14"", ""SRA_16""]","[""GST_65"", ""BTC_3"", ""EC_RULES_66"", ""EC_RULES_67""]"
"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","[""MBA_10"", ""FA_79"", ""SPE_4"", ""MTW_24""]","[""ESI_46"", ""LWF_6B"", ""INC_T_192"", ""EC_RULES_74""]"
