question,answer,chain_q,chain_a
"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )",Dear ClientI think you have a valid case to ask for regularization but then to be very specific you need to share the contract and service rule book with us so that I can then provide you the more specific or exact answer on that. But as said prima-facie you have a case.,"[""MHA_114"", ""RPSR_34"", ""RPSR_8932"", ""EPF_AT""]","[""EC_RULES_74"", ""SRA_12"", ""EC_RULES_66"", ""EC_RULES_67""]"
"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )","A.Dear Sir,Yes, you can file but success rate is very low and remote.","[""IRC_72"", ""FIN_A_8"", ""PSI_9"", ""RPSR_5923A""]","[""EC_RULES_61"", ""BTC_117"", ""WAGE_C_5"", ""PROC_OVERTIME_CLAIM""]"
"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )","Dear Client,In India, the Maternity Benefit Act, 1961, governs maternity benefits for women employees. According to the Act, you are entitled to maternity leave if you have worked for your employer for at least 80 days in the 12 months immediately preceding your expected date of delivery. The Act does not specify a requirement for providing notice three months in advance. It's more about the duration of your employment before the expected delivery date. Go through your employment contract and your company's HR policies to understand the terms and conditions regarding maternity leave.","[""MBA_10"", ""FA_79"", ""SPE_4"", ""MTW_24""]","[""Maternity Benefit Act 1961"", ""ESI_50"", ""maternity"", ""PROC_MATERNITY_CLAIM""]"
"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )","Dear Client,Yes, you may. The eligible dependents benefit in favour of the injured/deceased in accordance with law within a period of four weeks. Kindly consult a lawyer. Check out the case Room No.9 vs Sub-Regional Office.Thank you!","[""ESI_2"", ""ESI_2A"", ""ESI_10"", ""ESI_20""]","[""LIM_26"", ""ESI_63"", ""PROC_ESI_CLAIM"", ""FIN_A_74""]"
"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )","Dear Client,If you have been terminated from your company without any reason and have received only 6 days' extra pay beyond the days you worked, you may have grounds for legal action under Indian labor laws. The Industrial Disputes Act, 1947, protects employees from unfair dismissal and ensures that employers provide a valid reason for termination. Additionally, under the Payment of Wages Act, 1936, employees are entitled to receive full and timely payment of their due wages. You should send a formal written complaint to your employer detailing your grievance and request the full payment you are owed. If the issue is not resolved, you can file a complaint with the labor commissioner or seek legal counsel to take the matter to the labor court to claim your rightful dues and any additional compensation for wrongful termination.","[""IDA_17B"", ""EPF_12"", ""ESI_72"", ""ISM_12""]","[""Industrial Disputes Act 1947"", ""wrongful_termination"", ""EC_RULES_66"", ""EC_RULES_67""]"
"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )","Dear Client,Given your situation, it is advisable to mention your one-month job experience in the SSC CGL attestation form under previous employment. Suppressing information, especially when you have documents like the offer letter, relieving letter, and UAN linked with your Aadhaar, can lead to complications later, including potential termination for not disclosing accurate information. According to Indian employment laws and the guidelines for SSC CGL, honesty in disclosing employment history is crucial. Since your work period was brief and you have documented proof, it should not negatively impact your application, and full disclosure ensures that there are no accusations of hiding relevant information.","[""relieving_letter"", ""GST_143"", ""BTC_292"", ""EC_RULES_68""]","[""relieving_letter"", ""EC_RULES_66"", ""EC_RULES_67"", ""GST_152""]"
"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",If not provided then make written application to them for it or take oc from them . After that approach to the court,"[""IDA_17B"", ""EPF_12"", ""ESI_72"", ""ISM_12""]","[""EC_RULES_22"", ""BTC_149"", ""ESI_85C"", ""BTC_337""]"
"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )","Hello,As per the information you have given firstly please state the facts clearly and secondly you need not to worry of any sactions that is to be implicated by te company unless and until you have not done anything against the law instead you can file a FIR to piolice for harassment.","[""CCS_ME"", ""GST_69"", ""GST_66"", ""EC_RULES_66""]","[""IEA_58"", ""EC_RULES_67"", ""EC_RULES_66"", ""EC_RULES_74""]"
"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )","Any unaccounted money being deposited to your bank account can cause trouble later on. There two aspects to it.1. If your employer is depositing money then tomorrow or later if the tax authorities check your bank account then they will charge with tax evasion as it will be considered as your income.2. Suppose the company is raided by tax authorities for tax evasion then you will also be considered as partner in crime for allowing your account to be used for it.So, need to be careful.","[""ICA_73"", ""ICA_74"", ""SRA_14"", ""SRA_16""]","[""GST_65"", ""BTC_3"", ""EC_RULES_66"", ""BTC_42""]"
"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","[""MBA_10"", ""FA_79"", ""SPE_4"", ""MTW_24""]","[""ESI_46"", ""LWF_6B"", ""INC_T_192"", ""EC_RULES_74""]"
