sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )","Appointment on Contract Basis → Section 10(1) of the Contract Labour Regulation and Abolition Act, 1970","Appointment on Contract Basis → Section 10(1) of the Contract Labour Regulation and Abolition Act, 1970 → Catering Cleaners Seeking Regularization → Contract System for Cleaning Work → Division Bench Held Notification Binding on DIAL → Central Government Found Appropriate for DIAL","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","How to get back my original certificate( Coimbatore, Tamil Nadu )","Not getting Full and Final settlement from the employer to whom I have to complaint and how?( Bangalore, Karnataka )",Dear ClientI think you have a valid case to ask for regularization but then to be very specific you need to share the contract and service rule book with us so that I can then provide you the more specific or exact answer on that. But as said prima-facie you have a case.,"Under the Contract Labour (Regulation and Abolition) Act, 1970, specifically Section 10(1), regularization of contract employees is contingent upon whether the work is essential and perennial, and whether the contract system is deemed inappropriate by the government. In your case, given the nature of your employment and the benefits you receive, you may argue that your role is essential and should be regularized. However, the Supreme Court in cases like *Secretary, State of Karnataka v. Umadevi* (2006) has held that regularization cannot be claimed as a right unless the employment was made against a sanctioned post.

You can file a writ petition in the Delhi High Court seeking regularization based on the nature of your work and the continuous extensions. It is advisable to gather all relevant documents, such as your contract, extension letters, and proof of benefits, to strengthen your case.",0.9037,58.1674,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
2,"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )",Interview Process for Patwaris Conducted → Candidates Selected Based on Merit,"Interview Process for Patwaris Conducted → Candidates Selected Based on Merit → Grievance Raised by Unsuccessful Candidates → Ashok Yadav v. State of Haryana, 1985 Supp. 1 SCR 657 → Committee for Selection Properly Constituted → Rule 2(a) of the Punjab Revenue Patwari Class II Service Rules","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","How to get back my original certificate( Coimbatore, Tamil Nadu )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","A.Dear Sir,Yes, you can file but success rate is very low and remote.","A writ petition can be filed under Article 226 of the Constitution of India in the High Court if there is a violation of fundamental rights or if there is an abuse of power, such as fraudulent selection with political interference. In the case of Ashok Yadav v. State of Haryana, the Supreme Court emphasized the importance of a fair selection process. The user should gather evidence of political interference or procedural irregularities in the selection process. Next steps include consulting with a lawyer to draft the writ petition and filing it in the appropriate High Court.",0.5801,25.9239,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
3,"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )",Employee Applied for Leave Preparatory to Retirement → Leave Revoked by Government,Employee Applied for Leave Preparatory to Retirement → Leave Revoked by Government → Article 310 of the Constitution of India → Allegations of Mala Fide Action by Chief Minister → Rules Not Applicable to Defence Personnel → Proviso to Article 309 of the Constitution of India,"I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I have just quit my job on the very first day because the environment and work culture was horrible. I had filled 3 4 forms before joining.

Requisition for issue of photo identity card
Joining form
Salary account declaration
The Professional Confidentiality and Non Disclosure agreement.
And EPF form

There was no mention of notice period or any bond period in any of these forms.

Will there be any demand for money or compensation from the company ?( South Delhi, Delhi )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","Dear Client,In India, the Maternity Benefit Act, 1961, governs maternity benefits for women employees. According to the Act, you are entitled to maternity leave if you have worked for your employer for at least 80 days in the 12 months immediately preceding your expected date of delivery. The Act does not specify a requirement for providing notice three months in advance. It's more about the duration of your employment before the expected delivery date. Go through your employment contract and your company's HR policies to understand the terms and conditions regarding maternity leave.","The primary legal issue is the employer's refusal to pay due to alleged insufficient notice for leave. Under Indian labor laws, if there is no specific contractual obligation for a three-month notice period for leave, the employer cannot unilaterally withhold payment. Review the employment contract to confirm if such a notice period is stipulated.

If the contract does not require a three-month notice, the user can file a complaint with the labor commissioner in Noida for wrongful withholding of salary. Additionally, consider issuing a legal notice to the employer demanding payment of dues.",2.1252,58.5957,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
4,"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )",Union Formed in Factory → Management Discharged Workmen,Union Formed in Factory → Management Discharged Workmen,"I absconded the company with out any notice period.and also I didn't give any resignation also . i recieved a Mail after 20 days  l left the company, regarding termination letter. After 2 months i got the due to shortfall of notice period ,I have to pay  1 month salary.I left the company because of I didn't like the work culture.I tried to tell them regarding resignation but they are not in a mood to listen .so I left the company with any intimation.soi will really get any penalty for not serving notice period?.please hel me in this.do I have to pay money or no need to pay ? Is there anything I can do other than paying money?.please help me in this .( Hyderabad, Telangana )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","I have worked 5.1 years  in an xxx organisation. They said, in the first year of my experience  I have probation period of six month. So, employer saying that am not eligible for gratuity you would be consider as 4.5 years experiences served in the organisation. So they saying you are not eligible for gratuity . Can you please confirm me whether am eligible for gratuity or not ? Is that training or probation period Iâll affect that gratuity?( Chennai, Tamil Nadu )","Dear Client,Yes, you may. The eligible dependents benefit in favour of the injured/deceased in accordance with law within a period of four weeks. Kindly consult a lawyer. Check out the case Room No.9 vs Sub-Regional Office.Thank you!","Under the Employees' State Insurance Act, 1948, if a laborer dies due to a stroke while working, the dependents may be eligible for compensation if the death is considered an employment injury. An employment injury is defined as a personal injury caused by an accident or occupational disease arising out of and in the course of employment. The dependents can claim benefits such as dependents' benefit under the Act.

To proceed, the dependents should file a claim with the Employees' State Insurance Corporation (ESIC) providing necessary documentation, including medical reports and proof of employment. They should also consult with the ESIC office to ensure all required procedures are followed for the claim.",1.0513,60.3467,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
5,"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )","Termination Based on Insufficient Days Worked → Section 25F of the Industrial Disputes Act, 1947","Termination Based on Insufficient Days Worked → Section 25F of the Industrial Disputes Act, 1947 → Labour Court Found Termination Invalid → Employee Entitled to Reinstatement with Back Wages → Section 10(1) of the Industrial Disputes Act → High Court Found No Violation of Natural Justice","I have just quit my job on the very first day because the environment and work culture was horrible. I had filled 3 4 forms before joining.

Requisition for issue of photo identity card
Joining form
Salary account declaration
The Professional Confidentiality and Non Disclosure agreement.
And EPF form

There was no mention of notice period or any bond period in any of these forms.

Will there be any demand for money or compensation from the company ?( South Delhi, Delhi )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","Dear Client,If you have been terminated from your company without any reason and have received only 6 days' extra pay beyond the days you worked, you may have grounds for legal action under Indian labor laws. The Industrial Disputes Act, 1947, protects employees from unfair dismissal and ensures that employers provide a valid reason for termination. Additionally, under the Payment of Wages Act, 1936, employees are entitled to receive full and timely payment of their due wages. You should send a formal written complaint to your employer detailing your grievance and request the full payment you are owed. If the issue is not resolved, you can file a complaint with the labor commissioner or seek legal counsel to take the matter to the labor court to claim your rightful dues and any additional compensation for wrongful termination.","Under Section 25F of the Industrial Disputes Act, 1947, termination of employment without sufficient cause or without complying with the statutory requirements can be challenged. If you were terminated without proper notice or compensation, you may have grounds to contest the termination as invalid. You can file a complaint with the Labour Court, which may entitle you to reinstatement with back wages if the termination is found unlawful. It is advisable to gather all employment records and consult the Labour Commissioner in Patna to initiate proceedings.",9.5491,70.959,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
6,"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )",Suppression of Information in Attestation Form → Character and Antecedents Considered for Employment,Suppression of Information in Attestation Form → Character and Antecedents Considered for Employment → Criminal Case Pending Against Respondent → High Court Set Aside Tribunal Order → Para 9 of Offer of Appointment → Deemed Confirmation Claim Raised,"How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","How to get back my original certificate( Coimbatore, Tamil Nadu )","Dear Client,Given your situation, it is advisable to mention your one-month job experience in the SSC CGL attestation form under previous employment. Suppressing information, especially when you have documents like the offer letter, relieving letter, and UAN linked with your Aadhaar, can lead to complications later, including potential termination for not disclosing accurate information. According to Indian employment laws and the guidelines for SSC CGL, honesty in disclosing employment history is crucial. Since your work period was brief and you have documented proof, it should not negatively impact your application, and full disclosure ensures that there are no accusations of hiding relevant information.","The primary legal issue is whether omitting a brief employment period from an attestation form constitutes suppression of information, which could lead to termination under government employment rules. According to the Central Civil Services (Conduct) Rules, 1964, suppression of material facts in employment applications can lead to disciplinary action, including termination. Given that the employment was registered with a UAN linked to your Aadhaar, it is advisable to disclose this employment to avoid any allegations of suppression.

You should include the one-month employment experience in the SSC CGL attestation form to ensure full transparency. Contact the SSC or a legal advisor for further clarification on how to present this information accurately in your application.",13.1851,83.3831,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
7,"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",Appellant Worked for 12 Years → Request for Class IV Post Made,"Appellant Worked for 12 Years → Request for Class IV Post Made → Gujarat Non-Secretariat Clerks, Clerks-cum-Typist Direct Recruitment Procedure Rules, 1990","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I absconded the company with out any notice period.and also I didn't give any resignation also . i recieved a Mail after 20 days  l left the company, regarding termination letter. After 2 months i got the due to shortfall of notice period ,I have to pay  1 month salary.I left the company because of I didn't like the work culture.I tried to tell them regarding resignation but they are not in a mood to listen .so I left the company with any intimation.soi will really get any penalty for not serving notice period?.please hel me in this.do I have to pay money or no need to pay ? Is there anything I can do other than paying money?.please help me in this .( Hyderabad, Telangana )","I have just quit my job on the very first day because the environment and work culture was horrible. I had filled 3 4 forms before joining.

Requisition for issue of photo identity card
Joining form
Salary account declaration
The Professional Confidentiality and Non Disclosure agreement.
And EPF form

There was no mention of notice period or any bond period in any of these forms.

Will there be any demand for money or compensation from the company ?( South Delhi, Delhi )",If not provided then make written application to them for it or take oc from them . After that approach to the court,"The primary legal issue is the non-payment of dues and withholding of employment documents, which may constitute a breach of employment contract and violation of labor laws. Under the Industrial Disputes Act, 1947, and the Payment of Wages Act, 1936, an employee is entitled to receive all due wages and necessary documentation upon termination. The user can file a complaint with the labor commissioner in Raipur for resolution of unpaid dues and withheld documents. Additionally, consider sending a formal legal notice to the employer demanding the release of dues and documents. If these steps do not resolve the issue, pursuing a civil suit for breach of contract may be necessary.",0.8027,35.8271,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
8,"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",Dispute Over Will Validity → Property Owned by Deceased,Dispute Over Will Validity → Property Owned by Deceased,"How to get back my original certificate( Coimbatore, Tamil Nadu )","Principal is using abusing words and mental torches the faculty with her words( Nizamabad, Telangana )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","Hello,As per the information you have given firstly please state the facts clearly and secondly you need not to worry of any sactions that is to be implicated by te company unless and until you have not done anything against the law instead you can file a FIR to piolice for harassment.","This situation involves potential extortion and fraud, which are criminal offenses under the Indian Penal Code (IPC). Section 383 of the IPC defines extortion as intentionally putting a person in fear of injury to induce them to deliver property or money. The threats to upload personal details and arrest family members are illegal and should be reported to the police immediately.

The user should file a complaint with the local police station in Bangalore, providing all evidence of communication and transactions with the perpetrators. Additionally, consider contacting the Cyber Crime Cell, as this involves electronic communication and potential cybercrime. It is crucial not to make any further payments or comply with their demands.",1.1626,49.5119,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
9,"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",Section 5 of the Minimum Wages Act → Court Held Notification Applicable to Employer,Section 5 of the Minimum Wages Act → Court Held Notification Applicable to Employer → Section 14 of the Minimum Wages Act → Section 3 of the Minimum Wages Act → Section 27 of the Minimum Wages Act → State Government Empowered to Fix Minimum Wages for Scheduled Employment,"Hi
My brother was railway employee and he was killed on duty hours 
My family consisting of father and mother both person are aged,  ex- employee or my brother is not married
I applied compassionate ground appointment
And finally authority is rejected 
Reason is 
My father and mother  is alive and  father   capable of earnings
Further  a sum... EGLC and WCA paid 

Now family pension received regularly

Any solution CGA. This is Genuine reason( Kozhikode, Kerala )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","I have worked 5.1 years  in an xxx organisation. They said, in the first year of my experience  I have probation period of six month. So, employer saying that am not eligible for gratuity you would be consider as 4.5 years experiences served in the organisation. So they saying you are not eligible for gratuity . Can you please confirm me whether am eligible for gratuity or not ? Is that training or probation period Iâll affect that gratuity?( Chennai, Tamil Nadu )","Any unaccounted money being deposited to your bank account can cause trouble later on. There two aspects to it.1. If your employer is depositing money then tomorrow or later if the tax authorities check your bank account then they will charge with tax evasion as it will be considered as your income.2. Suppose the company is raided by tax authorities for tax evasion then you will also be considered as partner in crime for allowing your account to be used for it.So, need to be careful.","Under the Minimum Wages Act, the employer must pay at least the minimum wage set by the state government for the specific category of employment. In Maharashtra, the state government is empowered to fix these wages under Section 27 of the Act. The company's request to deposit and then transfer money for ""taxation purposes"" raises potential legal concerns, as it may be a method to manipulate financial records or evade tax liabilities, which could implicate employees in unlawful activities.

Employees should not engage in transactions that lack transparency or could be construed as fraudulent. It is advisable to request a written explanation from the company detailing the purpose and legal basis for this transaction. If concerns persist, consider consulting with a labor law attorney or reporting the matter to the relevant labor authorities for further investigation.",1.3767,48.806,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
10,"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.","Change in Work Hours Not Properly Notified → Section 61 of the Factories Act, 1948","Change in Work Hours Not Properly Notified → Section 61 of the Factories Act, 1948","How to get back my original certificate( Coimbatore, Tamil Nadu )","Principal is using abusing words and mental torches the faculty with her words( Nizamabad, Telangana )","How to file a complaint against the employer to release my pending dues( Mumbai, Maharashtra )","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","The primary legal issue involves workplace discrimination and unfair labor practices. Under the Equal Remuneration Act, 1976, discrimination in the workplace based on gender, among other factors, is prohibited. Additionally, Section 61 of the Factories Act, 1948, mandates proper notification of changes in work hours, which may apply if the MNC is considered a factory under the Act.

The user can file a complaint with the company's HR department or internal grievance committee regarding discrimination and changes in work conditions without proper notice. If unresolved, escalate the issue to the Labor Commissioner or file a complaint with the Equal Employment Opportunity Commission (EEOC) if applicable. Document all instances of discrimination and changes in work conditions to support the complaint.",1.1118,31.4239,19.9922,4.0186,17.6717,20.6511,3.4251,24.9771,5.3815,1.6633,0.9705,24.7785,51.7611,52.2693,84.2518
