sample_id,question,chain_q_orig,chain_q_extended,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu1,bleu2,bleu3,bleu4,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )",IPC_465 -> IPC_467 -> IPC_468 -> IPC_471,IPC_465 -> IPC_467 -> IPC_468 -> IPC_471 -> Indian Penal Code 1860 -> PROC_FORGERY -> forgery -> IPC_191,"Dear Client,Section 67B of the Information Technology Act, 2000, which, after amendment in 2008, criminalizes the publishing, transmitting, or causing the transmission of sexually explicit content. Once a violation of Sec.67B of I T Act, is reported to the Cyber Crime Cell, the matter is suo motto investigated by the authorities and the person may be called on for interrogation to access the source of such offensive posts on social networks and to find out the veracity of the facts from the related intermediaries or service providers. On investigation, if they find the person is in any way violating the provisions of the Act, they can be booked for committing the crime. Further, Section 66E of the Information Technology Act, 2000 deals with the transmission of photos of any personâs private area without his or her consent on social media, which is a criminal offence and the penalty is either three years in prison or a fine of not more than two lakh rupees, or both. On investigation, if the police find that the person is in any way violating the provisions of the Act, he can be booked for committing the crime under Section 66E of the Information Technology Act, 2000. Any person who feels their reputation has been damaged by defamatory statements or acts can sue for defamation under Section 356 of BNS, which replaced Section 499 of IPC. If a person is found guilty of criminal defamation, they can be sentenced to imprisonment for up to two years, a fine, or both under Section 500 of the IPC, replaced by Section 356(2) of the BNS. If required, consult with an Advocate to navigate the issues in the right way.","The act of creating and circulating fake porn to defame someone could involve charges related to forgery under IPC sections like 465, 467, 468, and 471. These sections deal with forgery and using forged documents, which can lead to imprisonment. The specific punishment would depend on the exact charges and court's decision.",0.0323,57.3859,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
2,"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )",CRPC_210 -> ART_20 -> CRPC_317 -> NI_ACT_AMENDMENT_2018,CRPC_210 -> ART_20 -> CRPC_317 -> NI_ACT_AMENDMENT_2018 -> NIA_138 -> cheque_bounce -> CRPC_161 -> Code of Criminal Procedure 1973,"Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.",The fact-rule-chain provided does not directly address your situation. You may consider consulting a legal professional to explore options for filing a lawsuit regarding your experience. They can guide you based on the specifics of your case and local laws.,0.8615,33.3239,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
3,"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )",IPC_309 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_120B -> CRPC_210,IPC_309 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_120B -> CRPC_210 -> Code of Criminal Procedure 1973 -> Indian Penal Code 1860 -> murder -> charge_sheet,"Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","You should be cautious about sharing private photos without consent, as it may have legal implications. It's important to consult a lawyer to understand your options for filing a cross case and using evidence like call recordings. If you feel distressed, consider seeking support from mental health professionals.",1.2542,28.2065,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
4,"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )",IPC_268 -> public_nuisance -> ICA_73 -> PROC_SCST_COMPLAINT,IPC_268 -> public_nuisance -> ICA_73 -> PROC_SCST_COMPLAINT -> Indian Penal Code 1860 -> Indian Contract Act 1872 -> criminal_breach_of_trust -> cheating,"Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.","You may consider approaching local authorities or law enforcement to address the loudspeaker nuisance, as it may fall under public nuisance. The Indian Penal Code 1860 includes provisions related to public nuisance. They can guide you on the appropriate steps to take.",0.8731,75.1317,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
5,"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )",CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210,CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210 -> charge_sheet -> PROC_SCST_COMPLAINT -> PROC_KIDNAPPING -> PROC_SEXUAL_ASSAULT_COMPLAINT,"Arnab goswami was arrested and got bail from supreme court because his name was in suicide note.name in suicide note is very serious and case will easily run for many years although we believe your words and you can be saved.Hope this clarifies,Advocate Ankur Goel",You may consider filing a complaint under CRPC_200 to contest the allegations. The police will investigate the matter under CRPC_156. It might be helpful to gather any evidence or witnesses that support your version of events.,1.0581,24.7682,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
6,"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",IPC_494 -> IPC_200 -> DP_3 -> IPC_467,IPC_494 -> IPC_200 -> DP_3 -> IPC_467 -> Indian Penal Code 1860 -> dowry_harassment -> PROC_FORGERY -> Dowry Prohibition Act 1961,There is no mense rea that is guilt mind...it is no criminal act.,"Forwarding a fake message might not directly fall under the fact-rule-chain provided. Since you deleted it quickly, it may not lead to a criminal case. However, always be cautious with sharing information to avoid potential issues.",1.339,16.5274,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
7,"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )",IPC_120B -> DP_3 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_149,IPC_120B -> DP_3 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_149 -> Indian Penal Code 1860 -> Dowry Prohibition Act 1961 -> dowry_harassment -> criminal_conspiracy,"Dear Sir,Such and criminal case can be quashed by HC.","The fact-rule-chain mentions criminal conspiracy and criminal breach of trust, which might be relevant if the chairman and secretary were somehow involved. However, if they truly knew nothing, it may be difficult to justify a criminal case against them. The situation may require further legal examination based on specific facts.",2.031,38.3424,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
8,"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",DP_3 -> public_nuisance -> IPC_268 -> PROC_CHEQUE_BOUNCE,DP_3 -> public_nuisance -> IPC_268 -> PROC_CHEQUE_BOUNCE -> Indian Penal Code 1860 -> dowry_harassment -> Dowry Prohibition Act 1961 -> PROC_DOWRY_HARASSMENT,"Dear Sir,You may lodge complaint with higher police officers or directly approach Magistrate I filing private complaint under Section 200 Cr.P.C. On registration of private complaint you are sworn statement will be recorded and documents produced by you will be taken on record and then summons will be issued to Accused persons.Rate me Five Star*","It seems there might be concerns related to public nuisance, which is addressed under IPC 268. If there are allegations of causing harm to public spaces, it could be considered under this provision. It is advisable to seek legal assistance to address these issues.",0.9551,34.2883,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
9,"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )",CRPC_210 -> DP_3 -> PROC_CHEQUE_BOUNCE -> PROC_SCST_COMPLAINT,CRPC_210 -> DP_3 -> PROC_CHEQUE_BOUNCE -> PROC_SCST_COMPLAINT -> Code of Criminal Procedure 1973 -> charge_sheet -> Dowry Prohibition Act 1961 -> dowry_harassment,"Dear Sir,You just appear before the Court and tell  the truth and nothing will happen, If you are not in service.","If you did not witness the incident, you should truthfully state this in court. Being honest about your lack of knowledge regarding the event is important. There should not be a problem if you clearly explain your situation to the court.",2.2996,57.0669,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
10,"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )",NIA_138 -> CRPC_41 -> CRPC_73 -> CRPC_160,NIA_138 -> CRPC_41 -> CRPC_73 -> CRPC_160 -> Code of Criminal Procedure 1973 -> cheque_bounce -> Negotiable Instruments Act 1881 -> PROC_CHEQUE_BOUNCE,"Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","The fact-rule-chain does not specify an exact time frame for issuing a Non-Bailable Warrant (NBW) after a judgment. Generally, the issuance depends on the court's discretion and procedural efficiency. It's best to consult the specific court for precise timelines.",1.4719,76.3852,18.5489,2.8405,16.3811,15.0562,30.6933,5.4553,1.6994,0.9075,0.2419,15.2347,48.6965,48.9737,84.4916
