sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"Sir, I took my mother agricultural land after death in 1995, I have renovated with huge amount this land. Now, after 24 years my sister demanding share. Otherwise she wants to file suit for possession. She got rights to claim her share.( Bangalore, Karnataka )",Leave to File Suit Granted → Decree of Declaration and Injunction Obtained,Leave to File Suit Granted → Decree of Declaration and Injunction Obtained → Institution Declared as Religious Denomination,"My mother died recently because of my father who had an illegal affair. So it's my father's turn to torture me because i know his true colors and all the truth. He doesn't earn at all but spends lavishly to keep him happy and make him look good but he doesn't give me and my sister any money even for snacks. Even the food we eat is decided by him. He is torturing me mentally more with each passing day. He is using the worst filthy words against me even MF sometimes. He usually uses sexually bad words against me. And talks cheap of me everytime. I can't take this anymore. Please help me( Coimbatore, Tamil Nadu )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",Hi.. I am a 25 year old single parent..I got divorced a year back..I have decree under guardianship and wardsp Act awarding me guardianship of my 1year daughter..my divorce was mutual consent..subsequently after child birth the hospital authorities issued birth certificate including her father name..I don't want to add his name in anyt documents..I came across supreme court judgment ABC Vs.NCT where mother name is sufficiently enough in any legal document..my question is there any specific government order to substantiate supreme Court order..can I apply for further legal documents with my guardianship decree alone...pls advice rationally,Whatever may be did . But she's legal hair . She having such property right,"Under the Hindu Succession Act, 1956, daughters have equal rights to inherit ancestral property, including agricultural land, following the amendment in 2005. Your sister can legally claim her share of the property, regardless of the renovations you have made. However, if you have been in exclusive possession and have made significant improvements, you may argue for compensation or a larger share based on equitable grounds.

To address this, you can attempt a family settlement or mediation to resolve the issue amicably. If your sister files a suit, gather evidence of your investments and improvements on the land to support your case in court.",0.4329,43.2753,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
2,"My grandfather died intestate. All his children have passed on too. The property still stands in my grandfather's name. How does it get divided between his grandchildren? Do we have to obtain any court order or document to transfer the property to transfer the property to the names of the grandchildren( Mumbai suburban, Maharashtra )",Respondent-Society Owned the Property → Appellant Claimed Right to Possession,Respondent-Society Owned the Property → Appellant Claimed Right to Possession,"My mother died recently because of my father who had an illegal affair. So it's my father's turn to torture me because i know his true colors and all the truth. He doesn't earn at all but spends lavishly to keep him happy and make him look good but he doesn't give me and my sister any money even for snacks. Even the food we eat is decided by him. He is torturing me mentally more with each passing day. He is using the worst filthy words against me even MF sometimes. He usually uses sexually bad words against me. And talks cheap of me everytime. I can't take this anymore. Please help me( Coimbatore, Tamil Nadu )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",Hi.. I am a 25 year old single parent..I got divorced a year back..I have decree under guardianship and wardsp Act awarding me guardianship of my 1year daughter..my divorce was mutual consent..subsequently after child birth the hospital authorities issued birth certificate including her father name..I don't want to add his name in anyt documents..I came across supreme court judgment ABC Vs.NCT where mother name is sufficiently enough in any legal document..my question is there any specific government order to substantiate supreme Court order..can I apply for further legal documents with my guardianship decree alone...pls advice rationally,"Dear Sir,Section 8 of Hindu Succession  Act:====================================================================General rules of succession in the case of males.âThe property of a male Hindu dying intestateshall devolve according to the provisions of this Chapter:â(a) firstly, upon the heirs, being the relatives specified in class I of the Schedule;CLASS ISon; daughter; widow; mother; son of a pre-deceased son; daughter of a pre-deceased son; son of a pre-deceased daughter; daughter of a pre-deceased daughter; widow of a pre-deceased son; son of a pre-deceased son of a pre-deceased son; daughter of a pre-deceased son of a pre-deceased son; widow of a pre-deceased son of a pre-deceased son.=============================================================================Distribution of Property after Death â Hindu MaleFor Hindus, testamentary succession (succession by way of Will) is as per the Indian Succession Act and intestate succession (succession without Will) is as per the Hindu Succession Act. In this article, we look in detail the process for distribution of property after death of a Hindu male as per the Hindu Succession Act.Class 1 HeirsThe Hindu Succession Act groups the heirs of a male Hindu into four categories and lays down that his/her inheritable property devolves firstly upon the heirs specified in Class I which are as under:â¢	Sonsâ¢	Daughtersâ¢	Widowâ¢	Motherâ¢	Son of a pre-deceased sonâ¢	Daughter of a pre-deceased sonâ¢	Son of a pre-deceased daughterâ¢	Daughter of a pre-deceased daughterâ¢	Widow of a pre-deceased sonâ¢	Son of a pre-deceased son of a pre-deceased sonâ¢	Daughter of a pre-deceased son of a pre-deceased sonâ¢	Widow of a pre-deceased son of a pre-deceased sonâ¢	Son of a predeceased daughter of a predeceased daughterâ¢	Daughter of a deceased daughter of a predeceased daughterâ¢	Daughter of a predeceased son of a predeceased daughterâ¢	Daughter of a predeceased daughter of predeceased sonAll these heirs inherit simultaneously and to the exclusion of other heirs. In the absence of any of the heirs in this category, the property devolves upon the enumerated heirs specified in class II.Class 2 HeirsThe devolution in Class II heirs is made in the absence of any heir in Class I and in such a manner that heirs specified in a particular entry share equally. For this purpose if more than one heir is specified in a single entry, they share the property simultaneously and equally to the exclusion of those specified in subsequent entries. Class 2 heirs include:â¢	Fatherâ¢	Sons daughterâs sonâ¢	Sons daughterâs daughterâ¢	Brotherâ¢	Sisterâ¢	Daughters sonâs sonâ¢	Daughters sonâs daughterâ¢	Daughters daughterâs sonâ¢	Daughters Daughterâs daughterâ¢	Brothers sonâ¢	Sisters sonâ¢	Brothers daughterâ¢	Sisters daughterâ¢	Fathers fatherâ¢	Fathers motherâ¢	Fathers widowâ¢	Brothers widowâ¢	Fathers brotherâ¢	Fathers sisterâ¢	Mothers fatherâ¢	Mothers motherâ¢	Mothers brotherâ¢	Mothers sisterAgnatesIn case a Hindu male passes away intestate and leaves no class 1 or class 2 heirs, then the property would devolve on agnates. A person is said to be an agnate of another if the two are related by blood or adoption wholly through males. Agnate relationship does not extend to relationship by marriage and is restricted to relationship by blood. Also, agnate does not include widows of lineal descendants of the intestate.CognatesIf a Hindu male passes away without a Will and has no class 1 or class 2 heirs or agnates, then the succession would be through cognates. Cognates are ones who are related to the intestate by blood or adoption but not wholly, through males. Thus motherâs brotherâs son and brotherâs daughters son are cognates, eligible for heirship.","Under the Hindu Succession Act, 1956, if a Hindu male dies intestate, his property is divided among his legal heirs. Since all of your grandfather's children (his legal heirs) have passed away, the property would typically devolve upon the grandchildren. The grandchildren can inherit the property per stirpes, meaning they inherit their deceased parent's share.

To transfer the property to the grandchildren's names, a succession certificate or legal heirship certificate may be required. The grandchildren should file an application with the appropriate civil court in Mumbai for the issuance of a succession certificate. Once obtained, this certificate can be used to update property records with the local municipal authority.",0.0362,69.8285,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
3,"What to do my wife has put all possible charges against me and my parents like dowry sexual abuse by me and my father , domestic violence, my father is 64 years please advice what to do( Kanpur, Uttar Pradesh )",Wife Suffered Domestic Violence → Husband Accused of Attempted Murder,Wife Suffered Domestic Violence → Husband Accused of Attempted Murder,"I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",Hi.. I am a 25 year old single parent..I got divorced a year back..I have decree under guardianship and wardsp Act awarding me guardianship of my 1year daughter..my divorce was mutual consent..subsequently after child birth the hospital authorities issued birth certificate including her father name..I don't want to add his name in anyt documents..I came across supreme court judgment ABC Vs.NCT where mother name is sufficiently enough in any legal document..my question is there any specific government order to substantiate supreme Court order..can I apply for further legal documents with my guardianship decree alone...pls advice rationally,"I am married legally and we had marriage registry also one year past.But the problem is my husband has a ex-wife and a child but he left them about 5 years ago without any divorce as the girl was not good she was physically active with other boys.We are Muslim and he married her in Islam agreement they had not done any registry marrige.So the problem is I am scared the she didn't know about our marrige as we had done registry and marrige in House by Kaji we had not done marrige celebrations or ceremony we will do later as he is now busy with his work but .So if she comes to know about that she might come back and file case or do some disturbance or try to break our marrige by fighting with local areas mens or with her family.And my husband legally can't gave her divorce beacuse she was demanding a huge money which was impossible for my husband.Does our marrige have no right? can't we protect that situation?Is there any way to handle in this situation?( Howrah, West Bengal )","Hello,If a false complaint is registered against you by your wife, you have two options â either to defend your case and wait for the judgement or to file a counter case against your wife under S 153(4) CrPC. Meanwhile you can also apply for an anticipatory bail.","In your situation, the primary legal issue involves defending against charges of dowry harassment and domestic violence, which are typically filed under Section 498A of the Indian Penal Code and the Dowry Prohibition Act. It is crucial to apply for anticipatory bail for yourself and your father to prevent arrest, as these charges are non-bailable. You should gather evidence that refutes the allegations, such as witness statements, communication records, or any other documentation that supports your defense. Additionally, consider filing a petition under Section 482 of the Criminal Procedure Code to quash the FIR if the allegations are demonstrably false. Consulting with a local criminal defense attorney who can represent you in court and guide you through the legal process is advisable.",1.2051,41.0381,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
4,"How to apply caste certificate( Srikakulam, Andhra Pradesh )",Scheduled Caste Certificate Cancelled → Criminal Case Pending for Fraud,Scheduled Caste Certificate Cancelled → Criminal Case Pending for Fraud → Marriage Performed as per Vedic Hindu Rites,My brother creating domestic violence and abusing my mother and sister and physical hurting every one with provocation of his wife.,"Domestic violence abused use lanuages( Ghaziabad, Uttar Pradesh )","For a married couple, is it advisable to spend money on siblings ?( Guntur, Andhra Pradesh )","Dear Client,The Cast certificate document in India can be taken online or from the Revenue Departmentâs local office or the SDM office. A local inquiry is conducted when the caste certificate is issued for the first time to a particular family. The documents to be kept handy are-  State residence proof for a specific period, Specified court stamp fee and, An affidavit in support of the caste. This caste certificate is to be uploaded in the very prescribed format of the respective institute where it should be submitted or uploaded.  To obtain Caste Certificate in India , you must have some documents along with the application including- Application Form, Residence Proof, Copy of the Birth Certificate, Copy of the Ration card, Copy of income certificate, Copy of the Voter ID or electoral roll, Aadhar Card and Photograph. We hope that our response is helpful to you.","To apply for a caste certificate in Andhra Pradesh, particularly if the previous certificate was canceled due to pending fraud charges, the applicant must ensure all legal issues are resolved. Under the Andhra Pradesh Scheduled Castes, Scheduled Tribes, and Backward Classes Regulation of Issue of Community Certificates Act, 1993, the applicant must provide proof of community, usually through documentation such as family records or affidavits from community leaders. Legally, an applicant cannot obtain a new caste certificate if the previous one was canceled due to fraud unless the issue is rectified.

Next steps: Resolve any pending criminal cases related to fraud, possibly by seeking legal representation to address the charges. Once resolved, gather necessary documentation and apply through the local Mandal Revenue Office (MRO) or online via the MeeSeva portal.",1.3173,69.2745,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
5,"My Aunt (Father's Sister) was not available at the time of GIFT DEED written on my name by my GRAND PARENT'S and they have only two kids (DAD and AUNT) and my aunt has son and daughter and they live in Chennai and my AUNT is willing to give NO OBJECTION DOCUMENT. So can i take any NO OBJECTION Couriered to her and signed and returned back to me as a supporting document of GIFT DEED, So that i don't need her signature in future if i want to sell the property.( Hyderabad, Andhra Pradesh )",Validity of Gift Deed Established → Claim of Heirs to Property,Validity of Gift Deed Established → Claim of Heirs to Property → Section 48 of the Marumakkathayam Act,"I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",A maintenance CRP case is in proceeding with the family court. The respondent gave a counter that he is ready now to live a happy conjugal life with the petitioner. The petitioner agreed and requested the family court to issue an observation order so that the petitioner can join the respondent in the eyes of justice . The family court who had assured to take care the safety of the petitioner denied the observation period. The family court further said that it is up to the petitioner to join the respondent or not. But the family court cannot issue an observation order. Did the family court judge did a right thing? What should the petitioner do as she is not comfortable to join without an observation order issued by the family court ?,"Wife found guilty in sec 125 and rcr sec 9 as she provided false information to hon. court and filed out of jurisdiction cases at family court and executed it for long 5 years. Now court said that she may undergo legal remedy as per law if so advised. What is Legal Remedy under law for filing false and out of jurisdiction case on false information and cheating the Court.( Mumbai City, Maharashtra )",Yes. But it is not required strictly as far as as it is not going to  be challenged on one ground or the other. Thanks,"The most important legal point is that the validity of the gift deed is established under the Marumakkathayam Act, and your aunt's consent is not required if the deed is valid and properly executed. However, obtaining a No Objection Certificate (NOC) from your aunt can be beneficial as a precautionary measure to prevent future disputes. Legally, you can have the NOC drafted, signed, and notarized by your aunt in Chennai, and then couriered back to you. Ensure that the NOC clearly states her acknowledgment of the gift deed and her lack of claim to the property. This document can serve as additional evidence of her consent, should any claims arise in the future.",1.4512,10.5519,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
6,"Is there any legal way to ask financial support from my father bcos i turned 18 in jan 2022 and he left me and completely refused to give a single penney. Can I  get a legal help?( Surat, Gujarat )","District Magistrate Required to Give Opportunity to Tenant → Section 16(1) of the Uttar Pradesh Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972","District Magistrate Required to Give Opportunity to Tenant → Section 16(1) of the Uttar Pradesh Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972 → Proviso to Section 16(1) Not Applicable for Release to Landlord","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Property in the name of mother now  her son wife means daughter in law asking property as Bec her husband died. Even she was asking father in law share. But issue was all property in the name of mother in law and father in law died even his son also died. Issue was can daughter in law go to court to ask share of his husband.. 
Means father in law property...( Dharwad, Karnataka )","The opposite party filed some xerox copies through list of documents in family court. Can I get the certified copy. If no what is the way to get it. I was allowed to take the Xerox copy what it I myself take the documents and validated through notry to make it true copy that these xerox were filed by the opposite party and ask opposite party to validate by filing a rejoinder. Now can I get the the certified copy now? Or any other way( Dhanbad, Jharkhand )","Dear ClientAs per the Section 125 of Cr.P.C. only a minor child can ask for maintenance from the father or a major child who suffers from some disability.Even under the Hindu Adoption and Maintenance Act, 1956, Section 20 only a minor child can ask for maintenance.","Under Indian law, an adult child who is unable to maintain themselves due to physical or mental incapacity may seek maintenance from their father under Section 125 of the Code of Criminal Procedure, 1973. However, if you are capable of maintaining yourself, the law generally does not obligate your father to provide financial support after you turn 18. To pursue legal action, file an application for maintenance in the Family Court, demonstrating your inability to maintain yourself due to specific reasons. Consult a local attorney to assist with filing the application and representing your interests in court.",2.6103,69.3078,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
7,"Mere father apne 3 sons m se kisi ek ko apni property ka extra part de to other son case kr ke us property ko distribute kara sakte ya nhi( Jhansi, Uttar Pradesh )","Payment Made to Other Claimants → Section 275 of the Indian Succession Act, 1925","Payment Made to Other Claimants → Section 275 of the Indian Succession Act, 1925 → Division Bench Dismissed Appeal → Section 53 of the Transfer of Property Act → Claim for G.P.F. by Respondent → Succession Certificate Required for Claim","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","The opposite party filed some xerox copies through list of documents in family court. Can I get the certified copy. If no what is the way to get it. I was allowed to take the Xerox copy what it I myself take the documents and validated through notry to make it true copy that these xerox were filed by the opposite party and ask opposite party to validate by filing a rejoinder. Now can I get the the certified copy now? Or any other way( Dhanbad, Jharkhand )","Property in the name of mother now  her son wife means daughter in law asking property as Bec her husband died. Even she was asking father in law share. But issue was all property in the name of mother in law and father in law died even his son also died. Issue was can daughter in law go to court to ask share of his husband.. 
Means father in law property...( Dharwad, Karnataka )","Dear Sir,During the lifetime of father no one has any right over his property.","Under Hindu Succession Act, 1956, a father has the right to distribute his self-acquired property as he wishes, including giving an extra share to one son. Other sons cannot legally challenge this distribution unless they can prove undue influence or coercion. If the property is ancestral, all sons have an equal right, and any unequal distribution can be contested in court.

To address this situation, determine whether the property is self-acquired or ancestral. If it is ancestral, file a partition suit in the civil court to claim an equal share. If it is self-acquired, legal recourse is limited unless there is evidence of coercion or undue influence.",0.5388,48.3158,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
8,"If run away couple are 20yrs old both..girl and boy(girl is above 18 but boy is not above21) with consent of girl and For girl run away from home is necessary as she has threat of life and liberty and if they run they as per law they can't do marriage as boy is not above 21..what The Boy can Do In Such Circumstances? As girl's parents often file complaints like rape, kidnapping, brain washing etc.( Vadodara, Gujarat )",Marriage of Minor Girl Disputed,Marriage of Minor Girl Disputed,"I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","My mother died recently because of my father who had an illegal affair. So it's my father's turn to torture me because i know his true colors and all the truth. He doesn't earn at all but spends lavishly to keep him happy and make him look good but he doesn't give me and my sister any money even for snacks. Even the food we eat is decided by him. He is torturing me mentally more with each passing day. He is using the worst filthy words against me even MF sometimes. He usually uses sexually bad words against me. And talks cheap of me everytime. I can't take this anymore. Please help me( Coimbatore, Tamil Nadu )",Hi.. I am a 25 year old single parent..I got divorced a year back..I have decree under guardianship and wardsp Act awarding me guardianship of my 1year daughter..my divorce was mutual consent..subsequently after child birth the hospital authorities issued birth certificate including her father name..I don't want to add his name in anyt documents..I came across supreme court judgment ABC Vs.NCT where mother name is sufficiently enough in any legal document..my question is there any specific government order to substantiate supreme Court order..can I apply for further legal documents with my guardianship decree alone...pls advice rationally,Wait for the guy to be 21 and thereafter get married. Precautionary steps.1. Gain the trust of the female2. Charges of rape etc may take place3. Start living in together4. Keep proofs that she was living consent fully with you for eg. open a joint bank account or any other thing.,"The primary legal issue is the legality of the marriage due to the boy being under 21, as per the Prohibition of Child Marriage Act, 2006, which requires the male to be at least 21 years old to marry. Since the boy is underage, the marriage cannot be legally solemnized. However, both individuals are above the age of consent, so consensual sexual relations are not considered rape under Section 375 of the Indian Penal Code.

The boy should ensure that any interaction with the girl is consensual and that they maintain evidence of the girl's consent to protect against allegations of kidnapping or rape. Filing a writ petition for protection under Article 21 of the Constitution, citing threats to life and liberty, may be a viable legal step. Additionally, they should seek legal counsel to explore the possibility of obtaining anticipatory bail to preemptively address any criminal complaints filed by the girl's parents.",0.94,59.6626,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
9,"I am a widow. I have 2 daughters from first marriage, the elder is 19 years and the younger is 13 years. I am planning for second marriage with a widower with 2 kids, how to protect my property. Will the second husband have the rights on my property after marriage. Please suggest.( Bangalore, Karnataka )",Disciplinary Proceedings Initiated for Second Marriage → Termination of Services Challenged,Disciplinary Proceedings Initiated for Second Marriage → Termination of Services Challenged → Rules for Discharge of Secretary Examined → Allegation of Second Marriage Against Conduct Rules → New Board Established Under 1963 Act,"I have a son who is so much irresponsible,he has created issues for the family including debts(above 16lkh), destruction of the family name, embarrassing whole family..we have done our best and paid most of his debts and tried holding him close ..He has turned 26 nd yet he is not ready to change..we need to take a legal action against him and forbid him frm our family..how should we move legally against him?( Kollam, Kerala )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Sir .
My name Mahesh Kumar Sharma
In my wife documents her name mentioned.
Ankita Mahesh Kumar . before marriage wife name Ankita Kumari  before marriage wife have no property or any investment nothing she has before marriage 
In her documents Husband name colume Mahesh Kumar Sharma. Mentioned 

My question is in his name my surname not mentioned is it create any problem to transfer property or any other one like visa or any other

We have only single family In.
ration card and in Rajasthan Jan adhar card all my name as par Addhar card .
Like my Name Mahesh Kumar Sharma
My wife name Ankita Mahesh kumar .

Is it ok our we face any issue please reply .( Pali, Rajasthan )","Hi,If you are alive the husband has no right over your self acquired property or ancestral property. After the death the husband has right over your property. If wife dies without executing a will her husband and children will succeed to her share in the ancestral property.If you like my answer, please give a good review.","Under Indian law, a second husband does not automatically have rights to a wife's property acquired before marriage. According to the Hindu Succession Act, 1956, property owned by a woman prior to her marriage remains her separate property, and she has full rights to manage, sell, or bequeath it as she wishes. To further protect the property, consider drafting a prenuptial agreement specifying that the property remains solely yours and is not subject to claims by the new spouse.

Next steps include consulting a family lawyer to draft and execute a prenuptial agreement, and updating your will to clearly define the distribution of your assets to your daughters. Additionally, ensure all property documents are in your name and consider registering them as such if not already done.",0.9892,53.3253,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
10,"My girlfriend is Indonesian and lives in Indonesia. She got married forcefully married in April this year. I am thinking to get her to India secretly and get her pregnant so that she easily gets divorced. Are there any legal issues in this step? Actually, no other way seems possible, I really want to live my whole life with her.( Ghaziabad, Uttar Pradesh )",Wife Refused to Live with Husband,Wife Refused to Live with Husband,"I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","We got married 7 months ago with Hindu rituals itâs a love Cum arranged interstate marriage accepted by both parents . Before marriage they said they donât need dowry or any gifts to them or the grooms sister . But Soon after marriage the family started demanding for gifts etc .The guy is unemployed from start and Iâm a Govt employee we both stayed at my place .Then he left me after knowing Iâm pregnant saying pregnancy is a mistake and Iâm not responsible and run away with his parents .What action I should take now ? I donât want divorce I need father to my future baby( Chittoor, Andhra Pradesh )","I got married to a guy who is working in dubai native of andhra pradesh,india..after marriage i stayed with him till 3 months..once i concieved got back to my parents..from day 1 after marriage in -laws are harrasing alot for more dowry and abusing a lot..they thretened my husband not to talk to me and my parents..i gave birth to a baby girl..

many issues happened meanwhile..some of our relatives involved to resolve this..but of no use..they are abusing all of us and threatning to do whatever we want..it's been 2years of my marriage..from 2 months my husband is not attending our calls and not responding..
please advice me what to do and to proceed..we contacted police in our locality.
.but of no use as they are saying that he is NRI we can't do anything.How to get him in contact to solve this..whether he want lo live with me or not..how long i have to wait with a child without contact with him..
please help me out of this ..

awaiting your reply..

thank you( Vijayawada, Andhra Pradesh )","hi,since the marriage took place without her consent, she can file for divorce in Indonesia.having said that  you getting her pregnant will end up landing the future baby into an illegitimate child and have complications in getting divorce too.","Engaging in a plan to bring your girlfriend to India secretly and get her pregnant to facilitate a divorce is legally problematic and potentially criminal. Under Indian law, abducting or inducing a married woman to compel her to marry another person is an offense under Section 366 of the Indian Penal Code. Additionally, any act that constitutes adultery could have legal consequences under Indonesian law, which may apply given her current residence and marital status.

Instead, advise her to seek legal counsel in Indonesia to explore legitimate avenues for annulment or divorce based on coercion or forceful marriage. If she wishes to relocate to India, ensure all immigration procedures are followed legally.",1.241,80.056,19.7511,3.7534,17.3412,20.3194,3.1377,22.8672,4.8166,1.6693,0.8832,20.7651,54.3126,57.5294,83.9892
