sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,rouge1,rouge2,rougel,meteor,bertscore
1,"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )",MHA_114 → RPSR_34 → RPSR_8932 → EPF_AT,MHA_114 → RPSR_34 → RPSR_8932 → EPF_AT → RPSR → MHA → MHA_34 → RPSR_15,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I'm 23 &amp; worked as a Social media executive &amp; writer in a startup. My boss is making excuses and refusing to pay back the salary of around 4 months. It's been around 1 year and 10 months, even after several requests and pleas, he isn't paying the salary. Although it's not a big amount, it ranges between 45k-50k. But as a 23-year-old it's a big amount for me. I need my hard-earned money. Pls, advise what should I do? 

Note: It will be helpful if the suggestions are of not too much hassle and within my affordability.( Thane, Maharashtra )","Joined TCS Mumbai on 4th June 2021 as consultant with joining bonus. Due to profile mismatch, overtime, verbal harassment and no response from higher management, i resigned and sent an email on 3-Aug (within probation), requesting them to relieve on 31-Aug. They were delaying and asked me to contact this and that person. Later, by 7-Aug, they blocked my laptop access. I could not work within notice period. In offer letter, appointment letter, internal policy - notice period after probation or confirmation only mentioned.
I returned company laptop. Got my salary, variable pay too.
Now after 1.5 years- they have sent me legal notice asking recovery of bonus and 2 months shortfall basic salary, within a week- else legal action. ( No calls or emails- they had my old defunct hotmail ID).meanwhile, i shifted to different city twice, but my phone number was same. Never ever they called me. They used very bad language- ""you had fraudulent intentions to dupe company etc.""

Please advise.( Pune, Maharashtra )",Dear ClientI think you have a valid case to ask for regularization but then to be very specific you need to share the contract and service rule book with us so that I can then provide you the more specific or exact answer on that. But as said prima-facie you have a case.,"Under Indian law, regularization of employment for contract workers in government departments is governed by the principles laid down in cases such as ""Secretary, State of Karnataka v. Umadevi (3)"" (2006) 4 SCC 1. The Supreme Court held that regularization is not a right and can only be granted if the employment is in accordance with the rules and there is a sanctioned post. Since you have been on contract for over 10 years with yearly extensions, there might be a basis to argue for regularization if you can demonstrate that your role fulfills a permanent need and there are sanctioned posts available.

However, mere continuation on a contract does not automatically entitle you to regularization. You can file a writ petition in the Delhi High Court seeking regularization, citing your long tenure and the nature of your duties. Consulting a lawyer to evaluate your specific circumstances and assist with drafting the petition would be a prudent next step.",20.3662,4.4379,18.1692,20.6204,84.4515
2,"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )",IRC_72 → FIN_A_8 → PSI_9 → RPSR_5923A,IRC_72 → FIN_A_8 → PSI_9 → RPSR_5923A → RPSR → FIN_A → IRC → PSI,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","In my graduation 3rd year marksheet my date of birth 21-jun-1993, seen 21-jun-1983 from distance, but actual it 21-jun-1993 when seen by lens, in 1993 third digit 9 is likely shaped birthday candel 9, and shape is likely 9,. Qr code represent 21-jun-1993 also. 
Please suggest me that ...should I do apply reprint in University or not? Is there any problem in govt job?( Bundi, Rajasthan )","Widow daughter can get family pension of panchayat taj dept employees.( North 24 Parganas, West Bengal )","A.Dear Sir,Yes, you can file but success rate is very low and remote.","Yes, a writ petition can be filed in the High Court under Article 226 of the Constitution of India if there is evidence of fraudulent selection or political interference in the appointment process of an Anganwadi worker. This is because such actions may violate principles of fairness and transparency required in public employment. However, the petitioner must provide concrete evidence of the alleged fraud and interference to support the claim.

To proceed, gather all relevant documents and evidence that demonstrate the irregularities in the selection process. Consult with a lawyer to draft and file the writ petition, ensuring it includes all necessary details and legal grounds for challenging the selection.",20.3662,4.4379,18.1692,20.6204,84.4515
3,"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )",MBA_10 → FA_79 → SPE_4 → MTW_24,MBA_10 → FA_79 → SPE_4 → MTW_24 → wages → SPE → Maternity Benefit Act 1961 → Factories Act 1948,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I am working in indian software MNC from october 2008 till date from 2008-2018 I was medically fit from 2018 I suffering from asthma, hip joint bone AVN disorder but this is not affecting my office work at all my office work performance is good so currently I am asking for work from home so can my employer terminate me for medical health( Pune, Maharashtra )","Dear Client,In India, the Maternity Benefit Act, 1961, governs maternity benefits for women employees. According to the Act, you are entitled to maternity leave if you have worked for your employer for at least 80 days in the 12 months immediately preceding your expected date of delivery. The Act does not specify a requirement for providing notice three months in advance. It's more about the duration of your employment before the expected delivery date. Go through your employment contract and your company's HR policies to understand the terms and conditions regarding maternity leave.","Under the Maternity Benefit Act 1961, an employee is entitled to maternity leave and benefits if she has worked for at least 80 days in the 12 months preceding her expected delivery date. The Act does not require a three-month notice for maternity leave; instead, it mandates that the employer must be informed as soon as practicable. Since you applied for leave on 31 March 2023 and delivered on 18 April 2023, you are entitled to maternity benefits.

You should formally request the benefits in writing, citing the Maternity Benefit Act 1961. If your employer still refuses, file a complaint with the labor commissioner in Uttar Pradesh.",20.3662,4.4379,18.1692,20.6204,84.4515
4,"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )",ESI_2 → ESI_2A → ESI_10 → ESI_20,ESI_2 → ESI_2A → ESI_10 → ESI_20 → Employees State Insurance Act 1948 → esi → ESI_73A → ESI_86,"Hello Sir/Mam,

I was worked for a private IT company 5 days working a week for 4 years, 7 months and 24 days. Now when i asked company to pay the gratuity amount. They deny it saying i need to complete 5 years to become eligible for gratuity. But as per my research and finding a one should be eligible after 4 years, 190 days. Please help me out how to proceed further.( Jaipur, Rajasthan )","I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","In my graduation 3rd year marksheet my date of birth 21-jun-1993, seen 21-jun-1983 from distance, but actual it 21-jun-1993 when seen by lens, in 1993 third digit 9 is likely shaped birthday candel 9, and shape is likely 9,. Qr code represent 21-jun-1993 also. 
Please suggest me that ...should I do apply reprint in University or not? Is there any problem in govt job?( Bundi, Rajasthan )","Dear Client,Yes, you may. The eligible dependents benefit in favour of the injured/deceased in accordance with law within a period of four weeks. Kindly consult a lawyer. Check out the case Room No.9 vs Sub-Regional Office.Thank you!","Under the Employees State Insurance Act, 1948, compensation may be claimed if an employee suffers an injury or death arising out of and in the course of employment. Section 51 of the Act provides for dependents' benefits in case of death due to employment injury. If the stroke can be linked to work-related stress or conditions, the dependents of the deceased worker may be eligible for compensation.

The family should file a claim with the Employees' State Insurance Corporation (ESIC) providing medical and employment records to establish the connection between the stroke and employment conditions. If ESIC denies the claim, the family can appeal the decision before the Employees' Insurance Court under Section 74 of the Act.",20.3662,4.4379,18.1692,20.6204,84.4515
5,"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )",IDA_17B → EPF_12 → ESI_72 → ISM_12,IDA_17B → EPF_12 → ESI_72 → ISM_12 → ISM → Industrial Disputes Act 1947 → wages → Employees State Insurance Act 1948,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I am working in indian software MNC from october 2008 till date from 2008-2018 I was medically fit from 2018 I suffering from asthma, hip joint bone AVN disorder but this is not affecting my office work at all my office work performance is good so currently I am asking for work from home so can my employer terminate me for medical health( Pune, Maharashtra )","Dear Client,If you have been terminated from your company without any reason and have received only 6 days' extra pay beyond the days you worked, you may have grounds for legal action under Indian labor laws. The Industrial Disputes Act, 1947, protects employees from unfair dismissal and ensures that employers provide a valid reason for termination. Additionally, under the Payment of Wages Act, 1936, employees are entitled to receive full and timely payment of their due wages. You should send a formal written complaint to your employer detailing your grievance and request the full payment you are owed. If the issue is not resolved, you can file a complaint with the labor commissioner or seek legal counsel to take the matter to the labor court to claim your rightful dues and any additional compensation for wrongful termination.","Under the Industrial Disputes Act 1947, an employee cannot be terminated without a valid reason and due process, which includes providing a notice period or compensation in lieu thereof. If terminated without cause, you may have grounds to challenge the termination as an unfair labor practice. You can file a complaint with the labor commissioner in Patna to seek redress for wrongful termination and unpaid dues. Additionally, consider issuing a legal notice to your employer demanding the full payment of wages and any other entitlements.",20.3662,4.4379,18.1692,20.6204,84.4515
6,"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )",relieving_letter → GST_143 → BTC_292 → EC_RULES_68,relieving_letter → GST_143 → BTC_292 → EC_RULES_68 → EC_RULES → BTC → GST → wages,"I'm 23 &amp; worked as a Social media executive &amp; writer in a startup. My boss is making excuses and refusing to pay back the salary of around 4 months. It's been around 1 year and 10 months, even after several requests and pleas, he isn't paying the salary. Although it's not a big amount, it ranges between 45k-50k. But as a 23-year-old it's a big amount for me. I need my hard-earned money. Pls, advise what should I do? 

Note: It will be helpful if the suggestions are of not too much hassle and within my affordability.( Thane, Maharashtra )","Joined TCS Mumbai on 4th June 2021 as consultant with joining bonus. Due to profile mismatch, overtime, verbal harassment and no response from higher management, i resigned and sent an email on 3-Aug (within probation), requesting them to relieve on 31-Aug. They were delaying and asked me to contact this and that person. Later, by 7-Aug, they blocked my laptop access. I could not work within notice period. In offer letter, appointment letter, internal policy - notice period after probation or confirmation only mentioned.
I returned company laptop. Got my salary, variable pay too.
Now after 1.5 years- they have sent me legal notice asking recovery of bonus and 2 months shortfall basic salary, within a week- else legal action. ( No calls or emails- they had my old defunct hotmail ID).meanwhile, i shifted to different city twice, but my phone number was same. Never ever they called me. They used very bad language- ""you had fraudulent intentions to dupe company etc.""

Please advise.( Pune, Maharashtra )","I'm working in American MNC ( Concentrix Daksh services India Pvt Ltd) situated in Gurugram, haryana, India. The nature of company is service provider to top clients including global tech giants. And I'm working for one of the world's biggest tech giant (Google TVC ), by providing services in specific project on behalf of above mentioned company (CNX ). So, I came to know that we are offered very less salary as compared to average salary in other regions in world and no where near the average salary of Google. And recently it's highlighted by whistleblower that Google illegally underpaid thousands of workers in many countries breaching pay parity laws. So I need advice in context of that if pay parity laws says in US that Google TVCs ( temporary, vendors and contractual workers ) are entitled to equal compensation. So is it possible to highlight same issue in India as well, and if yes, how to do it and how to get success in receiving the entitled compensation from Google or main company ( cnx), ( which ever is culprit ). I'm adding few links for references and better understanding. https://amp.theguardian.com/technology/2021/sep/10/google-underpaid-workers-illegal-pay-disparity-documents https://payparity.org/( North Delhi, Delhi )","Dear Client,Given your situation, it is advisable to mention your one-month job experience in the SSC CGL attestation form under previous employment. Suppressing information, especially when you have documents like the offer letter, relieving letter, and UAN linked with your Aadhaar, can lead to complications later, including potential termination for not disclosing accurate information. According to Indian employment laws and the guidelines for SSC CGL, honesty in disclosing employment history is crucial. Since your work period was brief and you have documented proof, it should not negatively impact your application, and full disclosure ensures that there are no accusations of hiding relevant information.","In the context of SSC CGL and government job applications, full disclosure of past employment is crucial to avoid any accusations of suppression of information, which could lead to termination. The Central Civil Services (Conduct) Rules, 1964, emphasize the importance of honesty and integrity in government service. Therefore, it is advisable to mention your one-month employment in the attestation form to ensure transparency.

You can legally include this employment experience since you have documentation (offer and relieving letters) to support it. Ensure that all details are accurately reflected in the form. If any discrepancies arise, having supporting documents will be beneficial.",20.3662,4.4379,18.1692,20.6204,84.4515
7,"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",IDA_17B → EPF_12 → ESI_72 → ISM_12,IDA_17B → EPF_12 → ESI_72 → ISM_12 → ISM → Industrial Disputes Act 1947 → wages → Employees State Insurance Act 1948,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I was sick with covid in the month of April. So I didnt work for April, May and June, but marked the attendance on the company portal. I recieved salary for all these months with salary slips. Now they mailed me not to mark attendance for july and saying they will adjust april, may and june salary when I start working again. Can they do that? Should I mark july's attendance? Can they take any legal action against me? I have marked the attendance on the portal, is anything wrong in that?( New Delhi, Delhi )",If not provided then make written application to them for it or take oc from them . After that approach to the court,"Under the Payment of Gratuity Act, 1972, an employee who has completed five years of continuous service is entitled to gratuity upon termination. Given your 12 years of service, you are entitled to gratuity and a full settlement of dues. Legally, the company must provide a full account of payments and issue a no-dues certificate.

You can file a complaint with the labor commissioner in Raipur to address the non-payment and documentation issues. Additionally, consider sending a formal legal notice to your employer demanding the release of all pending dues and necessary documents.",20.3662,4.4379,18.1692,20.6204,84.4515
8,"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",CCS_ME → GST_69 → GST_66 → EC_RULES_66,CCS_ME → GST_69 → GST_66 → EC_RULES_66 → EC_RULES → GST → GST_130 → CCS_ME_5,"I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","Dear Sir/Ma'am,
I was worked in pvt ltd. company for 32 days (21 days in January and 11 days in February) when i asked for salary via mail (there is no HR team) they reply to me we will pay salary in 60 days if you r comfortable then ok other wise we will terminate you, so that i resigned from my job, now they are not pay salary.( Hyderabad, Telangana )","Hello,As per the information you have given firstly please state the facts clearly and secondly you need not to worry of any sactions that is to be implicated by te company unless and until you have not done anything against the law instead you can file a FIR to piolice for harassment.","This situation appears to be a scam involving extortion, which is illegal under Section 384 of the Indian Penal Code (IPC). The demand for money under threat of harm or reputational damage is a criminal offense. Legally, you are not obligated to pay any further amounts, and the threats made against you and your family are unlawful. Immediately report the incident to the local police station and provide them with all communications and transactions related to this matter. Additionally, consider consulting with a lawyer to explore further legal actions against the perpetrators.",20.3662,4.4379,18.1692,20.6204,84.4515
9,"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",ICA_73 → ICA_74 → SRA_14 → SRA_16,ICA_73 → ICA_74 → SRA_14 → SRA_16 → employment_bond → wages → Specific Relief Act 1963 → PROC_EMPLOYMENT_BOND,"I'm 23 &amp; worked as a Social media executive &amp; writer in a startup. My boss is making excuses and refusing to pay back the salary of around 4 months. It's been around 1 year and 10 months, even after several requests and pleas, he isn't paying the salary. Although it's not a big amount, it ranges between 45k-50k. But as a 23-year-old it's a big amount for me. I need my hard-earned money. Pls, advise what should I do? 

Note: It will be helpful if the suggestions are of not too much hassle and within my affordability.( Thane, Maharashtra )","I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","Any unaccounted money being deposited to your bank account can cause trouble later on. There two aspects to it.1. If your employer is depositing money then tomorrow or later if the tax authorities check your bank account then they will charge with tax evasion as it will be considered as your income.2. Suppose the company is raided by tax authorities for tax evasion then you will also be considered as partner in crime for allowing your account to be used for it.So, need to be careful.","The primary legal issue here is whether the company's request for employees to transfer deposited funds is lawful and whether it complies with tax regulations. Under the Minimum Wages Act, 1948, employers must pay the statutory minimum wages, but depositing and redirecting funds as described could potentially violate tax laws and constitute money laundering. Employees should not participate in any activity that could be deemed illegal or fraudulent.

Legally, you cannot be compelled to participate in any transaction that lacks transparency or could be unlawful. It is advisable to request a written explanation from the company detailing the purpose and legality of the transaction. If the explanation is unsatisfactory, consider reporting the matter to the appropriate labor or tax authorities for further investigation.",20.3662,4.4379,18.1692,20.6204,84.4515
10,"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.",MBA_10 → FA_79 → SPE_4 → MTW_24,MBA_10 → FA_79 → SPE_4 → MTW_24 → leave → SPE → wages → Factories Act 1948,"I resigned from the company and had cleared all the exit formalities also I have served the notice period, submitted all the assets and completed all the exit procedures. But during my Full and Final settlement company sent me recovery letter stating that I have to pay company dues for using the leaves benefit which the company has provided or else the legal action will be taken. Going through the company policy I found that there is no such line mentioned about leave recovery during the employee's exit. When I asked for clarification from the HR, there is no response from them regarding this. I have sent multiple reminders stating clarification but there is no response. What do I do in this case? How can I go legally in this matter since there is no reply from company's side?( Thane, Maharashtra )","I study in an engineering college and now I am in my second year going to start 3rd year in september my college has not given any holidays after semester end examinations and starts the new semester right the next day. This has happened for 4 continuous semesters now . In the academic calendar 1 month holiday is given but now they are going back on their words . Many of my classmates are depressed especially people from hostels who have not gone home.and I don't know what action to take ,pls tell me( Mysore, Karnataka )","Joined TCS Mumbai on 4th June 2021 as consultant with joining bonus. Due to profile mismatch, overtime, verbal harassment and no response from higher management, i resigned and sent an email on 3-Aug (within probation), requesting them to relieve on 31-Aug. They were delaying and asked me to contact this and that person. Later, by 7-Aug, they blocked my laptop access. I could not work within notice period. In offer letter, appointment letter, internal policy - notice period after probation or confirmation only mentioned.
I returned company laptop. Got my salary, variable pay too.
Now after 1.5 years- they have sent me legal notice asking recovery of bonus and 2 months shortfall basic salary, within a week- else legal action. ( No calls or emails- they had my old defunct hotmail ID).meanwhile, i shifted to different city twice, but my phone number was same. Never ever they called me. They used very bad language- ""you had fraudulent intentions to dupe company etc.""

Please advise.( Pune, Maharashtra )","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","The primary legal issue is workplace harassment and discrimination, potentially violating the Equal Employment Opportunity laws. Additionally, the unilateral change in work profile and workload without written consent may breach the terms of your employment contract. Under the Industrial Disputes Act, 1947, and relevant labor laws, employees have the right to fair treatment and protection against discrimination and harassment.

Legally, you can file a formal complaint with your company's HR department documenting the instances of bullying and discrimination. If the internal resolution is unsatisfactory, consider lodging a complaint with the Equal Employment Opportunity Commission or a similar labor authority in your jurisdiction. For the change in work profile and salary issues, request a written clarification from HR, and if unresolved, consult with a labor lawyer to explore filing a claim for breach of contract or unfair labor practice.",20.3662,4.4379,18.1692,20.6204,84.4515
