sample_id,question,chain_q_orig,chain_q_extended,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu1,bleu2,bleu3,bleu4,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )",IPC_465 -> IPC_467 -> IPC_468 -> IPC_471,IPC_465 -> IPC_467 -> IPC_468 -> IPC_471 -> Indian Penal Code 1860 -> PROC_FORGERY -> forgery -> IPC_191,"Dear Client,Section 67B of the Information Technology Act, 2000, which, after amendment in 2008, criminalizes the publishing, transmitting, or causing the transmission of sexually explicit content. Once a violation of Sec.67B of I T Act, is reported to the Cyber Crime Cell, the matter is suo motto investigated by the authorities and the person may be called on for interrogation to access the source of such offensive posts on social networks and to find out the veracity of the facts from the related intermediaries or service providers. On investigation, if they find the person is in any way violating the provisions of the Act, they can be booked for committing the crime. Further, Section 66E of the Information Technology Act, 2000 deals with the transmission of photos of any personâs private area without his or her consent on social media, which is a criminal offence and the penalty is either three years in prison or a fine of not more than two lakh rupees, or both. On investigation, if the police find that the person is in any way violating the provisions of the Act, he can be booked for committing the crime under Section 66E of the Information Technology Act, 2000. Any person who feels their reputation has been damaged by defamatory statements or acts can sue for defamation under Section 356 of BNS, which replaced Section 499 of IPC. If a person is found guilty of criminal defamation, they can be sentenced to imprisonment for up to two years, a fine, or both under Section 500 of the IPC, replaced by Section 356(2) of the BNS. If required, consult with an Advocate to navigate the issues in the right way.","The act of creating and circulating fake porn to defame someone could involve charges related to forgery under IPC sections like 465, 467, 468, and 471. These sections deal with forgery and using forged documents. The punishment can vary based on the specific charges and circumstances.",0.0084,54.4186,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
2,"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )",CRPC_210 -> ART_20 -> CRPC_317 -> NI_ACT_AMENDMENT_2018,CRPC_210 -> ART_20 -> CRPC_317 -> NI_ACT_AMENDMENT_2018 -> NIA_138 -> PROC_CHEQUE_BOUNCE -> Code of Criminal Procedure 1973 -> fir,"Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.","You may consider filing a complaint with the local police or a magistrate, as the Code of Criminal Procedure 1973 provides a framework for addressing grievances. You can also seek legal advice to explore filing a lawsuit for any unlawful actions. It might be helpful to gather any evidence or documentation related to the incident.",1.143,27.5916,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
3,"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )",IPC_309 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_120B -> CRPC_210,IPC_309 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_120B -> CRPC_210 -> Code of Criminal Procedure 1973 -> fir -> charge_sheet -> Indian Penal Code 1860,"Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","You should not share private photos without consent, as it may lead to legal issues. Consider reporting your situation to the police and seek legal advice for filing a cross case. It's important to handle the matter legally and safely.",1.2589,22.7178,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
4,"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )",IPC_268 -> public_nuisance -> ICA_73 -> PROC_SCST_COMPLAINT,IPC_268 -> public_nuisance -> ICA_73 -> PROC_SCST_COMPLAINT -> Indian Penal Code 1860 -> criminal_breach_of_trust -> cheating -> Indian Contract Act 1872,"Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.",You can approach local authorities or law enforcement to address the loudspeaker nuisance. Public nuisance issues may fall under IPC Section 268. They can guide you on the appropriate steps to take.,0.3136,76.034,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
5,"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )",CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210,CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210 -> charge_sheet -> PROC_SCST_COMPLAINT -> fir -> Code of Criminal Procedure 1973,"Hi,You can apply for a bail in this case and later defend yourself during the trial.","You can consider filing a complaint under CRPC_200 to bring your side of the story to the magistrate's attention. The police will investigate the FIR under CRPC_154 and CRPC_156. If a charge sheet is filed, you may need to defend yourself in court.",2.4422,45.2621,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
6,"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",IPC_494 -> IPC_200 -> DP_3 -> IPC_467,IPC_494 -> IPC_200 -> DP_3 -> IPC_467 -> Indian Penal Code 1860 -> perjury -> PROC_FORGERY -> bigamy,There is no mense rea that is guilt mind...it is no criminal act.,"Based on the fact-rule-chain provided, forwarding a fake message does not directly relate to the listed offenses like perjury, forgery, or bigamy. Deleting the message quickly after realizing it was fake may reduce the likelihood of it being considered a criminal act. However, it's always best to be cautious with information shared online.",2.6758,26.5833,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
7,"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )",IPC_120B -> DP_3 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_149,IPC_120B -> DP_3 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_149 -> Indian Penal Code 1860 -> criminal_conspiracy -> rioting -> PROC_DOWRY_HARASSMENT,"Dear Sir,Such and criminal case can be quashed by HC.","The fact-rule-chain does not directly address this situation. However, filing a criminal case might involve allegations of conspiracy or breach of trust, which are covered under IPC_120B and PROC_CRIMINAL_BREACH_TRUST. The involvement of the chairman and secretary could be questioned if there is suspicion of their participation or negligence in the property transfer process.",1.443,41.519,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
8,"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",DP_3 -> public_nuisance -> IPC_268 -> PROC_CHEQUE_BOUNCE,DP_3 -> public_nuisance -> IPC_268 -> PROC_CHEQUE_BOUNCE -> Indian Penal Code 1860 -> PROC_DOWRY_HARASSMENT -> dowry_harassment -> Dowry Prohibition Act 1961,Agar aap ki mind conditions thik hai tab aap police me complaint file kare. Kyonki ab aap bilkul thik ho chuke hai. Agar koi bhi aap ko aane jane me koi problems kar raha hai vah aap ke constitutional right ka hanan kar raha hai. Kyon ki aap ko constitution sab sthan par ghumne ki anumati pardan karta. Koi aap ke adhikar ko nhi chhin sakta hai. Isliye aap ko un logo ko khilaf police me complaint file karni chahiye. Taki police unke khilaf proper action le sake.Please rate my answer,"If your actions are causing harm or danger to the public, it might be considered a public nuisance under IPC 268. It's important to seek legal advice and possibly mental health support to address the situation. Consider reaching out to a legal professional for guidance.",0.3532,24.962,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
9,"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )",CRPC_210 -> DP_3 -> PROC_CHEQUE_BOUNCE -> PROC_SCST_COMPLAINT,CRPC_210 -> DP_3 -> PROC_CHEQUE_BOUNCE -> PROC_SCST_COMPLAINT -> fir -> charge_sheet -> Code of Criminal Procedure 1973 -> dowry_harassment,"Yes,  you can share it with the court of law.","If you did not witness the incident, you should inform the court of this fact when you appear. Being honest about your lack of knowledge regarding the event is important. There should not be a problem if you truthfully state that you did not see the incident.",3.5,28.1853,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
10,"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )",NIA_138 -> CRPC_41 -> CRPC_73 -> CRPC_160,NIA_138 -> CRPC_41 -> CRPC_73 -> CRPC_160 -> Code of Criminal Procedure 1973 -> arrest -> PROC_CHEQUE_BOUNCE -> Negotiable Instruments Act 1881,"Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","The fact-rule-chain does not specify the exact time frame for issuing a Non-Bailable Warrant (NBW) after a judgment. Generally, the issuance depends on the court's discretion and procedural efficiency. It is advisable to check with the local court for specific timelines.",1.5413,77.0191,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
11,"i have filed a criminal case section 354d.506,509,446 in 2016. Now i want to withdraw it. Please advise the step. This lodged as STATE versus accused name in patiala house court.( New Delhi, Delhi )",CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210,CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210 -> Code of Criminal Procedure 1973 -> PROC_SCST_COMPLAINT -> charge_sheet -> fir,"if any settlement has been arrived between you and the accused, then the FIR can be quashed,contact me for a detailed understanding","To withdraw a criminal case, you may need to approach the court where the case is filed. Since it is a state case, the public prosecutor's consent might be required. Consult with your lawyer for the specific procedure in your situation.",1.3366,43.2465,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
12,"What should be done when opposite party is absent since starting in 498 , and 128( Beed, Maharashtra )",JOGINDER_KUMAR_1994 -> CRPC_239 -> CRPC_167 -> CRPC_210,JOGINDER_KUMAR_1994 -> CRPC_239 -> CRPC_167 -> CRPC_210 -> fir -> PROC_REGULAR_BAIL -> arrest -> Code of Criminal Procedure 1973,"Dear Client,If the Opposite party does not appear at the hearing of criminal prosecution initiated under Sec.12 of PWDV Act even on receipt of summon of the Court, then the Court can issue a non-bailable warrant against the O P","If the opposite party is absent since the start, the court may proceed with the case in their absence. The court can take necessary actions based on the Code of Criminal Procedure, 1973, and related provisions. It's advisable to consult with a legal professional for specific guidance.",2.2339,53.7974,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
13,"On Which Grounds Can ChargeSheet be Quashed in High Court.
In My Case Complainant  is Already Dead.( West Delhi, Delhi )",CRPC_173 -> CRPC_205 -> CRPC_210 -> CRPC_216,CRPC_173 -> CRPC_205 -> CRPC_210 -> CRPC_216 -> charge_sheet -> fir -> Code of Criminal Procedure 1973 -> CRPC_482,"Dear ClientIn India, a charge sheet can be quashed in the High Court under certain circumstancesIf the court does not have the appropriate jurisdiction to hear the case, it may be a valid reason for quashing the charge sheet. If it can be demonstrated that the charge sheet was filed with malicious intent or as a means of harassment, it could be a basis for seeking its quashing. : If the charge sheet violates the fundamental rights of the accused, such as the right to privacy or the right against self-incrimination, it could be a valid ground for seeking its quashing.","A charge sheet can be quashed by the High Court under CRPC_482 if it is found to be an abuse of the process of law or if there is no legal evidence to support the charges. The death of the complainant may be a factor, but it alone does not automatically lead to quashing. The court will consider if the continuation of proceedings serves justice.",7.683,78.7665,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
14,"sir I am a victim of false 498a case, fir was registered in 8-9 sections but chargesheet in court presented with 2 sections, 498a and 406 and 6 bills of jewellery are in chargesheet. there is no other evidence in chargesheet and no recovery, only 6 bills of jewellery.
now my question is that can I present crpc 91 application in court and request the court to summon opposite party to bring their (income tax return, balance sheet) as they have alleged to spent 20 lacs cash in marriage.( Alwar, Rajasthan )",CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210,CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210 -> Code of Criminal Procedure 1973 -> PROC_SCST_COMPLAINT -> fir -> PROC_CHEATING_FRAUD,"Hi,Yes, you can make such an application.If the case is false, you can apply to the high Court to quash it under Section 482 CrPC.The person making such claims can be punished under Section 209 IPC.If you found this helpful, please rate us.","You may consider filing a CRPC 91 application to request the court to summon documents like income tax returns and balance sheets. This can be done to challenge the claims made by the opposite party regarding the alleged expenses. However, the court will decide whether to grant this request based on the relevance and necessity of the documents.",1.8665,50.895,17.4993,2.5927,15.406,15.8287,26.4291,4.3687,1.2289,1.5617,0.5529,18.3922,46.1661,47.5383,84.6942
