question,answer
"I want to file a case to stop purchase and sale of agreement land because broker is not reuturning my money( Ranchi, Jharkhand )","Hi,Can you please specify more details?"
"hi me and my friend has been charged with secton 160 of ipc by the police officer in the FIR he metioned that me and my friend were fighting at public place, the fact he had mentioned are false against us. as we were not fighting at all...the real facts are there were someboys who had parked there car in mid of the road as i requested them to park there car aside so it makr easy for the by passer but they didnt and they wanted me leave the place by fearing me to death they threatend me and tryed to assault me i ran from there and made call to police at same time ..after 5 attempts my phone got connected police arrived had somechatr with boys and set them free and arrested us as i asked for ground of arrest the officer slapped me and wanted my mouth to shut i wanted to make call to my friend so someone can come and relese us but they didnt allow us to make the call to anyone and beated me merciless for asking grond of arrest and and they charged us section 160 i havent raised my hand on any one( Hissar, Haryana )",You can file the criminal petetion under section 482 crpc in the your high court for the purpose of quasing FIR. Or fair investigate your case.
"a case of theft has been registered under section 135, 151 of the electricity act has been lodged against me. the UHBVN has imposed a fine of 210000 against me and also registered FIR. what can i do? UHBVN issued LL1 notice( Ambala, Haryana )","Dear Sir,You may approach High Court and get relief and in the meanwhile you may get anticipatory bail if there is threat of arrest. .Rate me Five Star *"
"(Wrong documents shown and field FIR/Case)
Dear Sir /Madam,
One of our neighbors came across our site and fighted up on me  and he field FIR .
1) We know that he don't have any proper documents.finaly we have called to survey .the surveyor said he don't have proper documents and we reported to police station which he filled FIR against he submitted documents is fake (Having vedioe records)
2) We are having the original documents.(Arji with villagers sign Sent Registered post to Dist collector's,MRO,Police SI)
3) finally we had taken station bail in jun-19 
4) Now we had received summons showings sections 447,323 and 506  7/w to be attend in 23/10/19
5) What can we do know ?( Chittoor, Andhra Pradesh )","Dear Sir,Just attend the Court and engage a competent advocate practicing on criminal side and you will get acquitted."
"How to withdraw a fir about burglary( Bangalore, Karnataka )","To withdraw an FIR (First Information Report) about burglary, you need to follow the below steps:File an application: Write an application to the Station House Officer (SHO) of the police station where you had filed the FIR, stating that you want to withdraw the FIR. The application should contain the details of the FIR, such as the FIR number, date of filing, and the crime reported.Submit the application: Submit the application to the police station where the FIR was filed. The SHO will then verify your identity and ask for your reasons for wanting to withdraw the FIR.Provide valid reasons: You need to provide valid reasons for withdrawing the FIR, such as if you have reached a settlement with the accused, or if you have found out new information that makes you want to withdraw the FIR.Decision by the Police: The SHO will take a decision on whether to withdraw the FIR or not. If the FIR was filed under a non-compoundable offense, such as burglary, then the police may not allow you to withdraw the FIR. They may proceed with the investigation even if you do not want to pursue the case further.Get a clearance certificate: If the SHO allows you to withdraw the FIR, then you need to get a clearance certificate from the police station. The clearance certificate is a document that confirms that the case has been closed, and the police have no objection to the withdrawal of the FIR.Note: The process of withdrawing an FIR may vary slightly depending on the state or jurisdiction. It is advisable to consult a lawyer if you are facing any difficulties or legal issues in the process.Thank You"
"The police filed a FIR against me during lockdown 2020,u/s IPC 188,269,336,and Kerala Epidemic disaster ordinance - Kedo section (5).the court doesn't send me any summons,while incurred in police station they said ,the case is in court and they will send summons.what do I do...I am an student and can it effect my government job,Pvt job,or getting visa and passport( Kozhikode, Kerala )","Dear Sir,After filing charge sheet you can approach HC and get it quashed."
An order by the SDM was passed u/s 133 crpc. Order was disobeyed by the respondents. Another order was passed by the SDM directing the police to register FIR u/s 188 IPC. Can the Police register an FIR??? We are the complainant in this matter. How to proceed further??,"Sir,The police have right to file FIR.If FIR filed you may move high court U/s 482 Crpc."
"My brother is 15 in age. He was suspected for a murder for which he was caught by the police 15-16 days back and is now in juvenile jail. But, now the police is suspecting my father to be the man behind this and is applying IPC 120 on him. According to their suspicion (fake) my father filed my brother's missing complaint just to make fool of police. But my father is completely innocent. He was arrested without warrent and even telling him that he is being arrested. Now he is completely scared. My father is sick and can not afford any physical tortures. .Should he go to the police station or wait till the final chargesheet is submitted in court?( Delhi, Delhi )","1. the contents mentioned lacks clarity,(He was arrested without warrant........................................................Should he go to the police station?)if he was arrested then how can you ask should he go to the police station or police released him after arrest or he has got the bail in the case,clarify the contents for a prompt revert2. if your father is apprehended about his involvement in the case he can apply for the bail,"
"Dog was electrocuted near light poles inside the society due to negligence by maintenance office by leaving live wire open in the poles..what sections can be applied to get justice to the innocent being ?( Noida, Uttar Pradesh )","Deaf client, the Indian Penal Code (IPC) 1860 is the official criminal code of India which covers all substantive aspects of criminal law. Section 428 and 429 of the IPC provides for punishment of all acts of cruelty such as killing, poisoning, maiming or rendering useless of animals."
"I do have a gr case register by grandparents due to property division issues . Its already been 10 long years but no decision came by court .when i search online i couldn't find the case status also . Can i get a clean pcc( Kolkata, West Bengal )","Dear Sir,If it is not a criminal case then you can get clean PCC.Please take PAID phone call with me through VIDHIKARYA and get more legal guidance."
"Hi, 
Someone(A) took illegal possession of my empty house and they gave it on rent to some other person(B).
When I found, I went there. My home was locked from outside. I broke the lock and took possession of my own house. I have all original papers.

Person A convinced Person B and he filed a false FIR of theft against me. I was in jail for 24 hours. Now when i came out, I searched the person B and he gave me in written that FIR was false and was in pressure of person A. When i showed that to police, he asked me to bring person B to take statements but now he is missing and is not picking up phone. 

Now if person A finds person B and in his statement, he says that FIR was correct and I stole his stuff and what will happen to me. I did not steal anything. What should I do?( Delhi, Delhi )","Put a case against A as you was illegally put in jail for 24 hours.. Was you released from court? Need to see the FIR & documents , you can sue A in court & get the FIR quashed. You can ask for A compensation also... Please mention your State/ City/ VillageIf you realize my professional skills, the time & efforts put in by me needs to be truly appreciated, and then Please âCLICK MY LIKES/ THUMBS UP/GIFTâ button shown below this reply format & also CLICK/ WRITE a âREVIEWâ in 5 star as I have answered your query in detail. Hope this information is usefulADV. ANISH PALKAR (High Court)"
"SHO of my concerning police station denied to lodge fir because vehicle registration on first owner but now i owned this vehicle and car is in my possession from past 7 years .....so now what i do to lodge an fir( Jammu, Jammu and Kashmir )","Dear Client,If the SHO (Station House Officer) at your local police station has refused to file an FIR (First Information Report) based on the reason that the vehicle is registered under the first owner's name, you can take the following steps:1. Provide Ownership Documents:Gather all relevant documents that establish your current ownership of the vehicle, such as the registration certificate, insurance documents, and any transfer of ownership documents.2. Explain Ownership Transfer:Clearly explain to the SHO that you have been the owner of the vehicle for the past seven years and provide any supporting documentation to prove the transfer of ownership.3. Submit a Written Application:Prepare a written application detailing the incident for which you are seeking to file an FIR. Attach copies of your ownership documents and any other relevant information. Submit this application to the SHO.4. Seek Senior Officer's Intervention:If the SHO continues to deny filing the FIR, you may approach a senior officer in the police hierarchy, such as the Deputy Commissioner of Police (DCP) or Superintendent of Police (SP), and explain the situation. They may intervene and instruct the concerned police station to register the FIR.5. Legal Assistance:If all else fails, consider seeking legal advice from an advocate. They can guide you on the specific legal options available to ensure the filing of an FIR in such a situation.Remember that filing an FIR is a legal right, and the police should register it if there is a cognizable offense. If the local police station remains uncooperative, escalating the matter to higher authorities or seeking legal assistance becomes crucial."
"How much time court waits for the service report to come? What steps we can take to ask court to send a new notice to respondent?( Indore, Madhya Pradesh )","Dear Madam,You may advance the case through your public prosecutor or through private advocate and if court agrees then fresh notice will be sent to the Respondent."
"SIR there is a person who had mentally tortued  me by abusing me on phone . sir please suggest me what to do against him. he is a goverment officer in bhopal . because of him the whole staff of Aarogya kendra,bhopal  insulted and abused me very badly. he also called my college Director Dr rajeev arya( Washim, Maharashtra )",but whywhat you done ?You can file various cases but ensure that you not did something wrong.
"LOST GUN RIGHTS AFTER involve in 302?Â  in india. if the decision of case is in favour of  acute person.( Jhajjar, Haryana )","dEAR CLIENT, DEPENDING ON THE VDRSION OF THE COURT CASE, IF DECISION IN YOU FAVOR, APPLY FOR THE SAME.For details, pl. contact some advocate through vidhikarya.com"
"A false fir is filed under ipc 306 and 34 , matter is, one day my sister was coming back from coaching centre and she was nearby our house, but our one neighbour thatbwa boy, tried to give his phone no to my sister but she felt ashamed because other villagers were also on road, when she came home , nad told us about incident then her brother got angry on that boy nad called him just to told him that he did wrong. After that boy got threatened and in fear he lefts his house and took posion bcs he felt guilty for what he did, on the other side girl's family had not took any action they just called him, but when that boy died , his family members sais that you forced him to commit suicide but in reality no one from mu family even met him on that day, nad they have filed fir againt three members of our family under ipc 306 and 34 . Now villagers are in our favour because our family called panchayat on that time as well when that incident happened. But now opposite party reached to high court, and high court has sent us notice of motion, then what should we do now in regards our safety.( Nawan Shehar, Punjab )",Dear client I am sorry to hear that but in this case you can file a written Station stating false cases.
