sample_id,question,chain_q_orig,chain_q_extended,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu1,bleu2,bleu3,bleu4,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )",IPC_465 -> IPC_467 -> IPC_468 -> IPC_471,IPC_465 -> IPC_467 -> IPC_468 -> IPC_471 -> Indian Penal Code 1860 -> PROC_FORGERY -> forgery -> IPC_120B,"Dear Client,If someone creates or circulates a fake pornographic video of a girl to defame her, it is a serious criminal offense in India under multiple sections of the law.Such an act is punishable under various sections of the Information Technology Act, 2000, and the Indian Penal Code. Under Section 67 and 67A of the IT Act, transmitting obscene or sexually explicit content electronically can lead to imprisonment of up to five years and a fine of up to Rs. 10 lakhs. Additionally, under IPC Sections 469 and 500 for defamation and forgery to harm reputation, the offender can be punished with imprisonment up to three years. Section 509 IPC, which deals with insulting the modesty of a woman, can also apply and carries a sentence of up to three years. If the content is morphed or AI-generated (deepfake), it still qualifies as cybercrime and forgery, and the accused can be prosecuted accordingly. These laws are designed to protect individuals from digital harassment and uphold their dignity and privacy.","The act of creating and circulating fake porn to defame someone could involve charges related to forgery under IPC sections like 465, 467, 468, and 471. Additionally, if there was a conspiracy involved, IPC 120B could apply. The punishment would depend on the specific charges and circumstances, but forgery-related offenses can lead to imprisonment.",1.1048,72.7805,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
2,"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )",CRPC_210 -> ART_20 -> CRPC_317 -> NI_ACT_AMENDMENT_2018,CRPC_210 -> ART_20 -> CRPC_317 -> NI_ACT_AMENDMENT_2018 -> NIA_138 -> Negotiable Instruments Act 1881 -> IPC_120A -> Indian Penal Code 1860,"Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.",You may consider filing a complaint with the local police regarding the forced actions and treatment you experienced. It might also be helpful to consult a lawyer to explore potential legal actions against those involved. Legal advice can guide you on the specific steps to take in your situation.,2.0669,46.7845,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
3,"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )",IPC_309 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_120B -> CRPC_210,IPC_309 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_120B -> CRPC_210 -> Code of Criminal Procedure 1973 -> Indian Penal Code 1860 -> fir -> charge_sheet,"Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","You should not share private photos without consent, as it may lead to legal issues. Consider discussing your situation with a lawyer to explore legal actions like filing a cross case. If you feel overwhelmed, seek support from mental health professionals.",1.1877,23.4534,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
4,"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )",IPC_268 -> public_nuisance -> ICA_73 -> PROC_SCST_COMPLAINT,IPC_268 -> public_nuisance -> ICA_73 -> PROC_SCST_COMPLAINT -> criminal_breach_of_trust -> Indian Penal Code 1860 -> cheating -> Indian Contract Act 1872,"Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.","You may consider approaching local authorities or law enforcement in Jhajjar, Haryana, to address the loudspeaker nuisance. Public nuisance issues can be related to IPC_268. They can guide you on the appropriate steps to take.",0.6594,77.3819,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
5,"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )",CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210,CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210 -> charge_sheet -> PROC_SCST_COMPLAINT -> PROC_FIR_FILING -> PROC_CHEATING_FRAUD,"Dear Sir,You may approach High Court for immediate relief and ultimately it may be quashed if you engage an intelligent advocate.Rate me Five Star*",You may consider filing a complaint under CRPC_200 to contest the allegations. It's important to cooperate with the investigation process under CRPC_154 and CRPC_156. Consulting a legal professional for guidance on your specific situation might be helpful.,2.0919,25.8292,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
6,"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",IPC_494 -> IPC_200 -> DP_3 -> IPC_467,IPC_494 -> IPC_200 -> DP_3 -> IPC_467 -> Indian Penal Code 1860 -> perjury -> forgery -> bigamy,No. as you have deleted in time and should send a clarification SMS to protect your interest.,"Based on the fact-rule-chain, forwarding a fake message does not directly relate to bigamy, perjury, or forgery under the Indian Penal Code 1860. Since you deleted the message quickly, it is unlikely to be considered a criminal case. However, always be cautious with sharing information.",1.0747,48.3554,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
7,"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )",IPC_120B -> DP_3 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_149,IPC_120B -> DP_3 -> PROC_CRIMINAL_BREACH_TRUST -> IPC_149 -> Indian Penal Code 1860 -> criminal_conspiracy -> dowry_harassment -> rioting,"Hi,Since the third brother knew nothing about the transferred property he can file a civil suit as well as a criminal suit against his brothers if the circumstances and the facts of the case permit so. But in an event when the suit is filed against the Housing Society Secretary and Chairman the courts will evaluate their involvement in the work and for imposing criminal liability malicious intention on part of the accused is necessary of that remains unproven or non established they cannot be held criminally liable.If you find this answer helpful please rate my answer. Thank you.","The criminal case against the new chairman and secretary may be difficult to justify if they had no knowledge or involvement in the property transfer. The fact-rule-chain does not directly relate to this situation, as it involves criminal conspiracy, dowry harassment, and rioting, which are not applicable here. It might be more appropriate to focus on the civil suit for resolving the property dispute.",2.3828,59.824,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
8,"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",DP_3 -> public_nuisance -> IPC_268 -> PROC_CHEQUE_BOUNCE,DP_3 -> public_nuisance -> IPC_268 -> PROC_CHEQUE_BOUNCE -> Indian Penal Code 1860 -> dowry_harassment -> PROC_DOWRY_HARASSMENT -> Dowry Prohibition Act 1961,"Dear Sir,You may lodge complaint with higher police officers or directly approach Magistrate I filing private complaint under Section 200 Cr.P.C. On registration of private complaint you are sworn statement will be recorded and documents produced by you will be taken on record and then summons will be issued to Accused persons.Rate me Five Star*","If your actions are causing harm or danger to the public, it may be considered a public nuisance under IPC 268. It is important to seek legal advice to understand your situation better. Consider reaching out to a legal professional for guidance.",0.9351,43.6717,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
9,"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )",CRPC_210 -> DP_3 -> PROC_CHEQUE_BOUNCE -> PROC_SCST_COMPLAINT,CRPC_210 -> DP_3 -> PROC_CHEQUE_BOUNCE -> PROC_SCST_COMPLAINT -> fir -> charge_sheet -> Code of Criminal Procedure 1973 -> dowry_harassment,Whatever you may be known . U will need to speak before court. Honestly,"If you were not present at the incident and have no knowledge of it, you can inform the court of this when you appear as a witness. It is important to be truthful about your lack of involvement or observation. There should not be a problem if you honestly state your position.",1.0155,49.8829,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
10,"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )",NIA_138 -> CRPC_41 -> CRPC_73 -> CRPC_160,NIA_138 -> CRPC_41 -> CRPC_73 -> CRPC_160 -> Code of Criminal Procedure 1973 -> Negotiable Instruments Act 1881 -> PROC_CHEQUE_BOUNCE -> cheque_bounce,"Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","The fact-rule-chain does not specify the exact time frame for issuing a Non-Bailable Warrant (NBW) after a judgment. Generally, the issuance depends on the court's discretion and procedural efficiency. It is advisable to check with the local court for specific timelines.",1.5413,77.0191,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
11,"i have filed a criminal case section 354d.506,509,446 in 2016. Now i want to withdraw it. Please advise the step. This lodged as STATE versus accused name in patiala house court.( New Delhi, Delhi )",CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210,CRPC_154 -> CRPC_156 -> CRPC_200 -> CRPC_210 -> fir -> PROC_FIR_FILING -> PROC_DEFAMATION -> PROC_CHEATING_FRAUD,"Dear Sir,If it is compoundable then it can be compromised otherwise you have to examine yourself and turn hostile or ask the accused to approach High Court where you can file an affidavit saying that you have no objection to close the criminal case.Please contact me through the administrators of this website.","To withdraw a criminal case, you may need to approach the court where the case is filed. Since it's a state case, the public prosecutor's consent might be required. Consult with your lawyer for the specific procedure in your situation.",2.4091,52.025,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
12,"What should be done when opposite party is absent since starting in 498 , and 128( Beed, Maharashtra )",JOGINDER_KUMAR_1994 -> CRPC_239 -> CRPC_167 -> CRPC_210,JOGINDER_KUMAR_1994 -> CRPC_239 -> CRPC_167 -> CRPC_210 -> fir -> PROC_REGULAR_BAIL -> arrest -> CRPC_41,"Dear Client,If the Opposite party does not appear at the hearing of criminal prosecution initiated under Sec.12 of PWDV Act even on receipt of summon of the Court, then the Court can issue a non-bailable warrant against the O P","If the opposite party is absent since the start, the court may proceed with the case based on available evidence and legal provisions. The court might consider actions under relevant sections like CRPC_239 for discharge if evidence is insufficient. It's advisable to follow court procedures and seek legal guidance.",1.9768,50.936,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
13,"On Which Grounds Can ChargeSheet be Quashed in High Court.
In My Case Complainant  is Already Dead.( West Delhi, Delhi )",CRPC_173 -> CRPC_205 -> CRPC_210 -> CRPC_216,CRPC_173 -> CRPC_205 -> CRPC_210 -> CRPC_216 -> charge_sheet -> fir -> Code of Criminal Procedure 1973 -> CRPC_302,"Dear ClientIn India, a charge sheet can be quashed in the High Court under certain circumstancesIf the court does not have the appropriate jurisdiction to hear the case, it may be a valid reason for quashing the charge sheet. If it can be demonstrated that the charge sheet was filed with malicious intent or as a means of harassment, it could be a basis for seeking its quashing. : If the charge sheet violates the fundamental rights of the accused, such as the right to privacy or the right against self-incrimination, it could be a valid ground for seeking its quashing.","A chargesheet can be quashed by the High Court if there are legal grounds such as lack of evidence, procedural errors, or if the case is frivolous. The death of the complainant might affect the case, but it is not solely a ground for quashing. It is advisable to consult a legal expert for specific guidance based on the case details.",3.8796,77.0197,18.8586,2.7611,16.4574,16.2359,28.0095,4.7494,1.3102,1.7171,0.5575,19.7191,49.1454,49.9085,84.9892
