question,answer
I am 15 year old girl living in Ludhiana I don't want to stay with my parents at any cost because they torcherd me and used to beat me my mother also lives separate due to family issues and she is not financially supoorted so as to take my care and I m in a relationship my parents are against it I am badly in tension amd don't want stay with my parents my parents have allowed me to leave house at my own consent pls help me I want to know can I leave home legally and can I file a police case to live independently,Youay give police complnait to child help line. They will come and will consult to your parents and if they will not understand then child welfare committee will take further step and you will be taken to Child Protection home.
"I am looking for a legal opinion for one of my relative who is the Respondent. The Petitioner had submitted a DD before the Registrar. Now the Respondent wants to collect it. Please help with the procedure involved.( Chennai, Tamil Nadu )",Your questions are not clear.. . What are looking for is not clear to me.. . U say that respondant presented DD before registrar.. . Nw he wants to collect it.. My questions are- for what purpose DD was presented?? ? 2. Why u are calling your relative is respondant?? ?  Why he/she wants to collect it  making no sense of your statements.. . . .
"My mother passed away when i was 9 and then my father remarried and my step mother's name is there on my 10th marksheet and while trying to make passport the names in birth certificate and 10th marksheet not matching is causing issues( Asansol, West Bengal )","Dear Sir,I  am a lawyer by profession, and have followed the below given procedure for changing my own name. Let me use my experience to help you to change your own name.Follow the below given steps for changing your own name.Step 1 â AffidavitGo to you local Notary and make an affidavit regarding change of your name. You have to mention therein your specific reason for changing your name. For example, you may like to change your name after marriage (especially for women), due to astrological or numerological reasons or anything. Recently, one of my friends was going to start his own company who was locally famous in his nickname, and thus he changed his name from Rishabh Agarwal to Saurav Agarwal.Note: Here is your sample name change affidavit for reference.Tips: Make a few copies of your affidavit, and preserve the original one carefully. Itâs better to scan it, and preserve its electronic copy on your external hard disk as well as on multiple computers.This affidavit can be used for changing your first or last name and also using the same, you can completely change your name (both first and last name, for example from Rishabh Agarwal to Saurav Verma).Step 2 â Newspaper PublicationI, Sri ___________________ (old name) have changed my name from __________________ (old name) to ______________ (new name) by affidavit sworn before the Notary Public, ______________ (place) on ___________ (date). Henceforth, I shall be known as _________________ (New Name) for all purposes. ______________ (Name) and _______________ (Complete postal address).Full SignatureFill in the blanks with appropriate details and publish it in your local newspaper.Tips:You can choose any 2 local newspapers for publishing it. (No need for FrontPage coverage). Although you need only once copy but its better to get ten copies of that newspaper in which your statement is published and preserve it carefully, because itâs now a lifetime issue. Itâs better to preserve both the hard and scanned copies of the newspaper.Step 3 â Gazette NotificationNow for getting your name published in the Official Gazette of your state, for example: âThe Delhi Gazetteâ, you need to do the following things:1. Visit your local Government Press or the department that mobilizes Gazette notification.2. Get 2 copies of âDeed Changing Surname Formâ. (Fill this form carefully as per the instructions provided therein)3. If possible get the phone number, or the mobile number of the person of that department who can help you for Gazette Notification.VerificationYou need to send the following documents to the Secretary, Department of Commerce & Transport (Commerce), _________________ (State).1.	Letter to the Secretary, requesting him to allow you to change your name. (Click here to view sample letter)2.	The âDeed Changing Surname Formâ3.	2 True copies of the newspapers in which your name change statement is published.4.	Attested copy of the Name Change Affidavit.5.	A print out of the statement in plain paper that you need to publish in your official Gazette. (Generally Same as your Newspaper Statement)6.	A Copy of your current identity like your Voter Identity Card, PAN Card, Birth Certificate, School or College Certificates and etc.*******"
"I need the above certificate( Bangalore, Karnataka )","Dear Client, please explain in detail as to what exactly you need help with? Are you looking ahead to know about the procedures for acquiring the certificate?"
"After my delivery on sep 2021 my husband kept unnecessary discussion with my parents and went off to his home town and not even giving money for my monthly checkup or medicines and not even caring my child he till now didnot spent single penny on me or on my child as single mother I'm taking of my child. EVERY Month I'm even sharing bills to him through what's app as well. In this issue his brother in law ,sister,mother and father are involved( Hyderabad, Andhra Pradesh )","Dear client,You can file a petition under section 125 CrPC for maintenance or you can also make a civil appeal for maintenance before the concerned court.Thank you"
"My brother is staying in my parents home, he is alcoholic and abusive, this incidences is going on from past 12 years, so we have decided to evict him from our home, parents own the home and we have collected evidence of his abusive behaviour, parents are senior citizens, so what are the steps to evict him( Mysore, Karnataka )","Dear Client, the parents has right to live peacefully without abuse which is enumerated in the constitution as right to life and personal liberty. The primary objective of the Maintenance and Welfare of Parents and Senior Citizens Act, 2007 is to ensure that senior citizens can live peacefully in their own homes. Under the said act parents can evict the abusive son from their property."
"I am married legally and we had marriage registry also one year past.But the problem is my husband has a ex-wife and a child but he left them about 5 years ago without any divorce as the girl was not good she was physically active with other boys.We are Muslim and he married her in Islam agreement they had not done any registry marrige.So the problem is I am scared the she didn't know about our marrige as we had done registry and marrige in House by Kaji we had not done marrige celebrations or ceremony we will do later as he is now busy with his work but .So if she comes to know about that she might come back and file case or do some disturbance or try to break our marrige by fighting with local areas mens or with her family.And my husband legally can't gave her divorce beacuse she was demanding a huge money which was impossible for my husband.Does our marrige have no right? can't we protect that situation?Is there any way to handle in this situation?( Howrah, West Bengal )",Try to solve it peacefully otherwise settlement must for it
"Want advice how to protect myself from my superstitious parent who continuously pressurizing me to blind belief and also attacking me physically.( Bhubaneswar, Orissa )","Hi client,I don't know whether you are minor or not but if you are a minor you will be guided by -THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN)ACT, 2015 and if you are an adult the IPC guided laws will come into force.Before getting into any sort of legal procedure, contact your relatives or a family friend who can mutually resolve the matter.If this does not work then, lodge an FIR."
"I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Dear Sir,The Higher Court allow you to deposit 10 to 25% of the said amount and proceed with appeal.For full procedure contact me on mobile through Vidhikarya.Rate me Five Star *Please visit the following link.https://vidhikarya.com/LawyerRating/9506c43f5d0b2d266a07"
"Hi i am a working women, my husband is drinking and not able to control himself and starts fighting with me every time at least twice in a week i am not having mental peace
please help me how can i deal this situation through legally.( Hyderabad, Andhra Pradesh )",You may file a police complaint against your husband. But remember that if you take any legal action then it may end up in Divorce. So first try to exhaust the possibility of any councilling. At last you have to decide that what do you really want.
"We me and my mother are in big trouble. I really don't how to write a question but I want your guidance for this question. What happened my Brother in law with my Sister came to our home in the month of April 2013 (I don't no exact date) and asked to my father (now he is no more) is this house is on your name?? my father said yes this house is on my name. Then my Brother in law asked that I want to borrow money by mortgage your house and will repay you within 3 months!! ( Still not paid only procrastinating till date) My father died with this tension and they don't have any feeling like that bastard brother in law and their parents, and my brother in law his parents are so called Father is One of Samaaj Panch and his mother is Mahila Mandal member.We known latter that the money is used for his tour  of north India. And whenever my parents asked about the repayment and we need our property paper as soon as possible.he is only procrastinating and their parents totally ignoring this matter. His parents knew everything about his behavior they cheated us and destroyed my sister's life. Brother in law's parents have two married daughter, and once  I asked, recently, one day what my sister is facing problem, if it happens to your daughter what will you do he (in law's father) he will punish his son in laws if he did same as his son . And   I asked why don't you punish yours son, he told me that he is my son how can I??  You can understand what kind reputed parents are they are. They can punish their son in law if they tortured their daughters.. I am salaried person whatever I earn I give it to my mother for house hold expenses. Still I am not married because of that bastard brother in law and his parents. I really don't know how to face the problem. Because in the future my house will ... I really don't know how explain it to you.. Please guide me Thank You( Belgaum, Karnataka )","Dear ClientIn such a matter, you must file a suit for permanent injunction. Please visit a lawyer who can guide you better in the same matter.ThanksRegards"
"I have sent legal notice to wife to come back and stay with me

What are the possible risks for my actions

Based my knowledge she can file a DV

Due to DV will they put be behind bars???( Bangalore, Karnataka )",If she files a DV then the best for you is to take an anticipatory bail.
"Suspension of sentences is not pressed by my lawyer, and my mother is arrested by police,can I re apply suspension of sentences( Nanded, Maharashtra )","Dear client,1. File a Fresh Application for Suspension of SentenceYou can file a fresh application under Section 389 of the Code of Criminal Procedure (CrPC) for the suspension of sentence pending appeal.This application can be submitted to the same court where the original application was filed or to a higher court (such as the appellate court).2. Grounds for ReapplicationExplain why the earlier application was not pursued (e.g., oversight or miscommunication with your lawyer).Highlight any new facts or circumstances that support the need for suspension of the sentence. For example:The age or health condition of your mother.Any undue hardship caused to your family by her imprisonment.Progress in the appeal process (if any).3. Appeal Against the Rejection or InactionIf the previous application was rejected or not pressed, you can appeal to a higher court to reconsider the matter.4. Engage a New Lawyer (if required)If you believe your current lawyer mishandled the situation, consider engaging a new lawyer who is proactive and experienced in handling such cases.5. Seek Interim BailWhile the application for suspension of sentence is pending, you can also request interim bail on humanitarian or health grounds.Supporting DocumentsCopy of the judgment and sentence order.Medical records (if applicable).Any other relevant evidence showing hardship or necessity for suspension of sentence.Consult your lawyer to draft a well-supported application and ensure it is filed promptly to expedite the process."
