question,answer
"Sir, I took my mother agricultural land after death in 1995, I have renovated with huge amount this land. Now, after 24 years my sister demanding share. Otherwise she wants to file suit for possession. She got rights to claim her share.( Bangalore, Karnataka )",She didn't give hakkasod patra anytime before? Plz check records. Is her name.still appearing in record of rights? Even if she demands her share you can claim set off on account of your expenses made towards developments made in the Land. No perfect and complete advice can be given in absence of documents. Thanks
"My grandfather died intestate. All his children have passed on too. The property still stands in my grandfather's name. How does it get divided between his grandchildren? Do we have to obtain any court order or document to transfer the property to transfer the property to the names of the grandchildren( Mumbai suburban, Maharashtra )","Dear Client,When a property is left intestate by the owner, all the surviving legal heirs are entitled to an equal share of the said property. To get the individual share, surviving legal heirs have to obtain a Legal Heir Certificate from the competent authority i.e, Municipal Corporation, Tehshildar or local Gram Panchayat, and on receipt of the legal heir's certificate, a suit for partition of the said undivided property shall be filed before the Civil Court praying for a decree/order of partition. On receipt of a decree of partition, a Deed of Partition shall be made and registered under the Registration Act and based on that deed of partition, all the surviving legal shall take their individual share in the property and get their individual share mutated in their name in the land record by making application before Land Revenue Officer concerned. Reach out to an Advocate for guidance and steps."
"What to do my wife has put all possible charges against me and my parents like dowry sexual abuse by me and my father , domestic violence, my father is 64 years please advice what to do( Kanpur, Uttar Pradesh )","Hello,If a false complaint is registered against you by your wife, you have two options â either to defend your case and wait for the judgement or to file a counter case against your wife under S 153(4) CrPC. Meanwhile you can also apply for an anticipatory bail."
"How to apply caste certificate( Srikakulam, Andhra Pradesh )",Dear ClientTo apply for the caste certificate you will have to submit an application to the panchayat or block depending on where you reside. You may also get the same from the local councilor if you live in a city.
"My Aunt (Father's Sister) was not available at the time of GIFT DEED written on my name by my GRAND PARENT'S and they have only two kids (DAD and AUNT) and my aunt has son and daughter and they live in Chennai and my AUNT is willing to give NO OBJECTION DOCUMENT. So can i take any NO OBJECTION Couriered to her and signed and returned back to me as a supporting document of GIFT DEED, So that i don't need her signature in future if i want to sell the property.( Hyderabad, Andhra Pradesh )","Dear Sir,Now, it cannot happen."
"Is there any legal way to ask financial support from my father bcos i turned 18 in jan 2022 and he left me and completely refused to give a single penney. Can I  get a legal help?( Surat, Gujarat )","Dear Sir,You cannot gift any legal help from your father legally and you may approach common friends of your family and settle the matter."
"Mere father apne 3 sons m se kisi ek ko apni property ka extra part de to other son case kr ke us property ko distribute kara sakte ya nhi( Jhansi, Uttar Pradesh )",NO.
"If run away couple are 20yrs old both..girl and boy(girl is above 18 but boy is not above21) with consent of girl and For girl run away from home is necessary as she has threat of life and liberty and if they run they as per law they can't do marriage as boy is not above 21..what The Boy can Do In Such Circumstances? As girl's parents often file complaints like rape, kidnapping, brain washing etc.( Vadodara, Gujarat )",Wait for the guy to be 21 and thereafter get married. Precautionary steps.1. Gain the trust of the female2. Charges of rape etc may take place3. Start living in together4. Keep proofs that she was living consent fully with you for eg. open a joint bank account or any other thing.
"I am a widow. I have 2 daughters from first marriage, the elder is 19 years and the younger is 13 years. I am planning for second marriage with a widower with 2 kids, how to protect my property. Will the second husband have the rights on my property after marriage. Please suggest.( Bangalore, Karnataka )","Hi,While the wife is alive the husband has no right over her self acquired property or ancestral property. If wife dies without executing a will her husband and children will succeed to her share in the ancestral property. Therefore, if you wish to protect your property from him, make a will in the name of your children with first husband.If you like my answer, please give a good review."
"My girlfriend is Indonesian and lives in Indonesia. She got married forcefully married in April this year. I am thinking to get her to India secretly and get her pregnant so that she easily gets divorced. Are there any legal issues in this step? Actually, no other way seems possible, I really want to live my whole life with her.( Ghaziabad, Uttar Pradesh )","Hi,she can file for divorce in Indonesia.she can send her spouse a legal notice and later claim that the marriage happened without her consent and was forcefully done."
