sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )","Section 2(d) of the West Bengal Sales Tax Act, 1954 → Appellants Claimed Freight Charges Excluded from Sale Price","Section 2(d) of the West Bengal Sales Tax Act, 1954 → Appellants Claimed Freight Charges Excluded from Sale Price",Is 2nd marriage is legal in ST without divorce.,"I have given around amount of 13000/- rupees to the agent in Hyderabad for changing from yellow number board to white number board. It's been 6months, I have been following him on daily basis, he even not responding to my calls and not even opening his office from past 3months. All the original documents of my car are with the agent. How can I get my docs back, so that I can process accordingly( Hyderabad, Telangana )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","Dear Client,Section 67B of the Information Technology Act, 2000, which, after amendment in 2008, criminalizes the publishing, transmitting, or causing the transmission of sexually explicit content. Once a violation of Sec.67B of I T Act, is reported to the Cyber Crime Cell, the matter is suo motto investigated by the authorities and the person may be called on for interrogation to access the source of such offensive posts on social networks and to find out the veracity of the facts from the related intermediaries or service providers. On investigation, if they find the person is in any way violating the provisions of the Act, they can be booked for committing the crime. Further, Section 66E of the Information Technology Act, 2000 deals with the transmission of photos of any personâs private area without his or her consent on social media, which is a criminal offence and the penalty is either three years in prison or a fine of not more than two lakh rupees, or both. On investigation, if the police find that the person is in any way violating the provisions of the Act, he can be booked for committing the crime under Section 66E of the Information Technology Act, 2000. Any person who feels their reputation has been damaged by defamatory statements or acts can sue for defamation under Section 356 of BNS, which replaced Section 499 of IPC. If a person is found guilty of criminal defamation, they can be sentenced to imprisonment for up to two years, a fine, or both under Section 500 of the IPC, replaced by Section 356(2) of the BNS. If required, consult with an Advocate to navigate the issues in the right way.","The creation and distribution of fake pornographic material to defame someone is a criminal offense under Section 67A of the Information Technology Act, 2000, which penalizes publishing or transmitting sexually explicit content. Additionally, it may constitute defamation under Section 499 of the Indian Penal Code, leading to potential imprisonment and fines. The victim can file a complaint with the local police station or cybercrime cell, providing evidence such as screenshots or links to the content. It is crucial to act promptly to prevent further dissemination and to seek a court order for the removal of the content from online platforms.",2.4874,76.728,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
2,"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )",Death of Two Individuals → High Court Confirmed Conviction for Offences,Death of Two Individuals → High Court Confirmed Conviction for Offences → Prosecution Case Partially Rejected,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,my cousin lockd my house forcely after breaking the lock of of my house and torturing me then waht should i do ?,"Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.","The primary legal issue is the unlawful confinement and lack of consent in placing you in a rehabilitation center, which may constitute false imprisonment under Indian Penal Code Section 340. Additionally, the forced thumb impression and lack of autonomy in personal care could be addressed under Sections 348 (wrongful confinement to extort confession) and 354 (assault or criminal force to woman with intent to outrage her modesty) if applicable. 

You can file a First Information Report (FIR) with the local police station against the individuals involved, including the rehabilitation center staff and your parents, detailing the incidents of forced confinement and lack of consent. Consider filing a writ petition of habeas corpus in the Calcutta High Court to challenge the legality of your detention and seek immediate release if still confined. Consulting a local attorney experienced in civil rights or criminal law will be crucial for navigating these legal actions effectively.",2.0121,55.1156,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
3,"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )",Cross Case Filed by Respondent,Cross Case Filed by Respondent,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,my cousin lockd my house forcely after breaking the lock of of my house and torturing me then waht should i do ?,"Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","Sharing private photos without consent can violate privacy laws and may constitute an offense under the Information Technology Act, 2000, specifically Section 66E, which penalizes the violation of privacy. In your situation, you can file a cross-complaint if you believe the girl has falsely implicated you, but you must refrain from using or distributing those private photos as evidence without proper legal guidance or a court order allowing their use.

To proceed, gather all admissible evidence like call recordings (ensuring they are legally obtained) and any other relevant documentation. File a complaint with the local police or consult with a lawyer to draft a detailed complaint outlining the false allegations and their impact on your life. If you are feeling distressed, seek immediate support from mental health professionals or helplines.",0.8712,50.961,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
4,"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )",Tenancy Created by Rent Deed → Appellants Fell into Arrears of Rent,Tenancy Created by Rent Deed → Appellants Fell into Arrears of Rent,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,"Girl have another boy friend her boyfriend told to girl put fir on me after fir married in 2 months they both . I have proof 3 years relationship till fir registered month( Hyderabad, Telangana )","Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.","The primary legal issue is noise pollution caused by loudspeakers, which is regulated under the Noise Pollution (Regulation and Control) Rules, 2000, under the Environment Protection Act, 1986. In Jhajjar, Haryana, you can file a complaint with the local police or the District Magistrate, as they have the authority to enforce these rules and take action against violations. You can also approach the Haryana State Pollution Control Board to lodge a complaint regarding the noise pollution. Ensure you document instances of the nuisance, including dates and times, to support your complaint. If the issue persists, consider filing a Public Interest Litigation (PIL) in the High Court for a more robust legal remedy.",2.3321,76.13,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
5,"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )",Section 306 IPC → High Court Convicted Under Section 306 IPC,Section 306 IPC → High Court Convicted Under Section 306 IPC → Appeal Challenged High Court Judgment → High Court Judgment Upheld → Evidence of Witnesses Considered → High Court Set Aside Conviction Under Section 302 IPC,"I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","One superior officer filed a private petition under crpc 200 on some association officer bearers. Allegations are that they issued some pamphlets abusing him and damaging his fame n name which were sent to several offices. 12 yrs passed.  But complainant is still not examined.  Evidence not taken yet. He marked some xerox copy of pamphlets to court. No where found office seal file number  etc. on the paper.  He was suspended on the last date of retirement  by a G. O. since various allegations pending on him.   He included me as one of the respondent. I want to remove my name from the private complaint. Wt is the procedure sir( Salem, Tamil Nadu )","Hi,You can apply for a bail in this case and later defend yourself during the trial.","Under Section 306 of the Indian Penal Code (IPC), abetment of suicide is punishable if there is evidence of intentional aid or instigation. In your situation, the key issue is whether your interactions with the deceased can be construed as harassment or instigation leading to suicide. Given that your communication was limited and non-confrontational, you should consider filing a petition for anticipatory bail under Section 438 of the Criminal Procedure Code to prevent arrest.

Gather evidence and witnesses that can corroborate your limited interaction with the deceased and lack of intent to harass. You may also file a writ petition in the High Court under Article 226 of the Constitution challenging the inclusion of your name in the FIR, arguing lack of prima facie evidence against you.",0.4606,46.1,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
6,"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",Counterclaims Settled in Minutes of Meeting → Claim for Compensation Due to Delay,Counterclaims Settled in Minutes of Meeting → Claim for Compensation Due to Delay,"I faced a financial fraud from my supplier. But the police was not ready to file an FIR. After the court order, an FIR was made under section 409, 420 on 11dec 2017. But till inspite of 7 hearings the police has not attended the court with the report even after the show cause notice.

What do I do to get justice? Will court never be able to force the police to solve this. Is there anyway to force police to work on the FIR.( Mumbai suburban, Maharashtra )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )",There is no mense rea that is guilt mind...it is no criminal act.,"Forwarding a fake message, even if deleted shortly after, could potentially fall under the purview of Section 505 of the Indian Penal Code, which penalizes the dissemination of false information that can cause public alarm or mischief. However, given the immediate deletion and lack of intent to deceive, it is unlikely to result in criminal charges unless it caused significant disruption or harm.

To address this situation, ensure no further dissemination of such messages and maintain records of the deletion as evidence of corrective action. If contacted by authorities, cooperate fully and explain the circumstances, emphasizing the lack of intent and prompt deletion.",0.9074,31.5962,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
7,"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )",Respondent Filed Civil Suit for Appointment → First Suit Decreed for Consideration of Appointment,Respondent Filed Civil Suit for Appointment → First Suit Decreed for Consideration of Appointment → State Filed Appeal Against Decree → Second Appeal Dismissed,"Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )",Is 2nd marriage is legal in ST without divorce.,"Dear Sir,Such and criminal case can be quashed by HC.","In this situation, the key legal issue is the improper transfer and sale of property by the nominees without the consent of all legal heirs, which may constitute a breach of trust or misrepresentation under Indian law. The criminal case against the new chairman and secretary may not hold unless there is evidence of their involvement or knowledge of the fraudulent transfer. Under Section 420 of the Indian Penal Code, a case of cheating could be pursued if there was deceitful conduct involved in the property transfer.

The third brother can pursue a civil suit for partition or declaration of his rights in the property, as well as seek an injunction to prevent further transactions. Legally, the criminal case against uninvolved parties like the chairman and secretary is unlikely to succeed without evidence of their complicity. The next steps would be to gather evidence of the fraudulent transaction and amend the civil suit to include any necessary claims for damages or restitution.",0.5831,36.9651,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
8,"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",Section 9(3) of the Age Qualification Rules → Appellants Entitled to Apply for Regular Recruitment,Section 9(3) of the Age Qualification Rules → Appellants Entitled to Apply for Regular Recruitment,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,my cousin lockd my house forcely after breaking the lock of of my house and torturing me then waht should i do ?,Agar aap ki mind conditions thik hai tab aap police me complaint file kare. Kyonki ab aap bilkul thik ho chuke hai. Agar koi bhi aap ko aane jane me koi problems kar raha hai vah aap ke constitutional right ka hanan kar raha hai. Kyon ki aap ko constitution sab sthan par ghumne ki anumati pardan karta. Koi aap ke adhikar ko nhi chhin sakta hai. Isliye aap ko un logo ko khilaf police me complaint file karni chahiye. Taki police unke khilaf proper action le sake.Please rate my answer,"The key legal issue here is whether there is a lawful basis for your repeated institutionalization under mental health laws. Under the Mental Healthcare Act, 2017, involuntary admission to a mental health facility requires a proper assessment and certification by a mental health professional. If you believe you are being unlawfully detained, you may file a writ of habeas corpus under Article 226 of the Indian Constitution in the Karnataka High Court to challenge the legality of your detention. Ensure you gather any documentation related to your previous admissions and seek the assistance of a lawyer to file the petition. Additionally, if you are facing threats or harassment from the public, report these incidents to the local police for protection and possible legal action against the perpetrators.",0.464,31.2284,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
9,"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )",Altercation Preceded the Incident → Murder Allegation Involved Multiple Accused,Altercation Preceded the Incident → Murder Allegation Involved Multiple Accused → Common Intention Not Established,"I faced a financial fraud from my supplier. But the police was not ready to file an FIR. After the court order, an FIR was made under section 409, 420 on 11dec 2017. But till inspite of 7 hearings the police has not attended the court with the report even after the show cause notice.

What do I do to get justice? Will court never be able to force the police to solve this. Is there anyway to force police to work on the FIR.( Mumbai suburban, Maharashtra )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )",Is 2nd marriage is legal in ST without divorce.,"Yes,  you can share it with the court of law.","you are legally obligated to testify truthfully under oath, as required by Section 161 of the Code of Criminal Procedure, 1973. If you were not present at the scene, you must clearly state this fact during your testimony. Failing to appear in court without a valid reason or providing false testimony can lead to legal consequences, including contempt of court or perjury charges under Sections 174 and 193 of the Indian Penal Code, respectively. 

Next steps: Attend the court on the specified date and provide your honest account. If you have any concerns or require guidance, consider consulting with a legal professional to prepare for your testimony.",1.0121,29.5014,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
10,"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )",Issue of Suit Filed Within Limitation Period Raised → Preliminary Issue on Maintainability of Suit Raised,Issue of Suit Filed Within Limitation Period Raised → Preliminary Issue on Maintainability of Suit Raised → Previous Suit Withdrawn Without Liberty to File Again → Section 12 of the Code of Civil Procedure,"I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","I faced a financial fraud from my supplier. But the police was not ready to file an FIR. After the court order, an FIR was made under section 409, 420 on 11dec 2017. But till inspite of 7 hearings the police has not attended the court with the report even after the show cause notice.

What do I do to get justice? Will court never be able to force the police to solve this. Is there anyway to force police to work on the FIR.( Mumbai suburban, Maharashtra )","Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","In Maharashtra, if a Non-Bailable Warrant (NBW) is issued by a court, it is typically executed immediately by law enforcement. The police are obligated to act on the warrant without unnecessary delay, as per the Criminal Procedure Code (CrPC), specifically under Section 70, which governs the issuance and execution of warrants. 

The user cannot legally delay the execution of the NBW once issued. However, the user can file an application for anticipatory bail under Section 438 of the CrPC or seek to have the NBW recalled by appearing before the court and providing a valid reason for non-appearance. It is advisable to consult with a legal professional to assist in filing the necessary applications promptly.",1.718,74.4473,18.2625,3.7132,16.263,20.1721,3.0449,19.6087,4.1034,1.4219,1.0,27.1335,49.2254,50.3387,83.8831
