sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )","Section 2(d) of the West Bengal Sales Tax Act, 1954 → Appellants Claimed Freight Charges Excluded from Sale Price","Section 2(d) of the West Bengal Sales Tax Act, 1954 → Appellants Claimed Freight Charges Excluded from Sale Price",Is 2nd marriage is legal in ST without divorce.,"I have given around amount of 13000/- rupees to the agent in Hyderabad for changing from yellow number board to white number board. It's been 6months, I have been following him on daily basis, he even not responding to my calls and not even opening his office from past 3months. All the original documents of my car are with the agent. How can I get my docs back, so that I can process accordingly( Hyderabad, Telangana )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","Dear Client,If someone creates or circulates a fake pornographic video of a girl to defame her, it is a serious criminal offense in India under multiple sections of the law.Such an act is punishable under various sections of the Information Technology Act, 2000, and the Indian Penal Code. Under Section 67 and 67A of the IT Act, transmitting obscene or sexually explicit content electronically can lead to imprisonment of up to five years and a fine of up to Rs. 10 lakhs. Additionally, under IPC Sections 469 and 500 for defamation and forgery to harm reputation, the offender can be punished with imprisonment up to three years. Section 509 IPC, which deals with insulting the modesty of a woman, can also apply and carries a sentence of up to three years. If the content is morphed or AI-generated (deepfake), it still qualifies as cybercrime and forgery, and the accused can be prosecuted accordingly. These laws are designed to protect individuals from digital harassment and uphold their dignity and privacy.","The creation and distribution of fake pornographic material to defame an individual can be prosecuted under Section 67 of the Information Technology Act, 2000, which deals with publishing or transmitting obscene material in electronic form. Additionally, Section 500 of the Indian Penal Code addresses defamation, and the perpetrator can face imprisonment for up to two years, a fine, or both. The victim can file a complaint with the local police station or the cybercrime cell.

Legally, the victim cannot take matters into their own hands and must follow legal procedures. The next steps include gathering evidence of the circulation and filing a formal complaint with the authorities to initiate legal action against the perpetrator.",9.9133,86.3842,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
2,"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )",Death of Two Individuals → High Court Confirmed Conviction for Offences,Death of Two Individuals → High Court Confirmed Conviction for Offences → Prosecution Case Partially Rejected,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,my cousin lockd my house forcely after breaking the lock of of my house and torturing me then waht should i do ?,"Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.","The primary legal issue is unlawful confinement and potential assault. Under Indian Penal Code (IPC) Section 340, wrongful confinement is punishable, and Section 351 addresses assault. You may file a police complaint against the rehabilitation center and individuals involved for illegal confinement and assault. Additionally, consider filing a writ of habeas corpus under Article 226 of the Indian Constitution in the Calcutta High Court to challenge the legality of your detention. Consult with a local attorney to assist in drafting and filing these legal actions.",1.908,36.8055,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
3,"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )",Cross Case Filed by Respondent,Cross Case Filed by Respondent,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,my cousin lockd my house forcely after breaking the lock of of my house and torturing me then waht should i do ?,"Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","Sharing private photos without consent can violate privacy laws under the Information Technology Act, 2000, specifically Section 66E, which penalizes capturing, publishing, or transmitting images of a private area of any person without their consent. While filing a cross case, focus on admissible evidence like call recordings, provided they were legally obtained. Filing a police complaint for defamation under Section 499 of the Indian Penal Code (IPC) may be appropriate if the allegations against you are false and have harmed your reputation.

Next steps: File a complaint with the local police for defamation and any other applicable charges. Consider seeking anticipatory bail to protect against arrest, and consult with a local attorney to guide you through the process and ensure your rights are protected.",0.565,42.0788,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
4,"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )",Tenancy Created by Rent Deed → Appellants Fell into Arrears of Rent,Tenancy Created by Rent Deed → Appellants Fell into Arrears of Rent,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,"Girl have another boy friend her boyfriend told to girl put fir on me after fir married in 2 months they both . I have proof 3 years relationship till fir registered month( Hyderabad, Telangana )","Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.","The primary legal issue is noise pollution caused by loudspeakers, which can be addressed under the Noise Pollution (Regulation and Control) Rules, 2000. In Jhajjar, Haryana, you can approach the local police station to file a complaint about the noise disturbance. Additionally, you may contact the Haryana State Pollution Control Board, which is responsible for enforcing noise pollution regulations. Legally, vendors are not permitted to use loudspeakers without proper permission, and such use should not exceed prescribed noise levels. Next steps: file a formal complaint with the local police and, if necessary, escalate the matter to the Pollution Control Board for further action.",7.9041,72.6688,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
5,"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )",Section 306 IPC → High Court Convicted Under Section 306 IPC,Section 306 IPC → High Court Convicted Under Section 306 IPC → Appeal Challenged High Court Judgment → High Court Judgment Upheld → Evidence of Witnesses Considered → High Court Set Aside Conviction Under Section 302 IPC,"I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","One superior officer filed a private petition under crpc 200 on some association officer bearers. Allegations are that they issued some pamphlets abusing him and damaging his fame n name which were sent to several offices. 12 yrs passed.  But complainant is still not examined.  Evidence not taken yet. He marked some xerox copy of pamphlets to court. No where found office seal file number  etc. on the paper.  He was suspended on the last date of retirement  by a G. O. since various allegations pending on him.   He included me as one of the respondent. I want to remove my name from the private complaint. Wt is the procedure sir( Salem, Tamil Nadu )","Dear Sir,You may approach High Court for immediate relief and ultimately it may be quashed if you engage an intelligent advocate.Rate me Five Star*","Under Section 306 of the Indian Penal Code (IPC), abetment of suicide is punishable if there is evidence of instigation, conspiracy, or intentional aiding. In your case, the mere mention in a suicide note without substantial proof of harassment or abetment is insufficient for conviction. Legally, you can challenge the FIR by filing a petition under Section 482 of the Criminal Procedure Code (CrPC) for quashing the FIR if there is no prima facie evidence against you.

Gather evidence of your limited interaction with the deceased, such as witness statements or communication records, to support your defense. Consult with a criminal defense attorney to prepare for anticipatory bail to avoid arrest during the investigation.",0.4114,28.0245,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
6,"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",Counterclaims Settled in Minutes of Meeting → Claim for Compensation Due to Delay,Counterclaims Settled in Minutes of Meeting → Claim for Compensation Due to Delay,"I faced a financial fraud from my supplier. But the police was not ready to file an FIR. After the court order, an FIR was made under section 409, 420 on 11dec 2017. But till inspite of 7 hearings the police has not attended the court with the report even after the show cause notice.

What do I do to get justice? Will court never be able to force the police to solve this. Is there anyway to force police to work on the FIR.( Mumbai suburban, Maharashtra )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )",No. as you have deleted in time and should send a clarification SMS to protect your interest.,"Forwarding a fake message, even if deleted shortly after, can potentially lead to criminal liability under Section 505 of the Indian Penal Code (IPC), which deals with statements conducing to public mischief. However, since the message was deleted quickly and there was no intent to cause harm, it is unlikely to result in a criminal case unless it caused significant disruption or panic. 

To mitigate any potential legal issues, ensure no further dissemination of such messages and consider issuing a clarification in the group to rectify any misinformation. If contacted by authorities, provide a clear account of the actions taken to correct the mistake.",0.8658,52.8031,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
7,"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )",Respondent Filed Civil Suit for Appointment → First Suit Decreed for Consideration of Appointment,Respondent Filed Civil Suit for Appointment → First Suit Decreed for Consideration of Appointment → State Filed Appeal Against Decree → Second Appeal Dismissed,"Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )",Is 2nd marriage is legal in ST without divorce.,"Hi,Since the third brother knew nothing about the transferred property he can file a civil suit as well as a criminal suit against his brothers if the circumstances and the facts of the case permit so. But in an event when the suit is filed against the Housing Society Secretary and Chairman the courts will evaluate their involvement in the work and for imposing criminal liability malicious intention on part of the accused is necessary of that remains unproven or non established they cannot be held criminally liable.If you find this answer helpful please rate my answer. Thank you.","The primary legal issue is whether the criminal case against the new chairman and secretary of the housing society is valid. Under the Indian Penal Code, a criminal case requires intent or knowledge of wrongdoing. Since the new chairman and secretary were unaware of the property transfer and sale, they likely lack the necessary mens rea (criminal intent) for any criminal liability.

The user cannot legally pursue a criminal case against individuals without evidence of their involvement or intent in the alleged crime. However, the user can continue with the civil suit against the brothers, buyer, and society to address the property dispute. As a next step, consider filing a motion to dismiss the criminal case against the chairman and secretary due to lack of evidence, while focusing on the civil proceedings to resolve the property issue.",1.8298,69.2908,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
8,"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",Section 9(3) of the Age Qualification Rules → Appellants Entitled to Apply for Regular Recruitment,Section 9(3) of the Age Qualification Rules → Appellants Entitled to Apply for Regular Recruitment,Is 2nd marriage is legal in ST without divorce.,Today am signatured in section 41a what is the next proceedure and why ask me sign,my cousin lockd my house forcely after breaking the lock of of my house and torturing me then waht should i do ?,"Dear Sir,You may lodge complaint with higher police officers or directly approach Magistrate I filing private complaint under Section 200 Cr.P.C. On registration of private complaint you are sworn statement will be recorded and documents produced by you will be taken on record and then summons will be issued to Accused persons.Rate me Five Star*","The primary legal issue is whether the repeated institutionalization in a mental asylum was lawful and if any rights were violated. Under the Mental Healthcare Act, 2017, individuals have the right to live in the community and not be separated from society unless a mental health professional deems it necessary for treatment. If the institutionalization was involuntary and without proper legal procedure, it may be challenged.

The user cannot take the law into their own hands if they believe they are being targeted. Instead, they should file a police complaint if they feel threatened or harassed. As a next step, consult a mental health lawyer to review past institutionalizations for legality and seek a restraining order if harassment persists.",0.5415,24.5133,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
9,"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )",Altercation Preceded the Incident → Murder Allegation Involved Multiple Accused,Altercation Preceded the Incident → Murder Allegation Involved Multiple Accused → Common Intention Not Established,"I faced a financial fraud from my supplier. But the police was not ready to file an FIR. After the court order, an FIR was made under section 409, 420 on 11dec 2017. But till inspite of 7 hearings the police has not attended the court with the report even after the show cause notice.

What do I do to get justice? Will court never be able to force the police to solve this. Is there anyway to force police to work on the FIR.( Mumbai suburban, Maharashtra )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )",Is 2nd marriage is legal in ST without divorce.,Whatever you may be known . U will need to speak before court. Honestly,"you are legally obligated to testify truthfully under oath as per Section 191 of the Indian Penal Code, which defines giving false evidence. If you did not witness the incident, you must clearly state this in court to avoid any perjury charges. You cannot refuse to attend court if summoned, but you can clarify your lack of firsthand knowledge during your testimony. 

Next steps: Attend the court on the specified date and clearly communicate to the judge that you were not present at the scene and have no direct knowledge of the incident. Consider informing the prosecutor or your superior in advance about your lack of involvement to potentially address any misunderstandings before the court date.",0.4481,37.9325,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
10,"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )",Issue of Suit Filed Within Limitation Period Raised → Preliminary Issue on Maintainability of Suit Raised,Issue of Suit Filed Within Limitation Period Raised → Preliminary Issue on Maintainability of Suit Raised → Previous Suit Withdrawn Without Liberty to File Again → Section 12 of the Code of Civil Procedure,"I would like to know is there any way to appear  one of the accused to not to appear in the court physically in criminal case for 313 statement . Total accused are 6 out of them last accused is unable to attend the court in 304B case.( Bangalore, Karnataka )","Already She was in relased on condition bail ,Ordered madurai bench court She should be in every day before 10 am in trail court thanjavur.But Problem Is, Same trail court having another two cases judgement proceeded, During imprisonmented.Now What she will do,If agreed going to sign,what will happen next.( Thanjavur, Tamil Nadu )","I faced a financial fraud from my supplier. But the police was not ready to file an FIR. After the court order, an FIR was made under section 409, 420 on 11dec 2017. But till inspite of 7 hearings the police has not attended the court with the report even after the show cause notice.

What do I do to get justice? Will court never be able to force the police to solve this. Is there anyway to force police to work on the FIR.( Mumbai suburban, Maharashtra )","Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","An NBW (Non-Bailable Warrant) is typically issued immediately after the court orders it, but the execution depends on the police's promptness. Under Section 70 of the Code of Criminal Procedure, a warrant remains in force until it is executed or canceled. You cannot legally avoid the execution of an NBW, but you can file an application for anticipatory bail under Section 438 of the Cr.P.C. or apply for cancellation of the warrant by appearing before the court. To expedite the process, contact your lawyer to file the necessary applications promptly.",2.1871,82.3415,19.4394,4.0522,17.2705,21.1173,3.3261,20.7166,4.6007,1.5811,1.0,28.6328,50.7627,51.4677,84.1832
